Frequency - Fgen,Phase - Fgen,Phase - R
37649.6,0.019984,0.256417
37699.6,0.0295435,0.266475
37699.5,0.0177638,0.254744
37699.4,0.0220221,0.258538
37699.5,0.0232706,0.260136
37699.5,0.0232271,0.259881
37699.5,0.0218533,0.258737
37699.4,0.0202001,0.256761
37749.6,0.026147,0.263219
37749.6,0.0209775,0.258072
37749.7,0.025472,0.262831
37749.6,0.0254978,0.262729
37749.6,0.0260468,0.263061
37749.6,0.0179967,0.25516
37799.7,0.0235882,0.261112
37799.6,0.0264468,0.263931
37799.5,0.0231534,0.260166
37799.6,0.0278763,0.265333
37799.5,0.0230813,0.260496
37799.5,0.0289998,0.266561
37799.5,0.0239703,0.261568
37849.7,0.0286808,0.266763
37849.7,0.0306909,0.268448
37849.6,0.0205926,0.258217
37849.6,0.0202886,0.257855
37849.6,0.0215899,0.258986
37849.7,0.0204929,0.258366
37899.5,0.0245034,0.26235
37899.5,0.0276814,0.265572
37899.5,0.0263464,0.264292
37899.4,0.0275285,0.265461
37899.5,0.0212931,0.259057
37899.6,0.0209609,0.259043
37899.5,0.0255266,0.263333
37949.6,0.0234508,0.261586
37949.7,0.0285993,0.26701
37949.7,0.0234897,0.262135
37949.6,0.0221585,0.260472
37949.6,0.0256935,0.263791
37949.7,0.0219994,0.260473
37999.6,0.0255975,0.264413
37999.5,0.0231371,0.261719
37999.5,0.0224606,0.261073
37999.6,0.0250127,0.263893
37999.5,0.0257522,0.264429
37999.5,0.0301298,0.26883
37999.5,0.0262731,0.26494
38049.7,0.0305604,0.270314
38049.4,0.0271906,0.266115
38049.6,0.0198749,0.259187
38049.5,0.0272584,0.266465
38049.5,0.0213333,0.26033
38049.4,0.0232619,0.261978
38049.5,0.0219417,0.261309
38099.7,0.0278023,0.267271
38099.6,0.0248979,0.264331
38099.6,0.0199987,0.259342
38099.5,0.0265592,0.265801
38099.8,0.0208894,0.26033
38099.6,0.0254426,0.265146
38149.6,0.0270171,0.266604
38149.6,0.0218961,0.26184
38149.5,0.0217728,0.26154
38149.6,0.0204799,0.260278
38149.4,0.0186212,0.257971
38149.6,0.0251331,0.265126
38149.6,0.0237574,0.263784
38199.6,0.0262496,0.266331
38199.6,0.0184312,0.258357
38199.7,0.029198,0.269545
38199.6,0.0239055,0.263745
38199.7,0.0188969,0.259333
38199.8,0.0291171,0.269513
38249.5,0.0257508,0.265605
38249.4,0.0289855,0.269058
38249.4,0.0275502,0.267668
38249.5,0.0290843,0.269015
38249.6,0.0194116,0.25961
38249.5,0.0254545,0.265699
38249.4,0.021506,0.261277
38299.6,0.0305059,0.270925
38299.5,0.0201156,0.260327
38299.7,0.0210234,0.261524
38299.5,0.0224166,0.262564
38299.7,0.0252788,0.265908
38299.7,0.0235261,0.264361
38299.7,0.0195246,0.259994
38349.8,0.0215999,0.262868
38349.7,0.0198119,0.261195
38349.8,0.0303026,0.271993
38349.6,0.0206562,0.261826
38349.6,0.0223876,0.26357
38349.9,0.0243239,0.265884
38399.5,0.0268625,0.268576
38399.5,0.0208734,0.262495
38399.3,0.0207987,0.261799
38399.4,0.0215144,0.262971
38399.5,0.0293775,0.270983
38399.5,0.0276357,0.269033
38399.6,0.018457,0.260317
38449.6,0.028699,0.271158
38449.5,0.0250806,0.26707
38449.4,0.0247037,0.266728
38449.6,0.0283805,0.2702
38449.7,0.0181311,0.260297
38449.6,0.0297114,0.271654
38499.5,0.0196542,0.261671
38499.3,0.0203116,0.261963
38499.4,0.0234966,0.265242
38499.6,0.0286016,0.270712
38499.5,0.0286657,0.270403
38499.4,0.0242633,0.265954
38499.4,0.0222033,0.263749
38549.9,0.0267863,0.269245
38549.8,0.0194382,0.261671
38549.7,0.025543,0.268243
38549.7,0.0243708,0.266574
38549.8,0.0287734,0.271057
38549.7,0.0245444,0.266861
38549.7,0.0309036,0.273058
38599.5,0.0271196,0.26951
38599.4,0.0215454,0.26366
38599.6,0.0262766,0.268776
38599.5,0.0241398,0.266472
38599.4,0.0208086,0.262786
38599.4,0.0263836,0.268332
38649.6,0.0216602,0.264263
38649.5,0.0272931,0.269979
38649.6,0.030451,0.273158
38649.6,0.028362,0.271029
38649.5,0.0238916,0.266361
38649.7,0.0236879,0.266315
38649.6,0.030597,0.273275
38699.6,0.0233046,0.266454
38699.5,0.0222205,0.265185
38699.6,0.0286182,0.271703
38699.6,0.0212169,0.264396
38699.6,0.0239359,0.26717
38699.5,0.0227389,0.265844
38749.5,0.0304149,0.273995
38749.6,0.0267913,0.270186
38749.6,0.0259639,0.269606
38749.4,0.0264481,0.269766
38749.5,0.0235158,0.267052
38749.5,0.0277317,0.271216
38749.5,0.0199199,0.263469
38799.5,0.029155,0.272731
38799.6,0.0252096,0.268895
38799.6,0.0229974,0.266639
38799.7,0.0228601,0.267035
38799.5,0.0219617,0.265533
38799.6,0.0290919,0.27296
38849.5,0.0298364,0.273817
38849.5,0.0207301,0.264784
38849.5,0.0238267,0.268011
38849.5,0.0279821,0.272372
38849.5,0.029076,0.273301
38849.4,0.0207321,0.264665
38849.5,0.0237821,0.268067
38899.6,0.0289919,0.273327
38899.8,0.0187987,0.263637
38899.6,0.0306778,0.275098
38899.7,0.0235432,0.267994
38899.5,0.0275636,0.271749
38899.7,0.0204037,0.264784
38899.6,0.0207822,0.26501
38949.6,0.0195917,0.264321
38949.5,0.0223469,0.266977
38949.5,0.0284435,0.273121
38949.4,0.024803,0.269377
38949.5,0.020567,0.265279
38949.5,0.0209274,0.265654
38999.7,0.0224233,0.267333
38999.7,0.029699,0.274856
38999.7,0.0279249,0.272938
38999.6,0.0261023,0.271088
38999.7,0.0302057,0.275401
38999.6,0.0204454,0.26529
38999.6,0.0278185,0.272703
39049.5,0.0268828,0.272295
39049.5,0.0204262,0.265871
39049.5,0.0291014,0.274436
39049.5,0.0248349,0.269984
39049.5,0.0223143,0.267703
39049.6,0.0248328,0.270355
39099.6,0.0216137,0.267216
39099.7,0.0226546,0.268184
39099.7,0.0262785,0.272041
39099.6,0.0215968,0.266974
39099.6,0.0247102,0.2705
39099.6,0.027821,0.273402
39099.7,0.0261897,0.271903
39149.5,0.0243282,0.2702
39149.6,0.0277569,0.274021
39149.5,0.0298314,0.275683
39149.6,0.0196237,0.26559
39149.5,0.0273027,0.273119
39149.4,0.0287897,0.274382
39199.5,0.0280495,0.274284
39199.4,0.0240793,0.269989
39199.5,0.018861,0.265129
39199.5,0.0235692,0.269865
39199.4,0.029633,0.275859
39199.6,0.0200338,0.266449
39199.4,0.0271546,0.273544
39249.5,0.0318809,0.278424
39249.5,0.0230722,0.269488
39249.5,0.0274097,0.273917
39249.6,0.0203908,0.267006
39249.5,0.0273393,0.274118
39249.6,0.0290552,0.275932
39299.4,0.0249379,0.271555
39299.5,0.0213686,0.268021
39299.4,0.0205232,0.267205
39299.5,0.0294991,0.276269
39299.5,0.0207094,0.267594
39299.5,0.0214962,0.268191
39299.5,0.0250176,0.271921
39349.5,0.0246903,0.271655
39349.6,0.0304613,0.277635
39349.5,0.0295565,0.276675
39349.6,0.0198682,0.266738
39349.7,0.0310188,0.27849
39349.5,0.0215106,0.268794
39399.4,0.0321747,0.279384
39399.5,0.0326036,0.280153
39399.5,0.0292053,0.276584
39399.6,0.0252409,0.27296
