Time - Gen,Voltage - Gen,Voltage - R,Voltage - L,Voltage - C
"0.0105","2.51709","-0.00131036","0.0041651","2.52096"
"0.0106","2.51581","-0.000666186","0.00577553","2.52064"
"0.0107","2.51806","-0.000988272","0.0041651","2.52128"
"0.0108","2.51774","-0.000666186","0.00609762","2.52031"
"0.0109","2.5187","-0.000666186","0.00609762","2.52064"
"0.011","2.51838","-0.000988272","0.00319885","2.52064"
"0.0111","2.51613","-0.00163244","0.00480928","2.5216"
"0.0112","2.51903","-0.0003441","0.00319885","2.52096"
"0.0113","2.51645","-0.000988272","0.00287676","2.52096"
"0.0114","2.51742","-0.000988272","0.00384302","2.52031"
"0.0115","2.51677","-0.000988272","0.00513136","2.52064"
"0.0116","2.51806","-0.0003441","0.00352093","2.52096"
"0.0117","2.51581","-0.00131036","0.00641971","2.52096"
"0.0118","2.51613","-0.000988272","0.00384302","2.51999"
"0.0119","2.51613","-0.000988272","0.00255467","2.52064"
"0.012","2.51806","-0.000666186","0.00480928","2.51999"
"0.0121","2.51709","-0.00163244","0.00384302","2.52096"
"0.0122","2.51838","-0.0003441","0.0041651","2.52096"
"0.0123","2.51774","-0.000988272","0.00513136","2.52064"
"0.0124","2.51709","-0.000666186","0.00448719","2.52128"
"0.0125","2.5187","-0.00163244","0.00448719","2.51967"
"0.0126","2.51613","-0.000666186","0.00513136","2.52096"
"0.0127","2.51613","-0.000988272","0.00674179","2.51999"
"0.0128","2.51806","-0.000666186","0.00223259","2.52096"
"0.0129","2.51967","-0.000666186","0.00384302","2.52064"
"0.013","2.5187","-2.20E-05","0.00577553","2.51999"
"0.0131","2.51774","-0.00131036","0.00545345","2.51999"
"0.0132","2.51838","-0.0003441","0.00513136","2.52031"
"0.0133","2.51774","-0.00131036","0.00577553","2.52031"
"0.0134","2.52031","-0.000988272","0.00448719","2.52096"
"0.0135","2.51838","-0.00131036","0.00545345","2.52031"
"0.0136","2.51774","-0.000666186","0.00480928","2.52031"
"0.0137","2.51613","-0.000988272","0.00448719","2.52096"
"0.0138","2.51742","-0.0003441","0.00384302","2.52064"
"0.0139","2.51613","-0.000988272","0.00480928","2.52064"
"0.014","2.51806","-0.00131036","0.00319885","2.52096"
"0.0141","2.51806","-0.00131036","0.00287676","2.51999"
"0.0142","2.51967","-0.0003441","0.00319885","2.52128"
"0.0143","2.51581","-0.00131036","0.00448719","2.52128"
"0.0144","2.51774","-0.00163244","0.00384302","2.52064"
"0.0145","2.51935","-0.000988272","0.00352093","2.51999"
"0.0146","2.51709","-0.000988272","0.00448719","2.52096"
"0.0147","2.51709","-0.00163244","0.00352093","2.52128"
"0.0148","2.51806","-0.000988272","0.00448719","2.52096"
"0.0149","2.51838","-0.00131036","0.00384302","2.52128"
"0.015","2.51838","-0.0003441","0.00352093","2.51999"
"0.0151","2.51742","-0.000988272","0.00448719","2.52031"
"0.0152","2.51581","-0.00131036","0.00577553","2.51999"
"0.0153","2.51774","-0.00131036","0.0041651","2.52064"
"0.0154","2.51838","-0.000666186","0.00480928","2.52096"
"0.0155","2.51806","-0.000988272","0.00609762","2.52064"
"0.0156","2.51709","-0.00131036","0.00158842","2.52064"
"0.0157","2.51677","-0.00131036","0.00609762","2.52096"
"0.0158","2.51613","-2.20E-05","0.00384302","2.52096"
"0.0159","2.51613","-0.00131036","0.0041651","2.52096"
"0.016","2.51838","-0.000666186","0.00319885","2.52128"
"0.0161","2.51838","-0.000988272","0.00352093","2.52031"
"0.0162","2.51838","-0.000666186","0.0041651","2.52128"
"0.0163","2.51709","-0.00131036","0.0041651","2.51935"
"0.0164","2.51742","-0.000988272","0.00384302","2.52096"
"0.0165","2.51709","-0.000988272","0.00513136","2.52031"
"0.0166","2.51677","-0.000988272","0.00448719","2.52064"
"0.0167","2.51742","-0.00163244","0.00448719","2.52096"
"0.0168","2.51806","-0.000666186","0.00223259","2.51999"
"0.0169","2.51645","-0.000988272","0.00513136","2.52064"
"0.017","2.51742","-0.0003441","0.00480928","2.52031"
"0.0171","2.51967","-0.000988272","0.00577553","2.52031"
"0.0172","2.51774","-0.0003441","0.00513136","2.52096"
"0.0173","2.51774","-0.000988272","0.00126633","2.52064"
"0.0174","2.51677","-0.000666186","0.00384302","2.52064"
"0.0175","2.51613","-0.00131036","0.00319885","2.52031"
"0.0176","2.51709","-0.000666186","0.00480928","2.52096"
"0.0177","2.5187","-0.00131036","0.00513136","2.52064"
"0.0178","2.51709","-0.000988272","0.00448719","2.51999"
