Time - Gen,Voltage - Gen,Time - R,Voltage - R,Time - L,Voltage - L,Time - C,Voltage - C
"0,007","2,51709","0,007","-0,00131036","0,007","0,00480928","0,007","2,52064"
"0,0071","2,51677","0,0071","-0,000988272","0,0071","0,00352093","0,0071","2,52031"
"0,0072","2,51516","0,0072","-0,000988272","0,0072","0,00384302","0,0072","2,52128"
"0,0073","2,51581","0,0073","-0,00131036","0,0073","0,0041651","0,0073","2,52031"
"0,0074","2,51774","0,0074","-0,00131036","0,0074","0,00287676","0,0074","2,51999"
"0,0075","2,5142","0,0075","-0,00163244","0,0075","0,0041651","0,0075","2,51999"
"0,0076","2,51613","0,0076","-0,000666186","0,0076","0,00384302","0,0076","2,52031"
"0,0077","2,51774","0,0077","-0,00131036","0,0077","0,00319885","0,0077","2,51999"
"0,0078","2,51645","0,0078","-0,0003441","0,0078","0,00448719","0,0078","2,52096"
"0,0079","2,51838","0,0079","-0,00131036","0,0079","0,00448719","0,0079","2,52096"
"0,008","2,51838","0,008","-0,000988272","0,008","0,00577553","0,008","2,51999"
"0,0081","2,51613","0,0081","-0,00131036","0,0081","0,00577553","0,0081","2,52064"
"0,0082","2,51709","0,0082","-0,000666186","0,0082","0,00480928","0,0082","2,51967"
"0,0083","2,51774","0,0083","-0,000988272","0,0083","0,00480928","0,0083","2,52096"
"0,0084","2,51742","0,0084","-0,000988272","0,0084","0,00352093","0,0084","2,51967"
"0,0085","2,51774","0,0085","-0,00131036","0,0085","0,00448719","0,0085","2,52064"
"0,0086","2,51709","0,0086","-0,0003441","0,0086","0,00513136","0,0086","2,52031"
"0,0087","2,51806","0,0087","-0,000988272","0,0087","0,0041651","0,0087","2,51999"
"0,0088","2,51903","0,0088","-0,00131036","0,0088","0,0041651","0,0088","2,52064"
"0,0089","2,5187","0,0089","-0,000988272","0,0089","0,00352093","0,0089","2,52031"
"0,009","2,51774","0,009","-0,000988272","0,009","0,00513136","0,009","2,52031"
"0,0091","2,5187","0,0091","-0,00131036","0,0091","0,00384302","0,0091","2,52031"
"0,0092","2,51742","0,0092","-2,20E-05","0,0092","0,00480928","0,0092","2,52031"
"0,0093","2,51645","0,0093","-0,00163244","0,0093","0,00384302","0,0093","2,52096"
"0,0094","2,51677","0,0094","-0,000666186","0,0094","0,00448719","0,0094","2,51999"
"0,0095","2,51742","0,0095","-0,000666186","0,0095","0,00480928","0,0095","2,52031"
"0,0096","2,51742","0,0096","-0,0003441","0,0096","0,00319885","0,0096","2,52031"
"0,0097","2,51677","0,0097","-0,00131036","0,0097","0,00384302","0,0097","2,52096"
"0,0098","2,51709","0,0098","-0,0003441","0,0098","0,00255467","0,0098","2,52096"
"0,0099","2,51806","0,0099","-0,00131036","0,0099","0,00480928","0,0099","2,52064"
"0,01","2,51742","0,01","-0,000666186","0,01","0,00448719","0,01","2,52096"
"0,0101","2,51903","0,0101","-0,00131036","0,0101","0,00352093","0,0101","2,52064"
"0,0102","2,51838","0,0102","-0,000666186","0,0102","0,00448719","0,0102","2,52064"
"0,0103","2,51806","0,0103","-0,00163244","0,0103","0,00255467","0,0103","2,52031"
"0,0104","2,51806","0,0104","-0,000988272","0,0104","0,00255467","0,0104","2,5216"
"0,0105","2,51709","0,0105","-0,00131036","0,0105","0,0041651","0,0105","2,52096"
"0,0106","2,51581","0,0106","-0,000666186","0,0106","0,00577553","0,0106","2,52064"
"0,0107","2,51806","0,0107","-0,000988272","0,0107","0,0041651","0,0107","2,52128"
"0,0108","2,51774","0,0108","-0,000666186","0,0108","0,00609762","0,0108","2,52031"
"0,0109","2,5187","0,0109","-0,000666186","0,0109","0,00609762","0,0109","2,52064"
"0,011","2,51838","0,011","-0,000988272","0,011","0,00319885","0,011","2,52064"
"0,0111","2,51613","0,0111","-0,00163244","0,0111","0,00480928","0,0111","2,5216"
"0,0112","2,51903","0,0112","-0,0003441","0,0112","0,00319885","0,0112","2,52096"
"0,0113","2,51645","0,0113","-0,000988272","0,0113","0,00287676","0,0113","2,52096"
"0,0114","2,51742","0,0114","-0,000988272","0,0114","0,00384302","0,0114","2,52031"
"0,0115","2,51677","0,0115","-0,000988272","0,0115","0,00513136","0,0115","2,52064"
"0,0116","2,51806","0,0116","-0,0003441","0,0116","0,00352093","0,0116","2,52096"
"0,0117","2,51581","0,0117","-0,00131036","0,0117","0,00641971","0,0117","2,52096"
"0,0118","2,51613","0,0118","-0,000988272","0,0118","0,00384302","0,0118","2,51999"
"0,0119","2,51613","0,0119","-0,000988272","0,0119","0,00255467","0,0119","2,52064"
"0,012","2,51806","0,012","-0,000666186","0,012","0,00480928","0,012","2,51999"
"0,0121","2,51709","0,0121","-0,00163244","0,0121","0,00384302","0,0121","2,52096"
"0,0122","2,51838","0,0122","-0,0003441","0,0122","0,0041651","0,0122","2,52096"
"0,0123","2,51774","0,0123","-0,000988272","0,0123","0,00513136","0,0123","2,52064"
"0,0124","2,51709","0,0124","-0,000666186","0,0124","0,00448719","0,0124","2,52128"
"0,0125","2,5187","0,0125","-0,00163244","0,0125","0,00448719","0,0125","2,51967"
"0,0126","2,51613","0,0126","-0,000666186","0,0126","0,00513136","0,0126","2,52096"
"0,0127","2,51613","0,0127","-0,000988272","0,0127","0,00674179","0,0127","2,51999"
"0,0128","2,51806","0,0128","-0,000666186","0,0128","0,00223259","0,0128","2,52096"
"0,0129","2,51967","0,0129","-0,000666186","0,0129","0,00384302","0,0129","2,52064"
"0,013","2,5187","0,013","-2,20E-05","0,013","0,00577553","0,013","2,51999"
"0,0131","2,51774","0,0131","-0,00131036","0,0131","0,00545345","0,0131","2,51999"
"0,0132","2,51838","0,0132","-0,0003441","0,0132","0,00513136","0,0132","2,52031"
"0,0133","2,51774","0,0133","-0,00131036","0,0133","0,00577553","0,0133","2,52031"
