Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
18999.7,0.000681145,0.00713231,1.65679,-1.14651
18999.7,-0.00237897,0.00387448,1.65377,-1.14958
18999.7,0.000326086,0.00669828,1.65651,-1.14684
18999.7,-0.00213134,0.00424363,1.6539,-1.1494
18999.7,-0.000548669,0.00577727,1.65548,-1.14789
18999.6,-0.00198637,0.00418742,1.65393,-1.14945
18999.7,-0.00319692,0.00312775,1.65287,-1.15048
18999.7,0.00194237,0.00816331,1.65807,-1.1453
18999.7,0.000967206,0.00729409,1.65703,-1.1464
18999.7,0.00167932,0.00799592,1.65762,-1.14562
18999.6,0.00239261,0.00866777,1.65823,-1.14513
18999.6,-0.000594654,0.00547025,1.65532,-1.14808
18999.7,0.00131325,0.00748371,1.65725,-1.14612
18999.7,0.000984288,0.00720571,1.65678,-1.14649
18999.6,-0.00287077,0.0032261,1.653,-1.15041
18999.7,0.000915206,0.00682477,1.65656,-1.14674
18999.7,0.000849356,0.00723029,1.6567,-1.14651
18999.6,0.00211546,0.00804641,1.65758,-1.1456
18999.7,2.81E-05,0.00606138,1.65576,-1.1475
18999.7,0.00180796,0.00788502,1.6575,-1.14575
18999.7,-0.00260018,0.00360993,1.65319,-1.15005
18999.7,0.000342589,0.00599593,1.65577,-1.14746
18999.7,-0.00267962,0.00326275,1.65273,-1.15044
18999.7,-0.000891483,0.00476245,1.65467,-1.14866
18999.7,-0.00291393,0.00294787,1.65254,-1.15071
18999.7,-0.000947293,0.00475445,1.6545,-1.14876
18999.7,-0.00310312,0.00277016,1.65247,-1.15081
18999.7,0.000891176,0.00694572,1.6565,-1.14665
18999.6,0.00311605,0.00889319,1.65861,-1.14466
18999.7,0.000822891,0.00670235,1.65646,-1.14684
18999.7,-0.00322003,0.002763,1.65232,-1.1509
18999.7,0.00185125,0.00775691,1.65728,-1.14595
18999.7,0.000796939,0.00686855,1.65649,-1.14671
18999.7,-0.00226217,0.00360661,1.65331,-1.14989
18999.7,-0.00191245,0.0039687,1.65369,-1.14957
18999.7,0.000580849,0.00658221,1.65626,-1.14703
18999.7,0.00188444,0.00779967,1.65744,-1.1458
18999.7,0.00110051,0.00702451,1.65678,-1.14654
18999.7,-0.00136164,0.00447736,1.65423,-1.1491
18999.7,-0.0038287,0.00215205,1.65188,-1.1514
18999.7,0.000176271,0.00642375,1.65595,-1.14735
18999.7,0.000584193,0.0067869,1.6565,-1.14679
18999.7,-0.000189283,0.00571315,1.65533,-1.14791
18999.7,0.000697485,0.00677803,1.65637,-1.14688
18999.7,0.00135642,0.00737005,1.65698,-1.14628
18999.7,0.00119177,0.00701751,1.65656,-1.1467
18999.7,0.00147008,0.00753771,1.65726,-1.14598
18999.7,-7.30E-06,0.00580509,1.65546,-1.14774
18999.7,-0.000299833,0.00549819,1.65529,-1.14804
18999.7,-0.00121813,0.00471749,1.65461,-1.14873
18999.7,-0.00116952,0.00456769,1.65433,-1.14894
18999.7,0.0016164,0.00753746,1.65722,-1.14604
18999.7,0.000922302,0.00682616,1.65648,-1.14675
18999.7,-0.00151013,0.00437707,1.654,-1.14923
18999.7,-0.00215464,0.00394259,1.65356,-1.14968
18999.6,0.0021598,0.00774655,1.65732,-1.14584
18999.7,-0.00243048,0.00340267,1.65312,-1.15007
18999.7,0.000121249,0.00605697,1.65569,-1.14753
18999.7,-0.00280536,0.00328888,1.65288,-1.15032
18999.8,-0.002479,0.00370316,1.65326,-1.14994
18999.7,0.000814028,0.00654319,1.65614,-1.14706
18999.7,-0.00282473,0.00320484,1.65282,-1.15044
18999.7,-0.00050919,0.00527638,1.65513,-1.14822
18999.7,0.00164732,0.00761609,1.65731,-1.14591
18999.7,0.00305731,0.00890084,1.65866,-1.14454
18999.7,8.42E-05,0.00602662,1.65552,-1.14763
18999.7,-0.00228638,0.00343551,1.65309,-1.15016
18999.7,9.23E-05,0.00612854,1.65577,-1.14751
18999.7,-0.00292368,0.00314397,1.65272,-1.15048
18999.7,0.00192416,0.00789193,1.65751,-1.14572
18999.7,-0.00111827,0.00469132,1.65436,-1.14892
18999.6,-0.00233545,0.00343241,1.65309,-1.15016
18999.7,-0.00149359,0.00454301,1.65412,-1.14912
18999.7,-0.00287718,0.00302557,1.65273,-1.15055
18999.6,-0.0014854,0.00446963,1.65408,-1.1492
18999.6,-0.000928902,0.00475161,1.65459,-1.14872
18999.7,-0.000975456,0.00514811,1.65479,-1.14843
18999.7,0.000244948,0.00668131,1.65638,-1.14693
18999.7,-0.00238539,0.00357801,1.65337,-1.14985
18999.7,-0.00312208,0.00340584,1.65295,-1.15027
18999.6,-0.00337782,0.00275041,1.65239,-1.15091
18999.7,-0.00203069,0.00440393,1.65405,-1.14917
18999.7,0.00167844,0.00788007,1.65762,-1.14563
18999.7,0.00213385,0.00836049,1.65815,-1.14516
18999.6,-0.00233851,0.00399625,1.65366,-1.14965
18999.7,-0.000501518,0.00596579,1.65562,-1.14764
18999.7,0.00258949,0.00888698,1.65856,-1.14465
18999.7,0.00223619,0.00874457,1.65834,-1.14482
18999.7,-0.00138104,0.00493424,1.65462,-1.14868
18999.7,0.000774896,0.00725015,1.65685,-1.14631
18999.6,-0.00189016,0.00402888,1.6537,-1.1495
18999.7,-0.00243598,0.00361763,1.65345,-1.14979
18999.7,-0.00205128,0.00443982,1.65418,-1.14907
18999.6,0.00238481,0.00853438,1.65812,-1.14501
18999.7,-0.00180596,0.00468545,1.65425,-1.14893
18999.7,-0.00236816,0.00382956,1.65362,-1.14961
18999.7,-0.000912188,0.00552173,1.65516,-1.14808
18999.6,-0.000131762,0.00586524,1.65548,-1.14773
18999.7,-0.000158124,0.00592995,1.65558,-1.14758
18999.6,-0.00226075,0.00387695,1.65348,-1.14977
18999.6,-0.00077999,0.0053418,1.65496,-1.14824
18999.7,0.00130824,0.00760879,1.65722,-1.14595
18999.7,-0.00109476,0.00526471,1.65496,-1.14833
18999.7,-0.00192727,0.00433516,1.65407,-1.14922
18999.7,0.000461586,0.00657767,1.65628,-1.14698
18999.7,-0.00156812,0.00448534,1.65431,-1.14903
18999.7,-0.0022976,0.00390608,1.65361,-1.14966
18999.7,0.00188533,0.00816605,1.65786,-1.14537
18999.7,0.000246925,0.0062528,1.656,-1.1473
18999.7,0.00253231,0.00850173,1.65829,-1.14495
18999.7,-0.00024931,0.00608248,1.65576,-1.14755
18999.7,0.00248017,0.00850695,1.65828,-1.14499
18999.7,0.001158,0.0072436,1.65686,-1.14631
18999.7,-0.0017835,0.00432073,1.65395,-1.14928
18999.7,0.00114218,0.00724499,1.65685,-1.1464
18999.7,0.00113524,0.00705103,1.65667,-1.14649
18999.7,-0.00245485,0.00364025,1.65314,-1.15011
18999.7,0.00194489,0.00815711,1.65773,-1.14546
18999.7,-0.00260793,0.00335757,1.65299,-1.15023
18999.6,0.00136447,0.00719039,1.65702,-1.14637
18999.7,-0.00207979,0.0038577,1.65355,-1.14965
18999.7,-0.00289416,0.00324685,1.65295,-1.15028
18999.7,-0.00126343,0.0048981,1.6545,-1.14871
18999.7,0.000346901,0.00629399,1.65588,-1.14721
18999.7,0.0006792,0.00698507,1.65659,-1.1466
18999.7,0.000647605,0.00671293,1.65622,-1.14696
18999.7,-0.00310606,0.00283721,1.65225,-1.15085
18999.7,-0.000274605,0.00560423,1.65557,-1.1478
18999.7,-0.000442559,0.00538493,1.65519,-1.14802
18999.6,0.0017016,0.00734907,1.65706,-1.14621
18999.6,0.00113754,0.00674458,1.65651,-1.14675
18999.7,-0.000669368,0.00491541,1.65472,-1.14851
18999.7,0.00100689,0.00690286,1.65652,-1.1466
18999.7,-0.00285103,0.00285537,1.65255,-1.15069
18999.7,0.000611889,0.00638285,1.65584,-1.14723
18999.7,-0.00209731,0.00340932,1.65322,-1.14996
18999.7,-0.00237931,0.00372931,1.65317,-1.14999
18999.7,0.000392601,0.00616413,1.65591,-1.1473
18999.7,-0.000198827,0.00533766,1.65516,-1.14808
18999.7,0.00137748,0.0069632,1.65671,-1.14644
18999.7,0.00135052,0.00715194,1.65677,-1.14642
18999.7,0.0027076,0.0083371,1.65803,-1.14514
18999.7,-0.000445799,0.00497639,1.65468,-1.14854
18999.7,-0.00200255,0.00342302,1.65318,-1.15
18999.6,0.000524758,0.00592192,1.65554,-1.14765
18999.6,0.000439616,0.00592259,1.65559,-1.14762
18999.7,-0.00175926,0.00370397,1.6534,-1.14978
18999.7,-0.000672104,0.00519521,1.65482,-1.1484
18999.7,-0.00331937,0.00237872,1.65195,-1.15123
18999.7,0.00149304,0.00696542,1.65673,-1.14646
18999.7,0.000527023,0.00633588,1.65576,-1.14731
18999.7,0.00252714,0.00811515,1.65775,-1.1454
18999.7,-0.00405732,0.0013075,1.65101,-1.15219
18999.7,-0.000267817,0.00510382,1.65489,-1.14823
18999.7,0.000735293,0.00625749,1.65596,-1.14728
18999.7,0.00292515,0.00827899,1.65807,-1.14505
18999.7,-0.00281054,0.0026801,1.65223,-1.15092
18999.6,0.00220927,0.00779525,1.65728,-1.14585
18999.6,0.000434134,0.00586884,1.65545,-1.14774
18999.6,-1.77E-05,0.00545118,1.65506,-1.14807
18999.7,0.00150244,0.00686128,1.65643,-1.1467
18999.7,0.00174752,0.00707779,1.65677,-1.14639
18999.7,-0.00235071,0.00323645,1.65279,-1.15034
18999.7,-0.00180116,0.00375971,1.65356,-1.14964
18999.7,-0.000974851,0.00463231,1.65427,-1.14882
18999.7,-0.00185316,0.0036994,1.65355,-1.14971
18999.7,-0.00184218,0.00356194,1.6532,-1.14999
18999.7,0.00102243,0.00651966,1.65629,-1.14689
18999.7,0.00123668,0.00679005,1.65635,-1.1467
18999.6,0.00158926,0.0067466,1.65638,-1.14676
18999.6,0.00129713,0.00655963,1.65618,-1.147
18999.7,-0.000753417,0.00460688,1.65432,-1.14892
18999.7,-0.00167397,0.00355476,1.65347,-1.14975
18999.7,0.00169251,0.00700231,1.65664,-1.14649
18999.7,0.000466131,0.00555943,1.65528,-1.14784
18999.7,0.000191611,0.00535831,1.65506,-1.14811
18999.7,-0.000815064,0.00414953,1.65377,-1.14929
18999.7,-0.00240808,0.00269882,1.65248,-1.15069
18999.8,-0.00133117,0.0040116,1.65367,-1.14945
18999.6,-0.0015963,0.00331944,1.65303,-1.15008
18999.6,-0.00105169,0.00389401,1.6537,-1.14947
18999.7,0.000779813,0.00590592,1.6557,-1.14747
18999.6,-0.00240346,0.00248915,1.65211,-1.15095
18999.7,-0.00112687,0.003843,1.65358,-1.14956
18999.7,2.46E-05,0.00503949,1.65471,-1.1484
18999.7,-0.00166521,0.00343937,1.65296,-1.15013
18999.7,0.00102945,0.00607607,1.65565,-1.14746
18999.6,-0.00258483,0.0023758,1.65192,-1.15124
18999.7,0.000938444,0.00604874,1.65554,-1.14753
18999.7,-0.00253645,0.00233979,1.65208,-1.15104
18999.6,-0.00239565,0.002338,1.65211,-1.15102
18999.6,-0.00329561,0.00140564,1.65117,-1.152
18999.7,0.00132984,0.00613851,1.65598,-1.14718
18999.7,-0.00327969,0.00169782,1.65142,-1.15177
18999.7,-0.00161069,0.00355098,1.65323,-1.14991
18999.7,0.00186335,0.00679717,1.65632,-1.14676
18999.7,0.000282973,0.00497449,1.65479,-1.14826
18999.7,-0.00160496,0.00336376,1.6531,-1.15008
18999.6,0.00180653,0.00642244,1.65611,-1.14692
18999.7,0.000328735,0.00505269,1.65476,-1.14826
18999.7,-0.00143246,0.00366653,1.6531,-1.14996
18999.7,0.000917033,0.00585316,1.65527,-1.14778
18999.7,-0.00247956,0.00262691,1.65233,-1.15081
18999.7,-0.00164759,0.00323121,1.65281,-1.15024
18999.7,-0.000698968,0.00409545,1.65381,-1.1493
18999.7,0.00123052,0.00602594,1.65594,-1.14726
18999.6,-0.000997909,0.00369191,1.65324,-1.1498
18999.7,-0.00213724,0.00290087,1.6525,-1.15061
18999.7,-0.00207913,0.00278895,1.65249,-1.15068
18999.6,0.000264268,0.00500378,1.65474,-1.1484
18999.7,-0.00198113,0.00289573,1.6525,-1.15057
18999.7,0.00123656,0.00600096,1.65576,-1.14733
18999.6,-0.00306776,0.00170378,1.65138,-1.15171
18999.7,-0.00178041,0.00323369,1.65284,-1.15035
18999.6,0.00153442,0.00630064,1.65583,-1.14718
18999.6,0.00313747,0.00772053,1.6574,-1.1457
18999.7,-0.00290432,0.00199844,1.65162,-1.15146
18999.7,-0.000852039,0.00412532,1.65376,-1.14932
18999.6,0.00174595,0.00652988,1.65601,-1.14698
18999.7,-0.00339773,0.00130951,1.65098,-1.1521
18999.7,0.00279032,0.0075699,1.65718,-1.14591
18999.7,-0.00228516,0.00257144,1.65219,-1.15088
18999.6,0.00233397,0.00710458,1.65674,-1.14629
18999.7,0.000516965,0.00559411,1.65524,-1.14786
18999.7,0.000301701,0.00522196,1.65485,-1.14834
18999.7,-0.00307441,0.00189216,1.6515,-1.15155
18999.7,-0.00282293,0.00184136,1.6516,-1.15153
18999.7,0.000734924,0.00539689,1.65511,-1.148
18999.7,0.00137485,0.00613257,1.6559,-1.14727
18999.6,0.00151905,0.00614183,1.65561,-1.14743
18999.7,-0.00114804,0.00362006,1.6533,-1.1498
18999.7,-0.00386695,0.00102863,1.6507,-1.15237
18999.7,-0.000570133,0.0040733,1.65387,-1.14921
18999.7,0.000296883,0.00496326,1.65461,-1.14847
18999.7,0.0031348,0.00782643,1.65762,-1.14549
18999.7,-0.00213747,0.00282795,1.65249,-1.15063
18999.7,-0.00214137,0.00246607,1.6521,-1.15095
18999.7,0.00211158,0.00686491,1.65651,-1.14665
18999.7,-0.00179538,0.00288144,1.65256,-1.15047
18999.7,0.00163698,0.00616073,1.65587,-1.1472
18999.7,0.00341875,0.0079257,1.65766,-1.14544
18999.7,-0.00257731,0.00217174,1.65191,-1.15116
18999.7,-0.00195597,0.0028412,1.65252,-1.15055
18999.6,0.000674689,0.00523184,1.6549,-1.14814
18999.7,0.00143444,0.00642609,1.65596,-1.14706
18999.7,-0.00359266,0.00100435,1.65079,-1.15233
18999.6,0.00227115,0.00712537,1.65668,-1.14633
18999.7,0.00194578,0.00694032,1.65657,-1.14652
18999.6,0.00253061,0.00727477,1.6569,-1.14619
18999.7,-0.00117089,0.00368473,1.65335,-1.1497
18999.6,-0.000599522,0.00429609,1.65382,-1.14924
18999.7,-0.00105882,0.00404362,1.65378,-1.14934
18999.7,-0.000164923,0.0047436,1.65449,-1.1486
18999.7,-0.000450816,0.00435126,1.65409,-1.14905
18999.7,0.000856389,0.00576566,1.65541,-1.14764
18999.7,0.000160213,0.00513644,1.65476,-1.14838
18999.7,-0.000163556,0.00475693,1.65448,-1.14856
18999.7,0.00319513,0.00782953,1.65758,-1.14546
18999.7,-0.00327316,0.00171995,1.65147,-1.15164
18999.7,-0.00124253,0.0038802,1.65357,-1.14952
18999.7,0.000231245,0.00527414,1.65492,-1.14821
18999.7,-0.00171962,0.00365625,1.65301,-1.15003
18999.7,0.00283876,0.00831556,1.65788,-1.14514
18999.7,0.00021922,0.00551382,1.65513,-1.14789
18999.7,0.000224738,0.00516165,1.65493,-1.14816
18999.6,0.00150616,0.00640603,1.65624,-1.14689
18999.7,-0.00351472,0.00173935,1.65135,-1.15176
18999.7,-0.00393086,0.00117435,1.65081,-1.15227
18999.7,-0.00136916,0.00370132,1.65346,-1.14966
18999.7,0.00144142,0.00643444,1.65595,-1.14703
18999.7,-0.000298914,0.00478952,1.65453,-1.14856
18999.7,-0.00138856,0.00366569,1.6532,-1.14985
18999.7,-0.00455541,0.000424139,1.65027,-1.15291
18999.7,-0.000136794,0.00504532,1.6547,-1.14829
18999.7,0.00244909,0.0073526,1.65709,-1.146
18999.7,-0.0025523,0.00263372,1.65224,-1.1508
18999.7,-0.000226196,0.00468797,1.65455,-1.14857
18999.7,-0.00288202,0.00206049,1.65171,-1.15136
18999.6,-0.0021452,0.00257799,1.65225,-1.15083
18999.6,0.00149961,0.00655809,1.65607,-1.14696
18999.7,-0.0016177,0.00339597,1.65314,-1.14992
18999.7,0.00118752,0.00633396,1.65602,-1.14705
18999.7,-0.000358036,0.00457517,1.65436,-1.14876
18999.7,-0.00204251,0.00310684,1.65285,-1.15026
18999.6,-0.00254363,0.00238736,1.65199,-1.15106
18999.7,0.00238103,0.00735587,1.65697,-1.14604
18999.7,9.75E-05,0.00509139,1.6547,-1.14839
18999.7,0.000303715,0.00521845,1.65493,-1.1481
18999.8,0.00151272,0.00682134,1.65641,-1.14666
18999.7,-0.00135709,0.00372047,1.65328,-1.14977
18999.7,-0.00136088,0.00347912,1.65319,-1.14989
18999.7,-0.00176826,0.00321994,1.65281,-1.15023
18999.7,7.15E-05,0.00526021,1.6549,-1.14825
18999.7,-0.00151184,0.00332892,1.65313,-1.14997
18999.7,0.00313794,0.00803856,1.65771,-1.14537
18999.7,7.70E-05,0.0049858,1.65459,-1.14845
18999.7,-0.00312571,0.00174773,1.65153,-1.15161
18999.7,-0.000610647,0.00415669,1.65377,-1.14927
18999.7,-0.000602508,0.00430302,1.65401,-1.1491
18999.7,0.000285335,0.0052259,1.65482,-1.14822
18999.7,-0.00132888,0.00347376,1.65324,-1.14989
18999.7,0.00148428,0.00615369,1.65578,-1.14722
18999.7,-0.00212294,0.00283457,1.65251,-1.15055
18999.7,-0.00031837,0.0043128,1.65402,-1.14907
18999.7,-0.00126741,0.00358617,1.6532,-1.14982
18999.7,-0.00074075,0.00416223,1.65385,-1.14925
18999.7,-0.00288927,0.00161611,1.65144,-1.15164
18999.7,-0.000530431,0.0039495,1.65376,-1.14934
18999.7,-0.00213506,0.00265064,1.65226,-1.15074
18999.7,0.000159988,0.00461983,1.65436,-1.14872
18999.7,0.000101637,0.00452123,1.65429,-1.14876
18999.7,-0.00323297,0.00143506,1.65118,-1.1519
18999.7,-0.0018419,0.00292603,1.65265,-1.15042
18999.7,-0.00332536,0.00142376,1.65103,-1.152
18999.7,2.48E-05,0.00485866,1.65446,-1.14855
18999.7,-0.00293386,0.0017972,1.65137,-1.15167
18999.7,0.000898412,0.00549697,1.65519,-1.14788
18999.6,-0.0025366,0.00184299,1.65151,-1.15157
18999.6,0.000853485,0.00515963,1.65484,-1.14818
18999.7,0.000277149,0.00485606,1.65448,-1.14858
18999.7,-0.00187374,0.00288261,1.65245,-1.15062
18999.7,-0.00350965,0.000967573,1.65066,-1.15244
18999.6,1.78E-05,0.0043826,1.654,-1.14901
18999.7,-0.00158924,0.00302409,1.65267,-1.1504
18999.6,0.000795729,0.00516932,1.65472,-1.14829
18999.7,-0.00344891,0.000968373,1.65078,-1.15231
18999.7,-0.00113819,0.0034936,1.65304,-1.14995
18999.7,-0.0012519,0.0031781,1.6528,-1.15018
18999.7,-0.00292696,0.00163927,1.65131,-1.15178
18999.6,0.00104514,0.00525856,1.65492,-1.14813
18999.7,-0.00378114,0.000837538,1.65028,-1.15275
18999.6,0.0010452,0.00493695,1.65475,-1.14835
18999.7,-0.00177274,0.00265159,1.65222,-1.15075
18999.6,-0.000234945,0.0041062,1.65359,-1.14936
18999.7,0.000267028,0.00440999,1.65425,-1.14876
18999.6,0.00190511,0.00602603,1.65563,-1.14738
18999.7,0.00179828,0.0059444,1.65557,-1.1474
18999.7,-0.00181607,0.00241475,1.65205,-1.15093
18999.7,-0.00255263,0.00160987,1.65123,-1.15167
18999.7,-0.00177146,0.00203118,1.65183,-1.15119
18999.7,-0.000734637,0.0034269,1.65305,-1.14988
18999.7,-0.000606591,0.0035549,1.65307,-1.1499
18999.6,0.000461206,0.00421461,1.65393,-1.14912
18999.7,-0.00146979,0.00246469,1.65205,-1.151
18999.7,-0.00219894,0.00170369,1.65148,-1.15162
18999.7,0.00135827,0.00516188,1.65484,-1.14815
18999.7,0.00283406,0.00674343,1.65638,-1.14663
18999.7,0.000375022,0.00435933,1.65385,-1.14905
18999.7,-0.000179907,0.00372848,1.65348,-1.14955
18999.7,-0.00248476,0.00135308,1.65086,-1.15208
18999.6,0.00105308,0.00474636,1.65444,-1.14853
18999.7,-0.00398387,-0.000119322,1.64943,-1.15346
18999.7,0.000734688,0.00459081,1.65409,-1.14886
18999.7,0.000259092,0.00370457,1.65337,-1.14947
18999.7,0.000223312,0.00377038,1.65328,-1.14966
18999.7,-0.00426438,-0.000494301,1.64915,-1.15375
18999.7,-0.000409823,0.00308443,1.65277,-1.1502
18999.7,-0.00194379,0.00145343,1.65106,-1.15188
18999.7,-0.00326523,1.87E-05,1.64981,-1.15316
18999.6,-0.00135445,0.00188133,1.65159,-1.15136
18999.7,0.00249885,0.00586014,1.65545,-1.14741
18999.7,-0.00147424,0.00200991,1.65152,-1.15137
18999.7,3.78E-06,0.0033573,1.65305,-1.14989
18999.7,-0.00261981,0.000668888,1.65027,-1.15263
18999.6,6.36E-05,0.0031684,1.6528,-1.15018
18999.7,-0.00206871,0.00140718,1.65109,-1.15189
18999.7,0.000740776,0.00409675,1.65378,-1.14908
18999.7,-0.00121588,0.00204516,1.65169,-1.15123
18999.7,-0.00352065,-0.000195281,1.64957,-1.15341
