Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
18999.7,2.43804,1.14036,6.21929,5.95443
18999.6,2.43829,1.14043,6.2198,5.95469
18999.7,2.43822,1.14038,6.21958,5.9545
18999.7,2.43843,1.14038,6.21941,5.95414
18999.7,2.43809,1.14031,6.21931,5.95379
18999.7,2.43805,1.1403,6.21917,5.95373
18999.7,2.43834,1.14039,6.21933,5.9539
18999.7,2.43848,1.14033,6.21946,5.9538
18999.7,2.43832,1.14037,6.21947,5.954
18999.7,2.43818,1.14024,6.21897,5.95354
18999.7,2.43829,1.14033,6.21948,5.95386
18999.7,2.43827,1.14034,6.21943,5.95394
18999.6,2.43863,1.14041,6.21955,5.95407
18999.7,2.4383,1.14041,6.21968,5.9544
18999.7,2.43835,1.14037,6.21947,5.95416
18999.7,2.4383,1.1404,6.21945,5.95413
18999.7,2.43808,1.14031,6.21935,5.95419
18999.7,2.43837,1.14043,6.21969,5.95455
18999.7,2.43821,1.14041,6.21962,5.95449
18999.7,2.4384,1.14036,6.21939,5.95409
18999.7,2.43833,1.14037,6.21947,5.95427
18999.7,2.43825,1.14039,6.2194,5.95416
18999.7,2.43839,1.14038,6.21946,5.9544
18999.7,2.43828,1.14036,6.21926,5.95426
18999.7,2.43833,1.14039,6.21986,5.95461
18999.7,2.43811,1.14027,6.21926,5.95408
18999.7,2.43818,1.1404,6.2192,5.95413
18999.7,2.43862,1.14049,6.22008,5.95479
18999.7,2.43842,1.14041,6.21963,5.9543
18999.7,2.43831,1.14032,6.21921,5.95391
18999.7,2.4382,1.14036,6.21935,5.95405
18999.7,2.43821,1.14033,6.21896,5.95374
18999.7,2.43816,1.14028,6.21903,5.95363
18999.7,2.43802,1.1403,6.21933,5.95391
18999.7,2.43813,1.14028,6.21882,5.95363
18999.7,2.4382,1.14034,6.21901,5.95398
18999.7,2.43811,1.1403,6.21906,5.95412
18999.7,2.43831,1.14036,6.21934,5.95421
18999.7,2.43821,1.14036,6.21933,5.95426
18999.6,2.43818,1.14032,6.2191,5.9539
18999.7,2.43806,1.14026,6.21909,5.95379
18999.7,2.43821,1.14032,6.219,5.95381
18999.7,2.43833,1.14029,6.219,5.95365
18999.8,2.43823,1.14032,6.219,5.95376
18999.7,2.43815,1.14028,6.21918,5.95366
18999.7,2.43845,1.14032,6.21929,5.95394
18999.7,2.4382,1.14019,6.21893,5.95356
18999.7,2.43825,1.14026,6.21873,5.95353
18999.7,2.43821,1.14026,6.21891,5.9536
18999.7,2.43863,1.14034,6.21957,5.95415
18999.7,2.43821,1.14016,6.21878,5.95338
18999.7,2.43825,1.14029,6.21913,5.95371
18999.7,2.43844,1.14031,6.21912,5.95388
18999.7,2.43795,1.14024,6.21863,5.95365
18999.7,2.43819,1.14027,6.21887,5.95362
18999.6,2.4383,1.14021,6.21855,5.95344
18999.7,2.43826,1.1403,6.21896,5.9536
18999.7,2.43811,1.14031,6.21918,5.95399
18999.6,2.43809,1.14033,6.21902,5.95408
18999.6,2.43836,1.14036,6.21964,5.95435
18999.7,2.4381,1.14031,6.21895,5.95425
18999.7,2.43814,1.14031,6.21915,5.95428
18999.7,2.43833,1.14042,6.21973,5.95498
18999.7,2.43836,1.14037,6.21948,5.95491
18999.6,2.43815,1.14031,6.21917,5.95478
18999.7,2.4381,1.14037,6.21931,5.95502
18999.7,2.43851,1.14038,6.21953,5.95519
18999.7,2.43834,1.14041,6.21959,5.95532
18999.6,2.43829,1.14034,6.21938,5.95511
18999.7,2.4383,1.14027,6.21885,5.95487
18999.7,2.43843,1.14037,6.21924,5.95522
18999.7,2.43859,1.14039,6.21953,5.95542
18999.7,2.43834,1.14033,6.2191,5.95482
18999.7,2.43827,1.14029,6.21892,5.95474
18999.6,2.43821,1.14035,6.21902,5.9547
18999.7,2.43834,1.14033,6.21918,5.95481
18999.7,2.43822,1.14022,6.21897,5.95466
18999.6,2.43846,1.14036,6.21906,5.95464
18999.7,2.43846,1.14035,6.21919,5.95486
18999.7,2.43837,1.14024,6.21859,5.95424
18999.7,2.43823,1.14032,6.21906,5.95453
18999.6,2.4382,1.14026,6.21899,5.95442
18999.7,2.4383,1.14024,6.21879,5.95438
18999.6,2.43849,1.1403,6.21875,5.95431
18999.6,2.43835,1.14032,6.2189,5.95448
18999.7,2.4383,1.14033,6.219,5.95455
18999.7,2.43875,1.14033,6.21923,5.95458
18999.7,2.43823,1.14029,6.21876,5.95427
18999.7,2.43807,1.14023,6.21857,5.9539
18999.7,2.43836,1.14035,6.21917,5.9542
18999.7,2.43827,1.1402,6.2183,5.95379
18999.7,2.43805,1.14027,6.21821,5.95368
18999.7,2.43833,1.1402,6.21872,5.95376
18999.7,2.43807,1.14021,6.21868,5.95392
18999.7,2.43821,1.1403,6.21896,5.95399
18999.7,2.4382,1.14016,6.21834,5.95325
18999.7,2.4382,1.14022,6.21865,5.9536
18999.7,2.43821,1.14016,6.21802,5.95311
18999.7,2.43872,1.14049,6.21949,5.95445
18999.7,2.4385,1.14033,6.21898,5.95398
18999.7,2.43837,1.14031,6.21915,5.95409
18999.7,2.43863,1.14042,6.21917,5.95423
18999.7,2.43836,1.14027,6.21837,5.95345
18999.6,2.43851,1.14029,6.21896,5.95385
18999.7,2.4383,1.14025,6.21901,5.95385
18999.7,2.43849,1.14036,6.21914,5.9541
18999.7,2.43834,1.14032,6.21898,5.95383
18999.7,2.43835,1.14027,6.2189,5.95365
18999.7,2.43854,1.14042,6.21916,5.95404
18999.7,2.4383,1.14034,6.2189,5.95369
18999.7,2.43816,1.14019,6.21831,5.9532
18999.7,2.43842,1.14015,6.2182,5.95289
18999.7,2.43839,1.14029,6.21856,5.95326
18999.6,2.43846,1.14024,6.21865,5.95312
