Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
19499.8,-0.00199422,-0.121319,1.53241,-1.26609
19499.8,-0.000735584,-0.119948,1.5338,-1.26478
19499.8,-0.00473108,-0.124172,1.52958,-1.26896
19499.7,-0.00340136,-0.122928,1.53068,-1.26783
19499.8,-0.00230428,-0.121589,1.53206,-1.26648
19499.7,0.00247114,-0.117143,1.53657,-1.26194
19499.8,-0.00328652,-0.122531,1.53123,-1.2673
19499.7,-0.00160136,-0.120982,1.53268,-1.26584
19499.7,0.00137145,-0.117938,1.53571,-1.26286
19499.8,0.000171787,-0.118984,1.53475,-1.2638
19499.8,0.00015483,-0.119209,1.53461,-1.26397
19499.7,-0.00139316,-0.120974,1.53285,-1.26571
19499.8,-0.00336022,-0.122643,1.53109,-1.26746
19499.8,-0.00240512,-0.121672,1.53202,-1.26649
19499.8,-0.00630633,-0.125355,1.52825,-1.27028
19499.8,-0.00373566,-0.123203,1.53061,-1.26795
19499.7,-0.00316537,-0.122617,1.5311,-1.26746
19499.8,-0.00390464,-0.123263,1.53057,-1.26805
19499.8,-0.00366443,-0.1229,1.53079,-1.26774
19499.8,-0.00137732,-0.120654,1.53305,-1.26547
19499.8,-0.00294966,-0.122296,1.53152,-1.26703
19499.8,-0.00202772,-0.121411,1.53226,-1.26629
19499.8,-0.00275006,-0.122158,1.53156,-1.26696
19499.8,-0.00379288,-0.123004,1.53064,-1.26788
19499.8,-0.00109079,-0.120427,1.53314,-1.26533
19499.8,-0.00373837,-0.123131,1.53063,-1.26783
19499.8,-0.00126672,-0.120918,1.53289,-1.26558
19499.8,-0.00249339,-0.121839,1.53191,-1.26665
19499.8,-0.00421837,-0.123542,1.53007,-1.2684
19499.8,-0.00446894,-0.123995,1.5297,-1.26879
19499.8,-0.00208717,-0.121515,1.53225,-1.26619
19499.8,-0.00342856,-0.122947,1.53065,-1.26781
19499.8,-0.00453348,-0.123926,1.52967,-1.26881
19499.7,-0.0028114,-0.122401,1.53128,-1.26723
19499.8,-0.0011869,-0.120717,1.53291,-1.26561
19499.8,-0.00216784,-0.121749,1.53198,-1.26649
19499.8,-0.00428853,-0.123557,1.53012,-1.26838
19499.7,-0.00148892,-0.12119,1.53261,-1.2659
19499.8,-0.00347308,-0.122956,1.53076,-1.26774
19499.8,-0.00490073,-0.124477,1.5294,-1.26915
19499.8,-0.000529888,-0.119735,1.53392,-1.2646
19499.8,-0.00343544,-0.12282,1.53085,-1.2676
19499.8,-0.0017565,-0.121057,1.53254,-1.26588
19499.8,-8.16E-05,-0.119316,1.53435,-1.26419
19499.8,-9.18E-06,-0.119428,1.53426,-1.26423
19499.8,-0.00104374,-0.120377,1.53335,-1.26513
19499.8,-0.000304118,-0.119766,1.53398,-1.26456
19499.8,-0.00458794,-0.124076,1.52971,-1.26878
19499.8,-0.000555243,-0.119819,1.53383,-1.26465
19499.8,-0.00551589,-0.124927,1.52886,-1.26966
19499.8,-0.00371211,-0.123011,1.53076,-1.26772
19499.7,-0.00212274,-0.121597,1.53205,-1.26645
19499.7,-0.00451518,-0.124143,1.52954,-1.26891
19499.8,-0.00556277,-0.124824,1.5288,-1.2697
19499.8,-0.003341,-0.122745,1.53106,-1.26746
19499.8,-0.00440923,-0.123642,1.53009,-1.26842
19499.8,-0.00152545,-0.120903,1.53276,-1.26572
19499.9,-0.00372485,-0.122897,1.53091,-1.26765
19499.8,-0.00392771,-0.123237,1.53042,-1.26798
19499.8,-0.00127101,-0.120662,1.533,-1.26548
19499.8,-0.00425771,-0.123583,1.53011,-1.26842
19499.8,-5.24E-05,-0.119314,1.53441,-1.26411
19499.8,6.24E-06,-0.11945,1.53419,-1.26426
19499.8,-0.00257312,-0.121988,1.53174,-1.26683
19499.8,0.000318626,-0.119186,1.53451,-1.26396
19499.7,-0.00169483,-0.121246,1.53252,-1.26599
19499.7,0.000514947,-0.119078,1.53479,-1.26376
19499.8,-0.00153954,-0.120856,1.53278,-1.26574
19499.8,-0.00372723,-0.123,1.53063,-1.26786
19499.8,-0.000485078,-0.119937,1.53383,-1.26473
19499.8,-0.00136651,-0.12071,1.53297,-1.26551
19499.8,0.000355042,-0.119167,1.53461,-1.2639
19499.8,9.29E-05,-0.11922,1.53458,-1.2639
19499.8,-0.00475415,-0.124131,1.52971,-1.26881
19499.8,-0.00493627,-0.124243,1.52946,-1.26909
19499.8,-0.00133253,-0.1206,1.53325,-1.26536
19499.8,-0.00354324,-0.122782,1.53089,-1.26758
19499.8,-0.00523743,-0.124587,1.52921,-1.26937
19499.8,0.000683737,-0.118588,1.535,-1.26348
19499.8,-0.00297511,-0.122211,1.53147,-1.26701
