Frequency - Fgen,Phase - Fgen,Phase - R
35999.7,0.0212836,0.247504
35999.6,0.0177157,0.243692
35999.6,0.0162246,0.24237
35999.6,0.020584,0.246818
35999.7,0.020935,0.247199
35999.7,0.0221865,0.248578
35999.7,0.0188589,0.244947
35999.6,0.023904,0.250095
35999.7,0.0199047,0.245956
35999.6,0.0203733,0.246524
35999.6,0.0208607,0.247028
35999.6,0.0164874,0.242592
35999.7,0.0174213,0.243716
35999.6,0.0182802,0.244337
35999.7,0.0243354,0.250492
35999.7,0.0228139,0.249061
35999.6,0.0258296,0.251976
35999.7,0.0239308,0.250123
35999.7,0.0180549,0.244084
35999.7,0.0170568,0.243386
35999.6,0.0189526,0.245229
35999.6,0.0257581,0.252011
35999.6,0.0197388,0.245742
35999.7,0.0166647,0.242759
35999.7,0.0258186,0.252002
35999.7,0.0190022,0.245163
35999.8,0.0215284,0.247985
35999.6,0.0226937,0.248885
35999.7,0.020841,0.247046
35999.7,0.0255578,0.251872
35999.7,0.0242235,0.250652
35999.6,0.0195297,0.245426
35999.6,0.017796,0.244029
35999.7,0.0210148,0.24693
35999.7,0.0162111,0.242508
35999.7,0.0265894,0.25274
35999.7,0.0272396,0.253638
35999.8,0.0207695,0.247344
35999.6,0.0193487,0.245633
35999.6,0.0197678,0.24592
35999.6,0.0269008,0.253031
35999.6,0.0250895,0.251278
35999.6,0.0217935,0.247692
35999.7,0.0179819,0.244091
35999.6,0.0187599,0.244675
35999.6,0.0182019,0.244348
35999.7,0.0193055,0.245134
35999.7,0.0221687,0.248384
35999.6,0.0224222,0.248609
35999.7,0.0171059,0.243509
35999.7,0.0246893,0.250792
35999.7,0.0167358,0.243088
35999.7,0.0250267,0.251034
35999.8,0.0244158,0.250751
35999.6,0.0227987,0.248836
35999.6,0.0231961,0.249347
35999.6,0.0185842,0.244635
35999.5,0.0195262,0.245676
35999.6,0.0242419,0.250431
35999.7,0.0226196,0.248711
35999.7,0.0231605,0.249257
35999.6,0.0174871,0.243475
35999.7,0.0177427,0.2439
35999.7,0.0261188,0.251976
35999.7,0.0254256,0.251632
35999.7,0.023854,0.250277
35999.7,0.0158404,0.242112
35999.7,0.0184188,0.244856
35999.5,0.0213099,0.247151
35999.7,0.0167259,0.243091
35999.7,0.0163359,0.242284
35999.7,0.0195437,0.245783
35999.7,0.0175742,0.243783
35999.7,0.0242432,0.250364
35999.7,0.0167603,0.243173
35999.7,0.02016,0.246071
35999.8,0.0230582,0.249521
35999.7,0.0228779,0.248988
35999.6,0.0235383,0.249707
35999.7,0.0259479,0.252174
35999.7,0.0219164,0.248232
35999.7,0.0224197,0.248452
35999.7,0.02046,0.246768
35999.8,0.0273056,0.253732
35999.7,0.0186797,0.245126
35999.7,0.0276904,0.253995
35999.6,0.0231199,0.24915
35999.8,0.0221388,0.248789
35999.7,0.0231023,0.249234
35999.7,0.0166821,0.242945
35999.7,0.0228808,0.24913
35999.7,0.019449,0.245621
35999.7,0.0172711,0.24339
35999.6,0.0195145,0.245489
35999.7,0.0182472,0.244269
35999.6,0.0199372,0.245917
35999.7,0.0280521,0.254101
