Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
19499.8,2.44073,1.11718,6.25799,5.68001
19499.8,2.44032,1.11707,6.25768,5.67977
19499.8,2.44064,1.11715,6.25768,5.67999
19499.8,2.44041,1.1171,6.25747,5.67956
19499.8,2.44033,1.1172,6.25757,5.67977
19499.8,2.44059,1.11714,6.25768,5.67964
19499.8,2.44035,1.11708,6.25792,5.67988
19499.8,2.44067,1.11715,6.25787,5.67998
19499.8,2.44033,1.1171,6.25786,5.67986
19499.8,2.44031,1.11723,6.25787,5.67988
19499.8,2.44057,1.11718,6.25782,5.67977
19499.8,2.44052,1.11714,6.25753,5.67943
19499.8,2.44034,1.11703,6.25754,5.67923
19499.8,2.44081,1.11721,6.25813,5.6795
19499.8,2.4407,1.11713,6.25778,5.67944
19499.8,2.44038,1.11703,6.25723,5.67896
19499.7,2.4405,1.11706,6.25781,5.67942
19499.8,2.44056,1.11717,6.25768,5.67962
19499.8,2.44051,1.11701,6.25722,5.67915
19499.8,2.44028,1.11706,6.25765,5.67948
19499.7,2.44041,1.11715,6.25758,5.67965
19499.8,2.44011,1.11701,6.2572,5.67929
19499.8,2.44043,1.11711,6.25733,5.6794
19499.8,2.44026,1.1171,6.25732,5.67949
19499.8,2.44051,1.11707,6.25781,5.67971
19499.8,2.44033,1.11705,6.25768,5.6794
19499.8,2.44038,1.11707,6.25718,5.67938
19499.8,2.44024,1.11705,6.25744,5.67938
19499.8,2.44056,1.11706,6.25735,5.67945
19499.8,2.44055,1.11706,6.25761,5.67963
19499.8,2.44022,1.11703,6.25715,5.67929
19499.8,2.44047,1.11702,6.25757,5.67955
19499.8,2.44054,1.11725,6.25827,5.68023
19499.8,2.44039,1.11707,6.25762,5.67978
19499.7,2.44032,1.11709,6.2575,5.67977
19499.7,2.44038,1.11717,6.25795,5.68011
19499.8,2.44053,1.11723,6.25814,5.68026
19499.8,2.44061,1.11721,6.25792,5.67984
19499.8,2.44026,1.11713,6.25773,5.67974
19499.8,2.44062,1.1171,6.25772,5.67977
19499.9,2.44071,1.11715,6.25782,5.68005
19499.8,2.44077,1.11724,6.25842,5.68035
19499.8,2.44074,1.11718,6.25803,5.68012
19499.8,2.4407,1.11718,6.2579,5.68013
19499.8,2.44033,1.11701,6.25739,5.67963
19499.8,2.44046,1.11722,6.2578,5.68005
19499.8,2.44014,1.11704,6.25728,5.67943
19499.8,2.44044,1.11708,6.25779,5.67978
19499.7,2.44037,1.11717,6.25787,5.68005
19499.7,2.44019,1.11707,6.25738,5.67963
19499.8,2.44061,1.11716,6.25785,5.68008
19499.8,2.44029,1.11717,6.25781,5.67995
19499.8,2.44047,1.11719,6.25791,5.68005
19499.8,2.44044,1.11711,6.25745,5.67954
19499.8,2.44068,1.11716,6.25796,5.68005
19499.8,2.44042,1.11715,6.25779,5.67992
19499.8,2.44039,1.11707,6.25736,5.67972
19499.8,2.44045,1.11708,6.25775,5.67998
19499.8,2.44078,1.11729,6.25807,5.68036
