Frequency,Gen,R,L,C
9549.877,2.496,0.289,0.757,3.18
9599.974,2.496,0.291,0.767,3.189
9649.907,2.495,0.294,0.778,3.198
9649.916,2.496,0.294,0.778,3.198
9699.786,2.495,0.296,0.789,3.208
9699.787,2.496,0.296,0.789,3.208
9749.913,2.496,0.299,0.8,3.218
9799.877,2.495,0.301,0.811,3.227
9799.833,2.495,0.301,0.811,3.228
9849.945,2.495,0.304,0.823,3.238
9849.957,2.495,0.304,0.822,3.237
9899.886,2.495,0.306,0.834,3.247
9949.985,2.495,0.309,0.845,3.257
9949.998,2.495,0.309,0.846,3.257
9999.923,2.495,0.312,0.857,3.268
10050.009,2.495,0.314,0.869,3.278
10050.016,2.495,0.314,0.869,3.278
10099.942,2.495,0.317,0.881,3.288
10099.888,2.495,0.317,0.881,3.288
10149.826,2.495,0.319,0.893,3.299
10199.915,2.494,0.322,0.905,3.31
10199.92,2.495,0.322,0.905,3.31
10249.819,2.494,0.325,0.917,3.32
10249.821,2.494,0.325,0.918,3.321
10299.916,2.494,0.328,0.93,3.332
10349.871,2.495,0.33,0.943,3.343
10349.897,2.494,0.33,0.943,3.343
10399.947,2.494,0.333,0.956,3.354
10399.953,2.494,0.333,0.956,3.354
10449.907,2.494,0.336,0.968,3.365
10499.78,2.494,0.339,0.982,3.376
10499.842,2.494,0.339,0.981,3.376
10549.938,2.494,0.342,0.995,3.388
10549.892,2.494,0.342,0.995,3.388
10599.818,2.494,0.344,1.009,3.4
10649.944,2.494,0.347,1.022,3.411
10649.913,2.494,0.347,1.022,3.411
10699.82,2.494,0.35,1.036,3.423
10749.923,2.493,0.353,1.05,3.435
10749.995,2.494,0.353,1.05,3.435
10799.907,2.493,0.356,1.064,3.448
10799.927,2.493,0.356,1.064,3.448
10849.81,2.493,0.359,1.079,3.46
10899.923,2.493,0.362,1.093,3.472
10899.906,2.493,0.362,1.093,3.473
10949.806,2.493,0.365,1.108,3.485
10949.812,2.493,0.365,1.108,3.485
10999.936,2.493,0.369,1.122,3.498
11049.882,2.493,0.372,1.137,3.511
11049.816,2.493,0.372,1.138,3.511
11099.995,2.493,0.375,1.153,3.524
11099.956,2.493,0.375,1.153,3.524
11149.853,2.493,0.378,1.168,3.537
11199.995,2.493,0.381,1.184,3.551
11199.99,2.492,0.381,1.184,3.551
11249.931,2.492,0.385,1.2,3.564
11249.825,2.492,0.385,1.2,3.564
11299.833,2.492,0.388,1.216,3.578
11349.903,2.492,0.391,1.232,3.592
11349.956,2.492,0.391,1.232,3.592
11399.842,2.492,0.394,1.248,3.606
11449.921,2.492,0.398,1.265,3.62
11449.959,2.492,0.398,1.265,3.62
11499.851,2.492,0.401,1.282,3.634
11499.832,2.492,0.401,1.282,3.634
11549.96,2.491,0.405,1.298,3.648
11599.889,2.491,0.408,1.315,3.663
11599.9,2.492,0.408,1.316,3.663
11649.805,2.492,0.412,1.333,3.678
11649.833,2.491,0.412,1.333,3.678
11699.908,2.491,0.415,1.351,3.693
11749.832,2.491,0.419,1.369,3.709
11749.807,2.491,0.419,1.369,3.708
11799.892,2.491,0.423,1.387,3.724
11799.925,2.491,0.423,1.387,3.724
11849.845,2.491,0.426,1.405,3.739
11899.983,2.491,0.43,1.424,3.755
11899.889,2.491,0.43,1.424,3.755
11949.905,2.491,0.434,1.443,3.771
11949.841,2.491,0.434,1.443,3.771
12000,2.49,0.437,1.462,3.787
12049.906,2.49,0.441,1.481,3.803
12049.896,2.49,0.441,1.481,3.803
12099.84,2.49,0.445,1.5,3.819
12138.339,2.49,0.448,1.515,3.832
12149.941,2.49,0.449,1.52,3.836
12199.828,2.49,0.453,1.54,3.853
12199.853,2.49,0.453,1.54,3.853
12249.852,2.49,0.457,1.561,3.87
12299.893,2.489,0.461,1.581,3.887
12299.884,2.489,0.461,1.582,3.887
12349.926,2.489,0.465,1.602,3.905
12349.964,2.489,0.465,1.603,3.905
12399.873,2.489,0.469,1.624,3.922
12449.768,2.488,0.473,1.645,3.94
12449.787,2.489,0.473,1.645,3.94
12499.87,2.488,0.478,1.667,3.958
12499.871,2.488,0.478,1.667,3.958
12549.851,2.488,0.482,1.689,3.976
12599.933,2.488,0.486,1.712,3.995
12599.906,2.488,0.486,1.711,3.995
12649.761,2.488,0.491,1.734,4.014
12649.842,2.488,0.491,1.734,4.014
12699.942,2.488,0.495,1.757,4.032
12749.853,2.488,0.499,1.78,4.052
12749.827,2.488,0.499,1.78,4.052
12799.761,2.488,0.504,1.804,4.071
12849.918,2.487,0.508,1.827,4.09
12849.94,2.487,0.508,1.827,4.09
12899.8,2.487,0.513,1.851,4.11
12899.822,2.487,0.513,1.851,4.11
12949.904,2.487,0.518,1.876,4.13
12999.845,2.487,0.522,1.901,4.15
12999.854,2.486,0.522,1.901,4.15
13049.963,2.487,0.527,1.926,4.171
13049.976,2.487,0.527,1.926,4.171
13099.831,2.486,0.532,1.951,4.191
13149.936,2.486,0.537,1.977,4.213
13149.94,2.486,0.537,1.978,4.213
13199.837,2.486,0.542,2.004,4.234
13199.808,2.486,0.542,2.004,4.234
13249.793,2.486,0.547,2.031,4.256
13299.865,2.485,0.552,2.057,4.277
13299.921,2.485,0.552,2.057,4.277
13349.829,2.485,0.557,2.084,4.299
13349.79,2.485,0.557,2.085,4.299
13399.909,2.485,0.562,2.113,4.321
13449.83,2.484,0.567,2.141,4.344
13449.841,2.485,0.567,2.141,4.344
13499.961,2.484,0.573,2.169,4.367
13499.941,2.484,0.573,2.17,4.367
13549.832,2.484,0.578,2.198,4.39
13599.775,2.484,0.583,2.227,4.413
13599.799,2.483,0.583,2.228,4.413
13649.878,2.484,0.589,2.257,4.437
13649.875,2.484,0.589,2.258,4.437
13699.78,2.483,0.594,2.288,4.46
13749.871,2.483,0.6,2.318,4.485
13749.865,2.483,0.6,2.318,4.484
13799.865,2.483,0.606,2.349,4.509
13799.852,2.483,0.606,2.349,4.509
13849.959,2.482,0.611,2.38,4.533
13899.839,2.482,0.617,2.412,4.558
13899.82,2.482,0.617,2.413,4.559
13949.698,2.482,0.623,2.445,4.584
13949.812,2.481,0.623,2.445,4.583
13999.857,2.481,0.629,2.478,4.609
14049.746,2.481,0.635,2.51,4.634
14049.715,2.481,0.635,2.511,4.634
14099.893,2.481,0.641,2.545,4.66
14099.897,2.48,0.641,2.545,4.66
14149.815,2.48,0.647,2.579,4.687
14199.923,2.48,0.654,2.613,4.713
14199.936,2.48,0.654,2.614,4.714
14249.789,2.479,0.66,2.648,4.74
