Frequency,Gen,R,L,C
25149.737,2.478,0.657,4.766,2.605
25199.621,2.478,0.654,4.752,2.586
25199.635,2.478,0.653,4.752,2.587
25249.802,2.478,0.65,4.737,2.568
25299.685,2.478,0.647,4.723,2.55
25299.695,2.478,0.647,4.723,2.55
25349.835,2.478,0.644,4.709,2.532
25349.817,2.479,0.644,4.709,2.533
25399.745,2.478,0.64,4.695,2.515
25449.801,2.479,0.637,4.681,2.497
25449.824,2.479,0.637,4.682,2.497
25499.738,2.479,0.634,4.668,2.48
25499.734,2.479,0.634,4.668,2.48
25549.796,2.479,0.631,4.654,2.462
25599.791,2.479,0.628,4.641,2.445
25599.753,2.479,0.628,4.641,2.446
25649.717,2.479,0.625,4.628,2.429
25699.794,2.479,0.622,4.614,2.412
25699.786,2.48,0.622,4.614,2.412
25749.743,2.48,0.619,4.601,2.395
25749.698,2.479,0.619,4.601,2.396
25799.867,2.48,0.616,4.588,2.379
25849.744,2.48,0.613,4.575,2.363
25849.718,2.48,0.613,4.575,2.363
25899.803,2.48,0.61,4.562,2.347
25899.807,2.48,0.61,4.563,2.347
25949.743,2.48,0.607,4.55,2.331
25999.696,2.48,0.604,4.537,2.315
25999.716,2.48,0.604,4.537,2.316
26049.714,2.48,0.601,4.524,2.3
26049.736,2.481,0.601,4.525,2.3
26099.731,2.481,0.599,4.512,2.285
26149.827,2.481,0.596,4.5,2.269
26149.852,2.481,0.596,4.5,2.269
26199.66,2.481,0.593,4.488,2.254
26249.795,2.481,0.59,4.475,2.239
26249.803,2.481,0.59,4.476,2.239
26299.736,2.481,0.588,4.464,2.224
26299.703,2.481,0.588,4.464,2.224
26349.653,2.481,0.585,4.452,2.21
26399.745,2.481,0.582,4.44,2.195
26399.704,2.481,0.582,4.44,2.195
26449.606,2.481,0.579,4.428,2.18
26449.637,2.482,0.579,4.429,2.181
26499.74,2.481,0.577,4.417,2.166
26549.68,2.482,0.574,4.405,2.152
26549.707,2.482,0.574,4.406,2.152
26599.859,2.482,0.572,4.394,2.138
26599.83,2.482,0.572,4.394,2.138
26649.695,2.482,0.569,4.383,2.124
26699.827,2.482,0.566,4.371,2.11
26699.833,2.482,0.567,4.372,2.11
26749.763,2.482,0.564,4.36,2.097
26799.64,2.483,0.561,4.35,2.083
26799.664,2.482,0.561,4.349,2.083
26849.741,2.482,0.559,4.338,2.07
26849.783,2.483,0.559,4.338,2.07
26899.711,2.482,0.556,4.328,2.057
26949.766,2.483,0.554,4.317,2.043
26949.812,2.483,0.554,4.317,2.044
26999.688,2.483,0.552,4.306,2.03
26999.694,2.483,0.551,4.306,2.03
27049.78,2.483,0.549,4.296,2.018
27099.689,2.483,0.547,4.285,2.005
27099.708,2.483,0.547,4.285,2.005
27149.605,2.483,0.544,4.275,1.992
27149.581,2.483,0.544,4.275,1.992
27199.747,2.483,0.542,4.264,1.98
27249.675,2.483,0.54,4.254,1.967
27249.651,2.483,0.54,4.254,1.968
27299.75,2.483,0.537,4.244,1.955
27299.723,2.483,0.537,4.244,1.955
27349.677,2.483,0.535,4.234,1.943
27399.804,2.484,0.533,4.224,1.931
27399.777,2.483,0.533,4.224,1.931
27449.738,2.483,0.531,4.214,1.919
27499.825,2.483,0.528,4.205,1.907
27499.856,2.483,0.528,4.205,1.907
27549.706,2.484,0.526,4.194,1.896
27549.76,2.484,0.526,4.195,1.896
27599.659,2.484,0.524,4.185,1.884
27649.761,2.484,0.522,4.175,1.872
27649.752,2.484,0.522,4.176,1.873
27699.692,2.484,0.519,4.166,1.861
27699.7,2.484,0.519,4.166,1.861
27749.761,2.484,0.517,4.156,1.85
27799.699,2.484,0.515,4.147,1.838
27799.754,2.484,0.515,4.147,1.838
27849.801,2.485,0.513,4.138,1.827
27849.808,2.484,0.513,4.138,1.827
27899.738,2.484,0.511,4.129,1.816
27949.631,2.484,0.509,4.119,1.805
27949.603,2.484,0.509,4.12,1.805
27999.739,2.484,0.507,4.111,1.795
28049.658,2.484,0.505,4.101,1.784
28049.639,2.484,0.505,4.101,1.784
28099.792,2.484,0.503,4.092,1.773
28099.749,2.485,0.503,4.092,1.773
28149.655,2.484,0.501,4.083,1.762
28199.772,2.485,0.499,4.075,1.752
28199.788,2.485,0.499,4.075,1.752
28249.72,2.485,0.497,4.066,1.742
28249.707,2.485,0.497,4.066,1.742
28299.649,2.485,0.495,4.058,1.732
28349.738,2.485,0.493,4.049,1.721
28349.688,2.485,0.493,4.049,1.722
28399.625,2.485,0.491,4.041,1.712
28399.714,2.485,0.491,4.041,1.712
28449.78,2.485,0.489,4.032,1.702
28499.638,2.485,0.487,4.024,1.692
28499.682,2.485,0.487,4.024,1.692
28549.822,2.485,0.485,4.016,1.682
28549.786,2.485,0.485,4.016,1.682
28599.659,2.485,0.483,4.007,1.672
28649.768,2.486,0.481,3.999,1.663
28649.758,2.485,0.481,3.999,1.663
28699.788,2.486,0.48,3.992,1.653
28749.673,2.486,0.478,3.984,1.644
28749.682,2.486,0.478,3.983,1.644
28799.774,2.486,0.476,3.975,1.634
28799.759,2.485,0.476,3.976,1.634
28849.622,2.486,0.474,3.968,1.625
28899.743,2.486,0.472,3.96,1.616
28899.771,2.486,0.472,3.96,1.616
28949.666,2.486,0.471,3.952,1.607
28949.676,2.486,0.471,3.952,1.607
28999.8,2.486,0.469,3.945,1.598
29049.689,2.486,0.467,3.936,1.588
29049.698,2.486,0.467,3.937,1.588
29099.673,2.486,0.465,3.929,1.579
29099.631,2.486,0.465,3.929,1.579
29149.737,2.486,0.464,3.921,1.571
29199.605,2.486,0.462,3.914,1.562
29199.618,2.486,0.462,3.914,1.562
29249.707,2.486,0.46,3.906,1.553
29299.712,2.486,0.458,3.899,1.544
29299.677,2.486,0.458,3.899,1.544
29349.711,2.486,0.457,3.891,1.536
29349.715,2.486,0.457,3.892,1.536
29399.683,2.486,0.455,3.884,1.527
29449.588,2.486,0.453,3.877,1.519
29449.618,2.487,0.453,3.877,1.519
29499.72,2.487,0.452,3.87,1.51
29499.739,2.486,0.452,3.87,1.51
29549.633,2.486,0.45,3.863,1.502
29599.75,2.487,0.449,3.856,1.494
29599.733,2.486,0.448,3.856,1.494
29649.682,2.487,0.447,3.849,1.486
29649.664,2.487,0.447,3.849,1.486
29699.762,2.486,0.445,3.841,1.477
29749.692,2.487,0.444,3.835,1.469
29749.689,2.487,0.444,3.835,1.469
29799.798,2.487,0.442,3.828,1.461
29849.72,2.487,0.44,3.821,1.453
29849.718,2.487,0.44,3.821,1.453
29899.581,2.487,0.439,3.815,1.445
29899.6,2.487,0.439,3.815,1.446
29949.741,2.487,0.437,3.808,1.438
29999.63,2.487,0.436,3.801,1.43
29999.631,2.487,0.436,3.801,1.43
30049.783,2.487,0.434,3.795,1.422
30049.764,2.487,0.434,3.795,1.422
30099.649,2.487,0.433,3.788,1.415
30149.789,2.487,0.431,3.781,1.407
30149.755,2.487,0.431,3.782,1.407
30199.705,2.487,0.43,3.775,1.4
30199.683,2.487,0.43,3.775,1.4
30249.612,2.488,0.428,3.769,1.392
30299.727,2.487,0.427,3.762,1.385
30299.702,2.487,0.427,3.763,1.385
30349.63,2.487,0.425,3.756,1.378
30349.687,2.488,0.425,3.756,1.378
30399.698,2.487,0.424,3.75,1.371
30449.637,2.487,0.423,3.744,1.363
30449.625,2.487,0.422,3.743,1.363
30499.774,2.487,0.421,3.737,1.356
30549.712,2.488,0.42,3.731,1.349
30549.693,2.487,0.42,3.731,1.349
30599.579,2.488,0.418,3.725,1.342
30599.563,2.488,0.418,3.725,1.342
30649.686,2.488,0.417,3.719,1.335
30699.579,2.488,0.415,3.713,1.328
30699.59,2.488,0.415,3.713,1.328
30749.725,2.488,0.414,3.707,1.321
30749.71,2.488,0.414,3.707,1.321
30799.694,2.488,0.413,3.701,1.314
30849.72,2.488,0.411,3.695,1.307
30849.752,2.488,0.411,3.695,1.307
30899.677,2.488,0.41,3.689,1.301
30899.687,2.488,0.41,3.689,1.301
30949.788,2.488,0.409,3.684,1.294
30999.666,2.488,0.407,3.678,1.287
30999.701,2.488,0.407,3.678,1.287
31049.632,2.488,0.406,3.672,1.281
31099.72,2.488,0.405,3.666,1.274
31099.726,2.488,0.405,3.667,1.274
31149.643,2.488,0.403,3.661,1.268
31149.604,2.488,0.403,3.661,1.268
31199.735,2.488,0.402,3.655,1.261
31249.646,2.488,0.401,3.65,1.255
31249.626,2.488,0.401,3.65,1.255
31299.769,2.488,0.399,3.644,1.249
31299.738,2.488,0.399,3.644,1.249
31349.637,2.488,0.398,3.639,1.242
31399.591,2.488,0.397,3.633,1.236
31399.581,2.488,0.397,3.633,1.236
31449.668,2.488,0.396,3.628,1.23
31449.713,2.488,0.396,3.628,1.23
31499.623,2.489,0.394,3.623,1.224
31549.746,2.488,0.393,3.617,1.218
31549.762,2.488,0.393,3.617,1.218
31599.657,2.489,0.392,3.612,1.212
31649.739,2.488,0.391,3.607,1.206
31649.724,2.489,0.391,3.606,1.206
31699.635,2.488,0.389,3.601,1.2
31699.654,2.489,0.389,3.601,1.2
31749.787,2.489,0.388,3.596,1.194
31799.711,2.488,0.387,3.591,1.188
31799.719,2.489,0.387,3.591,1.188
31849.664,2.488,0.386,3.586,1.182
31849.587,2.489,0.386,3.586,1.182
31899.71,2.489,0.385,3.581,1.176
31949.632,2.489,0.383,3.575,1.17
31949.592,2.489,0.383,3.576,1.17
31999.73,2.489,0.382,3.571,1.164
31999.781,2.489,0.382,3.57,1.164
32049.668,2.489,0.381,3.565,1.159
32099.81,2.489,0.38,3.56,1.153
32099.779,2.489,0.38,3.561,1.153
32149.684,2.489,0.379,3.555,1.147
32149.688,2.489,0.379,3.556,1.147
32199.577,2.489,0.377,3.55,1.142
32249.715,2.489,0.376,3.546,1.136
32249.709,2.489,0.376,3.546,1.136
32299.633,2.489,0.375,3.541,1.131
32349.712,2.489,0.374,3.536,1.125
32349.744,2.489,0.374,3.536,1.125
32399.582,2.489,0.373,3.531,1.12
32399.645,2.489,0.373,3.531,1.12
32449.769,2.489,0.372,3.527,1.114
32499.651,2.489,0.371,3.522,1.109
32499.642,2.489,0.371,3.522,1.109
32549.557,2.489,0.37,3.517,1.104
32549.566,2.489,0.37,3.517,1.104
32599.727,2.489,0.369,3.513,1.099
32649.655,2.489,0.368,3.508,1.093
32649.621,2.49,0.368,3.508,1.093
32699.698,2.489,0.366,3.503,1.088
32699.718,2.49,0.366,3.504,1.088
32749.664,2.489,0.365,3.499,1.083
32799.705,2.489,0.364,3.494,1.078
32799.72,2.489,0.364,3.495,1.078
32849.617,2.489,0.363,3.49,1.073
32849.66,2.489,0.363,3.49,1.073
32899.742,2.489,0.362,3.485,1.068
32949.696,2.489,0.361,3.481,1.063
32949.684,2.489,0.361,3.481,1.063
32999.582,2.49,0.36,3.476,1.058
33049.698,2.49,0.359,3.472,1.053
33049.721,2.489,0.359,3.472,1.053
33099.61,2.489,0.358,3.468,1.048
33099.642,2.49,0.358,3.468,1.048
33149.786,2.49,0.357,3.464,1.043
33199.646,2.489,0.356,3.459,1.038
33199.676,2.489,0.356,3.459,1.038
33249.724,2.489,0.355,3.454,1.033
33249.723,2.489,0.355,3.454,1.033
33299.653,2.49,0.354,3.451,1.028
33349.42,2.489,0.353,3.446,1.024
33349.473,2.49,0.353,3.446,1.024
33399.717,2.489,0.352,3.442,1.019
33399.735,2.49,0.352,3.442,1.019
33449.586,2.489,0.351,3.438,1.014
33499.745,2.49,0.35,3.434,1.009
33499.74,2.49,0.35,3.434,1.009
33549.637,2.49,0.349,3.43,1.005
33549.641,2.49,0.349,3.43,1.005
33599.714,2.489,0.348,3.425,1
33649.646,2.49,0.347,3.422,0.996
33649.682,2.49,0.347,3.422,0.996
33699.549,2.49,0.346,3.417,0.991
33749.673,2.49,0.345,3.413,0.987
33749.686,2.49,0.345,3.413,0.987
33799.594,2.49,0.344,3.41,0.982
33799.612,2.49,0.344,3.409,0.982
33849.653,2.49,0.343,3.406,0.977
33899.632,2.49,0.342,3.401,0.973
33899.634,2.49,0.342,3.402,0.973
33949.711,2.49,0.341,3.398,0.969
33949.747,2.49,0.341,3.397,0.969
33999.621,2.49,0.34,3.393,0.964
34049.78,2.49,0.339,3.389,0.96
34049.774,2.49,0.339,3.39,0.96
34099.678,2.49,0.338,3.386,0.956
34099.702,2.49,0.338,3.386,0.956
34149.57,2.49,0.337,3.382,0.951
34199.669,2.49,0.336,3.378,0.947
34199.706,2.49,0.337,3.378,0.947
34249.579,2.49,0.336,3.374,0.943
34249.614,2.49,0.336,3.374,0.943
34299.723,2.49,0.335,3.371,0.939
34349.628,2.49,0.334,3.367,0.934
34349.641,2.49,0.334,3.367,0.934
34399.724,2.49,0.333,3.363,0.93
34399.727,2.49,0.333,3.363,0.93
34449.647,2.49,0.332,3.36,0.926
34499.577,2.49,0.331,3.356,0.922
34499.546,2.49,0.331,3.356,0.922
34549.641,2.49,0.33,3.353,0.918
34549.638,2.49,0.33,3.352,0.918
34599.667,2.49,0.329,3.349,0.914
34649.722,2.49,0.328,3.345,0.91
34649.688,2.49,0.329,3.345,0.91
34699.665,2.49,0.328,3.342,0.906
34749.746,2.49,0.327,3.338,0.902
34749.697,2.49,0.327,3.338,0.902
34799.613,2.49,0.326,3.334,0.898
34799.645,2.49,0.326,3.334,0.898
34849.72,2.49,0.325,3.331,0.894
34899.717,2.49,0.324,3.327,0.89
34899.67,2.49,0.324,3.328,0.89
34949.562,2.49,0.323,3.324,0.886
34949.588,2.49,0.323,3.324,0.886
