Frequency - Fgen,Phase - R,
12150.1,62.0784,0.963343
12200,62.1458,0.963343
12250.1,61.8244,0.963343
12300,61.8495,0.963343
12350.2,61.6348,0.963343
12400.1,61.5158,0.963343
12500.1,61.6312,0.963343
12550,61.2547,0.963343
12600.1,61.1926,0.963343
12650,61.2797,0.963343
12700.1,60.8754,0.963343
12800,60.5929,0.963343
12850.1,60.4235,0.963343
12900,60.3424,0.963343
12950.1,59.9897,0.963343
13000,60.0277,0.963343
13050.1,59.3927,0.963343
13100.1,59.6685,0.963343
13200.1,59.0791,0.963343
13250,59.2888,0.963343
13300.1,59.343,0.963343
13350,58.7531,0.963343
13400.1,58.8819,0.963343
13450,58.4396,0.963343
13500.2,58.531,0.963343
13600,58.376,0.963343
13650.1,58.0961,0.963343
13700,57.8059,0.963343
13750.1,57.2739,0.963343
13800,57.5101,0.963343
13900.1,56.4746,0.963343
13950,56.9007,0.963343
14000.1,56.4714,0.963343
14050,55.9453,0.963343
14100.1,56.0369,0.963343
14150,55.7267,0.963343
14200.1,55.5502,0.963343
14300.2,54.9512,0.963343
14350.1,54.7948,0.963343
14400,54.7372,0.963343
14450.1,54.6701,0.963343
14500,54.2201,0.963343
14600.1,53.7717,0.963343
14650.2,53.4782,0.963343
14700.1,53.1103,0.963343
14750,52.9624,0.963343
14800.1,53.0802,0.963343
14850,51.944,0.963343
14900.1,52.291,0.963343
14950,51.6802,0.963343
15000.1,51.7814,0.963343
15050.1,50.6829,0.963343
15100.2,50.9111,0.963343
15150.1,50.4737,0.963343
15250.1,50.1757,0.963343
15300,49.5526,0.963343
15350.1,49.5596,0.963343
15400.1,48.6307,0.963343
15450.2,48.6849,0.963343
15500.1,48.3917,0.963343
15550,47.8322,0.963343
15600.1,47.6439,0.963343
15650,47.3506,0.963343
15700.1,46.9864,0.963343
15750.1,46.6276,0.963343
15800.2,46.0564,0.963343
15900,45.8182,0.963343
15950.1,45.3153,0.963343
16000,44.5001,0.963343
16050.1,44.2545,0.963343
16100.1,44.168,0.963343
16150.2,43.3842,0.963343
16200.1,43.0045,0.963343
16300.1,42.2931,0.963343
16350,41.6351,0.963343
16400.1,41.4536,0.963343
16450,41.0555,0.963343
16500.1,40.5959,0.963343
16600.2,39.23,0.963343
16650.1,39.2146,0.963343
16700,38.3875,0.963343
16750.1,38.3145,0.963343
16800,37.6212,0.963343
16850.1,37.2573,0.963343
16900.1,36.6279,0.963343
17000.1,35.5674,0.963343
17050,34.6519,0.963343
17100.1,34.476,0.963343
17150,33.9091,0.963343
17200.1,33.2848,0.963343
17300.2,32.5248,0.963343
17350.1,31.6805,0.963343
17400.2,31.1017,0.963343
17450.1,30.5035,0.963343
17500,29.9419,0.963343
17550.1,28.943,0.963343
17600,29.2314,0.963343
17700.1,27.6439,0.963343
17750.2,26.8762,0.963343
17800.1,26.5556,0.963343
17850,25.538,0.963343
17900.1,24.8315,0.963343
17950,24.5789,0.963343
18000.1,23.9608,0.963343
18100.2,22.1538,0.963343
18150.1,21.663,0.963343
18200.2,21.2992,0.963343
18250.1,20.4604,0.963343
18300,19.4487,0.963343
18350.1,18.6748,0.963343
18400.1,18.329,0.963343
18500.1,17.0756,0.963343
18550.2,16.7158,0.963343
18600.1,15.5707,0.963343
18650,14.7699,0.963343
18700.1,14.2341,0.963343
18750,13.459,0.963343
18800.2,12.5066,0.963343
18850.1,11.6313,0.963343
18900.2,11.0793,0.963343
18950.1,10.4995,0.963343
19000,9.78741,0.963343
19050.1,9.0015,0.963343
19150.2,7.24518,0.963343
19200.1,6.67656,0.963343
19250.2,6.05311,0.963343
19300.1,5.60424,0.963343
19350.2,4.47307,0.963343
19450,3.18172,0.963343
19500.1,2.49181,0.963343
19550.1,1.43205,0.963343
19600.2,1.42517,0.963343
19650.1,0.425988,0.963343
19700.2,-0.838099,0.963343
19750.1,-1.26361,0.963343
19850.1,-3.13377,0.963343
19900,-3.35409,0.963343
19950.2,-3.91915,0.963343
20000.1,-4.64317,0.963343
20050.2,-5.53209,0.963343
20150,-6.73449,0.963343
20200.1,-7.22877,0.963343
20250.1,-8.1382,0.963343
20300.1,-9.04978,0.963343
20350.1,-9.27427,0.963343
20400.2,-10.5082,0.963343
20450.1,-10.6176,0.963343
20500.2,-11.2126,0.963343
20550.1,-12.2351,0.963343
20600,-12.7252,0.963343
20650.1,-13.0043,0.963343
20700.1,-13.6822,0.963343
20800.1,-15.4339,0.963343
20850.2,-15.3954,0.963343
20900.1,-16.1048,0.963343
20950,-16.6126,0.963343
21000.1,-17.0441,0.963343
21050.1,-17.4838,0.963343
21100.2,-18.593,0.963343
21150.1,-18.8688,0.963343
21200.2,-19.6438,0.963343
21250.1,-20.2681,0.963343
21300.2,-20.3008,0.963343
21350.1,-20.9909,0.963343
21450.2,-22.3885,0.963343
21500.1,-22.3868,0.963343
21550.2,-23.2645,0.963343
21600.1,-23.33,0.963343
21650.2,-24.0034,0.963343
21750,-24.9742,0.963343
21800.1,-25.3686,0.963343
21850.1,-25.9302,0.963343
21900.2,-25.8912,0.963343
21950.1,-26.4644,0.963343
22000.2,-27.0726,0.963343
22050.1,-27.3737,0.963343
22150.1,-28.2533,0.963343
22200.1,-29.3446,0.963343
22250.2,-29.0814,0.963343
22300.1,-29.5955,0.963343
22350.2,-29.8601,0.963343
22400.1,-30.4366,0.963343
22450.2,-31.1331,0.963343
22550.1,-31.5297,0.963343
22600.2,-31.7003,0.963343
22650.1,-32.2821,0.963343
22700.2,-32.288,0.963343
22750.1,-32.9285,0.963343
22800.2,-33.425,0.963343
22850.1,-33.3812,0.963343
22900,-33.3565,0.963343
22950.1,-33.9125,0.963343
23000.1,-34.4798,0.963343
23050.2,-34.7517,0.963343
23100.1,-35.0113,0.963343
23200.1,-35.5836,0.963343
23250,-36.8045,0.963343
23300.1,-36.1457,0.963343
23350.1,-37.0949,0.963343
23400.2,-36.8686,0.963343
23500.2,-37.6769,0.963343
23550.1,-38.181,0.963343
23600.2,-38.3348,0.963343
23650.1,-37.884,0.963343
23700.1,-38.9547,0.963343
23750.2,-38.7474,0.963343
23800.1,-39.0234,0.963343
23900.1,-39.7064,0.963343
23950.2,-40.0343,0.963343
24000.1,-40.1019,0.963343
24050.1,-40.5916,0.963343
24100.2,-41.0959,0.963343
24150.1,-41.5715,0.963343
24200.2,-41.2869,0.963343
24250.1,-41.3846,0.963343
24300.2,-41.8271,0.963343
24350.1,-42.0474,0.963343
24400.2,-42.1263,0.963343
24450.2,-42.3924,0.963343
24550.2,-42.0522,0.963343
24600.1,-42.7435,0.963343
24650.2,-42.8479,0.963343
24700.1,-43.2235,0.963343
24750.2,-43.6846,0.963343
24800.1,-43.891,0.963343
24850.1,-44.0099,0.963343
24950.1,-44.3511,0.963343
25000.2,-43.9868,0.963343
25050.1,-45.0993,0.963343
25100.2,-44.7322,0.963343
25150.1,-45.1078,0.963343
25250.2,-45.3774,0.963343
25300.1,-45.7511,0.963343
25350.2,-46.0334,0.963343
25400.1,-45.966,0.963343
25450.2,-46.0855,0.963343
25500.1,-46.1909,0.963343
25550.2,-46.4293,0.963343
25650.1,-46.8112,0.963343
25700.2,-46.8297,0.963343
25750.1,-46.9984,0.963343
25800.2,-47.3244,0.963343
25850.1,-47.4274,0.963343
25950.1,-47.8244,0.963343
26000.1,-47.7025,0.963343
26050.2,-47.8536,0.963343
26100.1,-48.1322,0.963343
26150.2,-48.5992,0.963343
26200.1,-48.2207,0.963343
26250.2,-48.6076,0.963343
26350.1,-48.7545,0.963343
26400.2,-49.0201,0.963343
26450.1,-49.1273,0.963343
26500.2,-49.5157,0.963343
26550.1,-49.0191,0.963343
26600.2,-48.9922,0.963343
26650.1,-49.1775,0.963343
26700.2,-49.5999,0.963343
26750.2,-49.3265,0.963343
26800.1,-49.9151,0.963343
26850.2,-50.0247,0.963343
26900.1,-50.3984,0.963343
27000.1,-50.2465,0.963343
27050.2,-50.1697,0.963343
27100.1,-50.5192,0.963343
27150.1,-50.7328,0.963343
27200.2,-50.6095,0.963343
27250.1,-50.4994,0.963343
27300.2,-51.1738,0.963343
27350.1,-51.0358,0.963343
27400.2,-50.7243,0.963343
27450.1,-51.0775,0.963343
27500.2,-51.2432,0.963343
27550.2,-51.3388,0.963343
27650.2,-51.5633,0.963343
27700.1,-51.5566,0.963343
27750.2,-51.6986,0.963343
27800.1,-51.8768,0.963343
27850.2,-51.8028,0.963343
27900.2,-51.9267,0.963343
27950.1,-51.7531,0.963343
