Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C,,,,
3699.98,-4.9843,54.5931,159.499,-4.4,0.963342836,0.963342836,0.963342836,0.963342836
3750.08,-4.80138,55.1608,159.689,-4.216,0.963342836,0.963342836,0.963342836,0.963342836
3850.11,-4.93925,55.8192,161.26,-4.346,0.963342836,0.963342836,0.963342836,0.963342836
3900.03,-4.87255,56.1305,160.662,-4.272,0.963342836,0.963342836,0.963342836,0.963342836
3949.94,-4.95602,56.0579,161.148,-4.364,0.963342836,0.963342836,0.963342836,0.963342836
4000.06,-5.0741,56.2764,160.985,-4.455,0.963342836,0.963342836,0.963342836,0.963342836
4049.98,-5.02562,56.6068,160.979,-4.407,0.963342836,0.963342836,0.963342836,0.963342836
4100.08,-5.06337,56.6504,161.356,-4.449,0.963342836,0.963342836,0.963342836,0.963342836
4149.99,-5.0014,57.204,161.31,-4.389,0.963342836,0.963342836,0.963342836,0.963342836
4200.1,-4.79162,57.4969,162.096,-4.186,0.963342836,0.963342836,0.963342836,0.963342836
4250.02,-4.93904,57.5714,162.359,-4.332,0.963342836,0.963342836,0.963342836,0.963342836
4299.94,-4.9283,57.911,162.33,-4.307,0.963342836,0.963342836,0.963342836,0.963342836
4350.05,-4.59976,58.4591,162.486,-3.99,0.963342836,0.963342836,0.963342836,0.963342836
4399.96,-5.11415,57.9601,162.313,-4.509,0.963342836,0.963342836,0.963342836,0.963342836
4450.07,-4.744,58.8032,162.851,-4.113,0.963342836,0.963342836,0.963342836,0.963342836
4499.99,-4.71523,58.8871,163.244,-4.082,0.963342836,0.963342836,0.963342836,0.963342836
4550.09,-4.8709,58.868,162.961,-4.255,0.963342836,0.963342836,0.963342836,0.963342836
4600.01,-5.06337,58.8237,162.655,-4.453,0.963342836,0.963342836,0.963342836,0.963342836
4649.93,-4.84274,59.3198,163.137,-4.243,0.963342836,0.963342836,0.963342836,0.963342836
4749.96,-4.80344,59.7306,163.293,-4.178,0.963342836,0.963342836,0.963342836,0.963342836
4800.06,-4.8283,59.9036,163.285,-4.228,0.963342836,0.963342836,0.963342836,0.963342836
4849.98,-5.04651,59.7293,163.514,-4.43,0.963342836,0.963342836,0.963342836,0.963342836
4900.09,-4.70642,60.0972,163.595,-4.095,0.963342836,0.963342836,0.963342836,0.963342836
4950.01,-4.97955,60.0312,163.434,-4.368,0.963342836,0.963342836,0.963342836,0.963342836
5050.04,-4.95672,60.4378,163.797,-4.343,0.963342836,0.963342836,0.963342836,0.963342836
5099.95,-4.76173,60.7473,164.119,-4.145,0.963342836,0.963342836,0.963342836,0.963342836
5150.05,-4.892,60.6351,164.066,-4.311,0.963342836,0.963342836,0.963342836,0.963342836
5199.97,-4.91032,61.0363,163.919,-4.325,0.963342836,0.963342836,0.963342836,0.963342836
5250.07,-4.81724,60.9901,164.181,-4.242,0.963342836,0.963342836,0.963342836,0.963342836
5350.11,-4.9186,61.0805,164.026,-4.307,0.963342836,0.963342836,0.963342836,0.963342836
5400.02,-4.8343,61.5162,164.209,-4.263,0.963342836,0.963342836,0.963342836,0.963342836
5449.94,-4.7944,61.7689,164.305,-4.222,0.963342836,0.963342836,0.963342836,0.963342836
5500.05,-4.90318,61.7598,164.334,-4.345,0.963342836,0.963342836,0.963342836,0.963342836
5549.97,-4.96789,61.8016,164.114,-4.421,0.963342836,0.963342836,0.963342836,0.963342836
5600.07,-4.74067,62.1932,164.264,-4.181,0.963342836,0.963342836,0.963342836,0.963342836
5649.99,-4.83966,62.2207,164.279,-4.288,0.963342836,0.963342836,0.963342836,0.963342836
5700.1,-4.87101,62.2561,164.193,-4.32,0.963342836,0.963342836,0.963342836,0.963342836
5750.02,-4.80248,62.2976,164.379,-4.279,0.963342836,0.963342836,0.963342836,0.963342836
5800.12,-4.84074,62.3674,164.314,-4.317,0.963342836,0.963342836,0.963342836,0.963342836
5850.04,-4.94956,62.5714,164.362,-4.419,0.963342836,0.963342836,0.963342836,0.963342836
5899.97,-4.82809,62.8021,164.42,-4.309,0.963342836,0.963342836,0.963342836,0.963342836
5999.99,-4.6281,62.9258,164.72,-4.128,0.963342836,0.963342836,0.963342836,0.963342836
6050.09,-4.94508,62.7724,164.326,-4.452,0.963342836,0.963342836,0.963342836,0.963342836
6100.02,-4.80473,63.1007,164.461,-4.302,0.963342836,0.963342836,0.963342836,0.963342836
6150.11,-4.49934,63.3827,164.763,-4.044,0.963342836,0.963342836,0.963342836,0.963342836
6200.03,-4.79512,63.0936,164.498,-4.352,0.963342836,0.963342836,0.963342836,0.963342836
6300.06,-4.6856,63.4289,164.574,-4.24,0.963342836,0.963342836,0.963342836,0.963342836
6349.98,-4.92964,63.3591,164.301,-4.506,0.963342836,0.963342836,0.963342836,0.963342836
6400.08,-4.30939,63.8465,164.998,-3.903,0.963342836,0.963342836,0.963342836,0.963342836
6450.01,-4.53507,64.046,164.639,-4.1,0.963342836,0.963342836,0.963342836,0.963342836
6500.11,-4.58929,63.7916,164.589,-4.194,0.963342836,0.963342836,0.963342836,0.963342836
6550.03,-5.04085,63.5142,164.222,-4.654,0.963342836,0.963342836,0.963342836,0.963342836
6599.94,-4.74176,63.8516,164.516,-4.385,0.963342836,0.963342836,0.963342836,0.963342836
6650.05,-4.88123,63.9854,164.458,-4.531,0.963342836,0.963342836,0.963342836,0.963342836
6699.97,-4.61035,64.0623,164.666,-4.277,0.963342836,0.963342836,0.963342836,0.963342836
6750.08,-4.74359,64.0517,164.473,-4.42,0.963342836,0.963342836,0.963342836,0.963342836
6800,-4.69903,64.2675,164.591,-4.386,0.963342836,0.963342836,0.963342836,0.963342836
6850.1,-4.81375,64.1354,164.362,-4.529,0.963342836,0.963342836,0.963342836,0.963342836
6950.12,-4.40702,64.6319,164.772,-4.158,0.963342836,0.963342836,0.963342836,0.963342836
7000.05,-4.65356,64.4118,164.422,-4.396,0.963342836,0.963342836,0.963342836,0.963342836
7049.97,-4.78247,64.4268,164.309,-4.547,0.963342836,0.963342836,0.963342836,0.963342836
7100.08,-4.69334,64.519,164.351,-4.471,0.963342836,0.963342836,0.963342836,0.963342836
7149.99,-4.5232,64.8663,164.513,-4.326,0.963342836,0.963342836,0.963342836,0.963342836
7200.1,-4.61743,64.7041,164.515,-4.431,0.963342836,0.963342836,0.963342836,0.963342836
7250.01,-4.56651,64.888,164.491,-4.416,0.963342836,0.963342836,0.963342836,0.963342836
7300.12,-4.69272,64.6307,164.325,-4.555,0.963342836,0.963342836,0.963342836,0.963342836
7350.04,-4.65461,64.8916,164.423,-4.51,0.963342836,0.963342836,0.963342836,0.963342836
7399.96,-4.603,64.9297,164.347,-4.512,0.963342836,0.963342836,0.963342836,0.963342836
7450.06,-4.73027,64.9253,164.189,-4.643,0.963342836,0.963342836,0.963342836,0.963342836
7499.98,-4.71187,64.8209,164.15,-4.649,0.963342836,0.963342836,0.963342836,0.963342836
7550.08,-4.38826,65.2289,164.607,-4.363,0.963342836,0.963342836,0.963342836,0.963342836
7600.01,-4.56978,65.0987,164.269,-4.544,0.963342836,0.963342836,0.963342836,0.963342836
7650.11,-4.39757,65.2004,164.473,-4.408,0.963342836,0.963342836,0.963342836,0.963342836
7700.03,-4.87395,64.7984,163.896,-4.915,0.963342836,0.963342836,0.963342836,0.963342836
7749.95,-4.52429,65.217,164.184,-4.574,0.963342836,0.963342836,0.963342836,0.963342836
7849.97,-4.63424,65.1234,164.058,-4.74,0.963342836,0.963342836,0.963342836,0.963342836
7900.07,-5.06544,64.7986,163.542,-5.211,0.963342836,0.963342836,0.963342836,0.963342836
7950,-4.77025,65.042,163.904,-4.916,0.963342836,0.963342836,0.963342836,0.963342836
8000.11,-4.57101,65.4132,163.986,-4.745,0.963342836,0.963342836,0.963342836,0.963342836
8050.03,-4.5547,65.4657,164.01,-4.747,0.963342836,0.963342836,0.963342836,0.963342836
8150.05,-5.25029,64.7152,163.267,-5.503,0.963342836,0.963342836,0.963342836,0.963342836
8199.97,-4.71945,65.2942,163.757,-5.001,0.963342836,0.963342836,0.963342836,0.963342836
