Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
9499.92,-0.00596922,1.34832,2.93597,0.0123104
9499.9,-0.00543375,1.34841,2.93668,0.0126742
9599.97,-0.00554295,1.3455,2.93376,0.0112818
9599.98,-0.00755356,1.34343,2.93223,0.00919922
9599.96,-0.0067265,1.34414,2.93262,0.010133
9699.83,-0.00770161,1.34055,2.92978,0.00780928
9699.8,-0.0058235,1.3412,2.93194,0.00969449
9699.81,-0.00889742,1.33859,2.92858,0.00644632
9799.81,-0.00754254,1.33693,2.92784,0.00632906
9799.82,-0.00866935,1.33583,2.92648,0.00511098
9799.89,-0.0059444,1.33948,2.92916,0.00820881
9799.81,-0.00816971,1.33598,2.92662,0.00551417
9899.9,-0.00524065,1.33566,2.9274,0.00700254
9899.9,-0.00665275,1.33452,2.92539,0.00549057
9899.9,-0.00651164,1.33415,2.92649,0.00576092
9999.87,-0.00635742,1.33211,2.9239,0.00410131
9999.82,-0.00652412,1.33153,2.92295,0.00387244
9999.92,-0.00553642,1.33269,2.92398,0.00493048
10099.9,-0.00510457,1.32932,2.92212,0.00368437
10099.9,-0.00699474,1.32648,2.91988,0.00151974
10099.8,-0.00626533,1.32775,2.92059,0.00218437
10199.9,-0.00478906,1.32574,2.91918,0.00178346
10200,-0.00495127,1.32617,2.92002,0.00189203
10199.9,-0.00592089,1.32473,2.91844,0.000689604
10200,-0.00607777,1.32423,2.91843,0.000680498
10299.9,-0.00817617,1.31897,2.91287,-0.0035594
10300,-0.00660192,1.3204,2.9145,-0.00172135
10299.9,-0.00522523,1.3213,2.91588,-0.000870867
10400,-0.00461387,1.31845,2.91349,-0.00204478
10399.9,-0.00622663,1.31718,2.91145,-0.00369436
10399.9,-0.00639965,1.31709,2.91157,-0.00392573
10499.8,-0.00676142,1.31243,2.90841,-0.00634841
10499.8,-0.0043483,1.31505,2.91083,-0.00387085
10499.8,-0.00563071,1.31347,2.90915,-0.00537942
10499.8,-0.00811763,1.31121,2.90714,-0.00781608
10599.8,-0.00569724,1.31013,2.90588,-0.00751552
10599.9,-0.0071669,1.30859,2.90471,-0.00888921
10599.8,-0.00464243,1.3107,2.90657,-0.00658191
10699.8,-0.00597675,1.30512,2.90262,-0.0103276
10699.8,-0.00543117,1.30521,2.90245,-0.00979654
10699.8,-0.00386593,1.30723,2.90422,-0.0083323
10799.9,-0.00582939,1.3018,2.89926,-0.0122862
10799.8,-0.00648703,1.30075,2.89837,-0.0132755
10799.9,-0.00490813,1.30187,2.8997,-0.0117089
10899.9,-0.00747626,1.29524,2.89422,-0.0167837
10899.9,-0.00499201,1.29806,2.89568,-0.0144467
10899.9,-0.00564445,1.29708,2.8956,-0.0150447
10899.8,-0.00642541,1.29657,2.89415,-0.0159976
10999.9,-0.00604654,1.29193,2.89203,-0.0178637
11000,-0.00430984,1.29368,2.89278,-0.0161318
10999.9,-0.00539768,1.29295,2.89282,-0.0173346
11100,-0.00439534,1.28944,2.88947,-0.018985
11099.9,-0.00607316,1.28766,2.88768,-0.0208685
11099.9,-0.0044254,1.289,2.88927,-0.0193974
11200,-0.00466353,1.28445,2.88512,-0.0222039
11200,-0.00593133,1.28268,2.88362,-0.0234756
11200,-0.00405455,1.28478,2.88553,-0.0218985
11299.8,-0.0037642,1.28029,2.88192,-0.0246376
11299.8,-0.00430329,1.27974,2.88146,-0.0249044
11299.8,-0.00667327,1.2771,2.87911,-0.0274915
11299.8,-0.005993,1.27817,2.8795,-0.0268799
11399.8,-0.00281668,1.27608,2.87848,-0.0269361
11399.8,-0.005158,1.27427,2.87624,-0.0291897
11399.8,-0.00264439,1.27668,2.87868,-0.0265783
11499.9,-0.00342197,1.27044,2.87393,-0.0304455
11499.9,-0.00559329,1.26864,2.87196,-0.0325282
11499.8,-0.00441241,1.26938,2.87244,-0.0318133
11599.8,-0.0051886,1.26345,2.86756,-0.0360763
11599.9,-0.00361354,1.26548,2.86909,-0.0341575
11599.9,-0.00226756,1.26669,2.86967,-0.0332317
11699.9,-0.00509258,1.25854,2.8627,-0.0395622
11699.9,-0.00388055,1.2592,2.864,-0.0382439
11700,-0.0027734,1.2609,2.8652,-0.0369036
11699.9,-0.00263308,1.2606,2.86474,-0.0369986
11800,-0.00239493,1.25564,2.86034,-0.0402181
11800,-0.00387783,1.254,2.85936,-0.0416846
11799.9,-0.00427222,1.2535,2.85863,-0.0421527
11900,-0.0044813,1.24786,2.85357,-0.0462418
11899.9,-0.00152002,1.25066,2.85658,-0.043449
11900,-0.00287712,1.24967,2.8552,-0.0447503
12000,-0.00367201,1.24298,2.84947,-0.0492315
12000,-0.00282842,1.24342,2.85033,-0.0486496
11999.9,-0.00156901,1.24469,2.85104,-0.0475413
12000,-0.00441191,1.2421,2.84833,-0.0502212
12099.8,-0.00424647,1.23594,2.84315,-0.0542134
12099.8,-0.00446215,1.2359,2.84329,-0.054521
12099.8,-0.00192004,1.23865,2.84548,-0.0519759
12199.7,-0.00184903,1.23215,2.84008,-0.0563506
12199.8,-0.00620017,1.22825,2.83599,-0.0604658
12199.8,-0.00414744,1.22995,2.83781,-0.0585456
12299.9,-0.00128128,1.22673,2.8355,-0.0600196
12299.8,-0.00296936,1.22484,2.83348,-0.0618609
12299.8,-0.00145121,1.22643,2.83481,-0.0603064
12399.8,-0.00262494,1.21892,2.82809,-0.0659532
12399.9,-0.00164741,1.22019,2.82924,-0.0648909
12399.9,-0.0049248,1.21614,2.82603,-0.0683029
12399.9,-0.0030554,1.21878,2.8277,-0.0664398
12499.9,-0.00457064,1.21031,2.82014,-0.0729455
