Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C
"19999,121","0,297","6,053","1,456","4,963",,2.00E+04,2.97E-01,6.05E+00,1.46E+00,4.96E+00
"19999,145","0,294","6,052","1,455","4,962",,2.00E+04,2.94E-01,6.05E+00,1.46E+00,4.96E+00
"19999,083","0,296","6,053","1,456","4,959",,2.00E+04,2.96E-01,6.05E+00,1.46E+00,4.96E+00
"19999,321","0,301","6,054","1,457","4,960",,2.00E+04,3.01E-01,6.05E+00,1.46E+00,4.96E+00
"19999,191","0,299","6,054","1,457","4,963",,2.00E+04,2.99E-01,6.05E+00,1.46E+00,4.96E+00
"19999,130","0,296","6,053","1,456","4,962",,2.00E+04,2.96E-01,6.05E+00,1.46E+00,4.96E+00
"19999,163","0,296","6,053","1,456","4,959",,2.00E+04,2.96E-01,6.05E+00,1.46E+00,4.96E+00
"19999,344","0,299","6,054","1,457","4,963",,2.00E+04,2.99E-01,6.05E+00,1.46E+00,4.96E+00
"19998,503","0,282","6,052","1,453","4,959",,2.00E+04,2.82E-01,6.05E+00,1.45E+00,4.96E+00
"19999,198","0,296","6,053","1,456","4,962",,2.00E+04,2.96E-01,6.05E+00,1.46E+00,4.96E+00
"19998,737","0,286","6,053","1,454","4,960",,2.00E+04,2.86E-01,6.05E+00,1.45E+00,4.96E+00
"19998,864","0,291","6,055","1,455","4,961",,2.00E+04,2.91E-01,6.06E+00,1.46E+00,4.96E+00
"19999,416","0,288","6,051","1,454","4,957",,2.00E+04,2.88E-01,6.05E+00,1.45E+00,4.96E+00
"19999,255","0,294","6,053","1,456","4,962",,2.00E+04,2.94E-01,6.05E+00,1.46E+00,4.96E+00
"19998,984","0,293","6,055","1,455","4,962",,2.00E+04,2.93E-01,6.06E+00,1.46E+00,4.96E+00
"19999,098","0,297","6,053","1,456","4,963",,2.00E+04,2.97E-01,6.05E+00,1.46E+00,4.96E+00
"19998,629","0,278","6,048","1,452","4,958",,2.00E+04,2.78E-01,6.05E+00,1.45E+00,4.96E+00
"19999,037","0,279","6,049","1,453","4,955",,2.00E+04,2.79E-01,6.05E+00,1.45E+00,4.96E+00
"19998,881","0,278","6,049","1,452","4,955",,2.00E+04,2.78E-01,6.05E+00,1.45E+00,4.96E+00
"19999,072","0,296","6,056","1,456","4,962",,2.00E+04,2.96E-01,6.06E+00,1.46E+00,4.96E+00
"19998,851","0,278","6,049","1,453","4,958",,2.00E+04,2.78E-01,6.05E+00,1.45E+00,4.96E+00
"19998,840","0,284","6,050","1,453","4,959",,2.00E+04,2.84E-01,6.05E+00,1.45E+00,4.96E+00
"19999,157","0,291","6,052","1,455","4,957",,2.00E+04,2.91E-01,6.05E+00,1.46E+00,4.96E+00
"19998,946","0,287","6,051","1,454","4,960",,2.00E+04,2.87E-01,6.05E+00,1.45E+00,4.96E+00
"19998,958","0,292","6,055","1,455","4,961",,2.00E+04,2.92E-01,6.06E+00,1.46E+00,4.96E+00
"19999,089","0,292","6,055","1,455","4,962",,2.00E+04,2.92E-01,6.06E+00,1.46E+00,4.96E+00
"19998,305","0,293","6,056","1,459","4,962",,2.00E+04,2.93E-01,6.06E+00,1.46E+00,4.96E+00
"19999,043","0,283","6,050","1,453","4,959",,2.00E+04,2.83E-01,6.05E+00,1.45E+00,4.96E+00
"19998,691","0,277","6,048","1,452","4,958",,2.00E+04,2.77E-01,6.05E+00,1.45E+00,4.96E+00
"19998,746","0,292","6,055","1,455","4,961",,2.00E+04,2.92E-01,6.06E+00,1.46E+00,4.96E+00
"19999,285","0,290","6,051","1,455","4,957",,2.00E+04,2.90E-01,6.05E+00,1.46E+00,4.96E+00
"19998,988","0,296","6,056","1,456","4,962",,2.00E+04,2.96E-01,6.06E+00,1.46E+00,4.96E+00
"19999,434","0,296","6,053","1,456","4,963",,2.00E+04,2.96E-01,6.05E+00,1.46E+00,4.96E+00
"19998,629","0,281","6,053","1,453","4,959",,2.00E+04,2.81E-01,6.05E+00,1.45E+00,4.96E+00
"19999,176","0,294","6,052","1,455","4,962",,2.00E+04,2.94E-01,6.05E+00,1.46E+00,4.96E+00
"19999,088","0,293","6,055","1,455","4,961",,2.00E+04,2.93E-01,6.06E+00,1.46E+00,4.96E+00
"19999,460","0,278","6,049","1,453","4,955",,2.00E+04,2.78E-01,6.05E+00,1.45E+00,4.96E+00
"19999,035","0,292","6,052","1,455","4,961",,2.00E+04,2.92E-01,6.05E+00,1.46E+00,4.96E+00
