Frequency(Hz),Gen(rad),R,L,C
"39999,179","0,290","5,258","1,023","4,647"
"39997,567","3,172","0,336","3,940","0,718"
"39998,384","0,288","5,256","1,020","4,645"
"39999,179","3,197","0,336","3,974","0,720"
"39998,868","0,293","5,259","1,026","4,649"
"39998,384","3,191","0,336","3,965","0,720"
"39998,779","0,269","5,247","1,002","4,636"
"39998,868","3,197","0,336","3,974","0,720"
"39998,803","0,268","5,247","1,001","4,636"
"39998,779","3,176","0,336","3,943","0,718"
"39999,193","0,293","5,259","1,026","4,649"
"39998,803","3,175","0,336","3,942","0,718"
"39998,579","0,280","5,251","1,012","4,641"
"39999,193","3,199","0,336","3,978","0,721"
"39998,122","0,267","5,247","1,001","4,635"
"39998,579","3,185","0,336","3,957","0,719"
"39998,946","0,280","5,252","1,013","4,641"
"39998,122","3,171","0,336","3,937","0,718"
"39998,864","0,283","5,253","1,015","4,642"
"39998,946","3,185","0,336","3,959","0,719"
"39998,533","0,295","5,259","1,028","4,650"
"39998,864","3,188","0,336","3,962","0,720"
"39998,975","0,287","5,255","1,018","4,644"
"39998,533","3,197","0,336","3,976","0,721"
"39998,652","0,287","5,255","1,019","4,644"
"39998,975","3,192","0,336","3,967","0,720"
"39999,077","0,291","5,257","1,023","4,647"
"39998,652","3,191","0,336","3,965","0,720"
"39999,193","0,291","5,258","1,024","4,648"
"39999,077","3,196","0,336","3,974","0,721"
"39999,046","0,279","5,251","1,011","4,640"
"39999,193","3,197","0,336","3,974","0,721"
"39998,568","0,271","5,249","1,004","4,637"
"39999,046","3,185","0,336","3,956","0,719"
"39999,135","0,282","5,252","1,016","4,642"
"39998,568","3,178","0,336","3,948","0,719"
"39998,846","0,269","5,247","1,002","4,636"
"39999,135","3,189","0,336","3,964","0,720"
"39998,185","0,282","5,253","1,014","4,642"
"39998,846","3,176","0,336","3,944","0,719"
"39998,779","0,283","5,254","1,017","4,643"
"39998,185","3,185","0,336","3,958","0,720"
"39999,265","0,289","5,257","1,023","4,646"
"39998,779","3,189","0,336","3,963","0,720"
"39999,037","0,281","5,253","1,015","4,642"
"39999,265","3,196","0,336","3,974","0,721"
"39999,235","0,292","5,259","1,025","4,648"
"39999,037","3,187","0,336","3,962","0,720"
"39999,377","0,292","5,258","1,025","4,648"
"39999,235","3,198","0,336","3,977","0,721"
"39998,700","0,291","5,257","1,024","4,647"
"39999,377","3,199","0,336","3,978","0,721"
"39998,935","0,293","5,259","1,026","4,649"
"39998,700","3,195","0,336","3,972","0,721"
"39998,739","0,293","5,259","1,025","4,648"
"39998,935","3,198","0,336","3,976","0,721"
"39998,437","0,280","5,252","1,013","4,641"
"39998,739","3,197","0,336","3,974","0,721"
"39998,075","0,274","5,249","1,005","4,638"
"39998,437","3,184","0,336","3,956","0,720"
"39999,066","0,284","5,254","1,016","4,643"
"39998,075","3,178","0,336","3,948","0,719"
"39999,084","0,284","5,253","1,017","4,643"
"39999,066","3,190","0,336","3,965","0,720"
"39998,764","0,274","5,249","1,006","4,638"
"39999,084","3,190","0,336","3,966","0,721"
"39998,169","0,271","5,248","1,004","4,636"
"39998,764","3,180","0,336","3,952","0,720"
"39998,949","0,282","5,252","1,014","4,641"
"39998,169","3,175","0,336","3,944","0,719"
"39998,803","0,277","5,250","1,010","4,639"
"39998,949","3,188","0,336","3,961","0,720"
"39998,965","0,289","5,256","1,022","4,646"
"39998,803","3,183","0,336","3,955","0,720"
"39998,214","0,281","5,252","1,012","4,641"
"39998,965","3,195","0,336","3,972","0,721"
"39998,954","0,284","5,253","1,015","4,642"
"39998,214","3,184","0,336","3,955","0,720"
"39999,089","0,285","5,255","1,018","4,644"
"39998,954","3,190","0,336","3,963","0,721"
"39999,100","0,289","5,256","1,021","4,646"
"39999,089","3,191","0,336","3,968","0,721"
"39999,199","0,292","5,259","1,025","4,648"
"39999,100","3,195","0,336","3,972","0,721"
"39999,350","0,291","5,258","1,023","4,647"
"39999,199","3,198","0,336","3,977","0,722"
"39998,601","0,276","5,250","1,007","4,638"
"39999,350","3,198","0,336","3,975","0,722"
"39998,638","0,267","5,247","0,999","4,635"
"39998,601","3,181","0,336","3,952","0,720"
"39998,924","0,279","5,251","1,012","4,640"
"39998,638","3,174","0,336","3,941","0,719"
"39998,912","0,281","5,252","1,012","4,641"
"39998,924","3,185","0,336","3,959","0,720"
"39999,001","0,280","5,251","1,013","4,641"
"39998,912","3,187","0,336","3,959","0,721"
"39998,915","0,285","5,254","1,017","4,644"
"39999,001","3,187","0,336","3,960","0,721"
"39999,123","0,280","5,252","1,013","4,641"
"39998,915","3,191","0,336","3,966","0,721"
"39999,182","0,282","5,253","1,016","4,642"
"39999,123","3,187","0,336","3,962","0,721"
"39999,131","0,288","5,256","1,021","4,645"
"39999,182","3,189","0,336","3,965","0,721"
"39999,082","0,285","5,254","1,017","4,643"
"39999,131","3,194","0,336","3,973","0,722"
