Frequency(Hz),Gen(rad),R,L,C
"39998,724","0,280","5,251","1,012","4,640"
"39999,082","3,191","0,336","3,967","0,721"
"39998,969","0,286","5,255","1,017","4,643"
"39998,724","3,184","0,336","3,958","0,721"
"39998,747","0,274","5,249","1,005","4,637"
"39998,969","3,191","0,336","3,967","0,721"
"39998,775","0,283","5,254","1,016","4,642"
"39998,747","3,179","0,336","3,950","0,720"
"39998,603","0,267","5,246","0,998","4,634"
"39998,775","3,189","0,336","3,964","0,721"
"39999,008","0,278","5,252","1,010","4,640"
"39998,603","3,173","0,336","3,941","0,720"
"39999,080","0,274","5,249","1,007","4,638"
"39999,008","3,185","0,336","3,957","0,721"
"39999,075","0,280","5,252","1,012","4,641"
"39999,080","3,182","0,336","3,952","0,720"
"39998,899","0,284","5,253","1,016","4,643"
"39999,075","3,186","0,336","3,960","0,721"
"39999,213","0,293","5,259","1,026","4,648"
"39998,899","3,189","0,336","3,964","0,721"
"39998,966","0,286","5,254","1,019","4,644"
"39999,213","3,199","0,336","3,978","0,722"
"39997,980","0,272","5,248","1,005","4,636"
"39998,966","3,191","0,336","3,967","0,721"
"39999,080","0,289","5,256","1,022","4,646"
"39997,980","3,176","0,336","3,947","0,720"
"39999,211","0,291","5,257","1,025","4,648"
"39999,080","3,195","0,336","3,973","0,722"
"39999,154","0,286","5,254","1,018","4,644"
"39999,211","3,198","0,336","3,977","0,722"
"39999,214","0,288","5,256","1,020","4,645"
"39999,154","3,191","0,336","3,968","0,721"
"39998,119","0,282","5,253","1,014","4,641"
"39999,214","3,194","0,336","3,971","0,722"
"39999,331","0,291","5,257","1,023","4,647"
"39998,119","3,185","0,336","3,958","0,721"
"39998,055","0,275","5,249","1,008","4,638"
"39999,331","3,197","0,336","3,976","0,722"
"39999,013","0,281","5,252","1,013","4,641"
"39998,055","3,178","0,336","3,949","0,720"
"39998,674","0,288","5,256","1,021","4,645"
"39999,013","3,187","0,336","3,961","0,721"
"39998,749","0,282","5,253","1,015","4,642"
"39998,674","3,192","0,336","3,969","0,722"
"39998,467","0,265","5,246","0,998","4,634"
"39998,749","3,187","0,336","3,962","0,721"
"39998,220","0,279","5,252","1,012","4,640"
"39998,467","3,171","0,336","3,938","0,720"
"39998,582","0,265","5,246","0,999","4,634"
"39998,220","3,183","0,336","3,957","0,721"
"39998,742","0,266","5,247","1,001","4,635"
"39998,582","3,172","0,336","3,941","0,720"
"39998,941","0,276","5,250","1,009","4,639"
"39998,742","3,173","0,336","3,943","0,720"
"39998,648","0,273","5,249","1,006","4,637"
"39998,941","3,182","0,336","3,956","0,721"
"39998,987","0,268","5,247","1,002","4,635"
"39998,648","3,179","0,336","3,950","0,721"
"39998,976","0,272","5,249","1,005","4,637"
"39998,987","3,175","0,336","3,945","0,720"
"39998,962","0,273","5,249","1,006","4,637"
"39998,976","3,180","0,336","3,950","0,721"
"39998,714","0,272","5,248","1,004","4,637"
"39998,962","3,180","0,336","3,951","0,721"
"39998,948","0,279","5,252","1,011","4,640"
"39998,714","3,178","0,336","3,949","0,721"
"39998,914","0,278","5,251","1,010","4,639"
"39998,948","3,186","0,336","3,959","0,721"
"39997,574","0,271","5,248","1,001","4,635"
"39998,914","3,184","0,336","3,958","0,721"
"39998,862","0,282","5,253","1,015","4,642"
"39997,574","3,174","0,336","3,941","0,720"
"39999,249","0,289","5,256","1,022","4,646"
"39998,862","3,187","0,336","3,961","0,721"
"39997,974","0,270","5,247","1,001","4,635"
"39999,249","3,195","0,336","3,974","0,722"
"39999,314","0,292","5,258","1,025","4,648"
"39997,974","3,174","0,336","3,943","0,720"
"39999,240","0,291","5,258","1,024","4,647"
"39999,314","3,198","0,336","3,978","0,723"
"39998,761","0,270","5,247","1,001","4,636"
"39999,240","3,197","0,336","3,976","0,723"
"39998,634","0,285","5,254","1,017","4,643"
"39998,761","3,176","0,336","3,945","0,720"
"39998,050","0,288","5,256","1,019","4,644"
"39998,634","3,189","0,336","3,964","0,722"
"39999,310","0,290","5,257","1,023","4,647"
"39998,050","3,189","0,336","3,964","0,722"
"39998,586","0,266","5,246","0,998","4,634"
"39999,310","3,196","0,336","3,975","0,723"
"39998,162","0,293","5,258","1,025","4,648"
"39998,586","3,173","0,336","3,941","0,720"
"39998,744","0,271","5,247","1,002","4,636"
"39998,162","3,194","0,336","3,972","0,722"
"39999,190","0,292","5,258","1,025","4,648"
"39998,744","3,177","0,336","3,947","0,721"
"39998,962","0,280","5,252","1,012","4,640"
"39999,190","3,199","0,336","3,978","0,723"
"39998,880","0,266","5,246","1,001","4,634"
"39998,962","3,186","0,336","3,960","0,722"
"39999,047","0,273","5,249","1,006","4,638"
"39998,880","3,174","0,336","3,944","0,720"
"39998,927","0,281","5,253","1,013","4,641"
"39999,047","3,180","0,336","3,952","0,721"
"39998,201","0,272","5,248","1,002","4,636"
"39998,927","3,186","0,336","3,962","0,722"
"39998,852","0,263","5,246","0,996","4,633"
"39998,201","3,175","0,336","3,944","0,721"
"39998,591","0,277","5,250","1,009","4,639"
"39998,852","3,172","0,336","3,938","0,720"
"39998,986","0,281","5,252","1,013","4,641"
"39998,591","3,181","0,336","3,953","0,721"
"39999,018","0,284","5,253","1,017","4,643"
"39998,986","3,187","0,336","3,961","0,722"
"39998,479","0,267","5,245","0,998","4,634"
"39999,018","3,190","0,336","3,967","0,722"
"39999,058","0,281","5,252","1,013","4,641"
"39998,479","3,173","0,336","3,941","0,720"
"39999,209","0,292","5,258","1,024","4,647"
"39999,058","3,187","0,336","3,961","0,722"
"39998,374","0,276","5,250","1,008","4,638"
"39999,209","3,198","0,336","3,977","0,723"
"39999,139","0,286","5,255","1,019","4,644"
"39998,374","3,181","0,336","3,951","0,721"
"39999,252","0,288","5,256","1,022","4,646"
"39999,139","3,192","0,336","3,970","0,722"
"39999,121","0,291","5,258","1,023","4,647"
"39999,252","3,194","0,336","3,973","0,723"
"39998,403","0,292","5,258","1,025","4,648"
"39999,121","3,197","0,336","3,977","0,723"
"39998,578","0,272","5,248","1,003","4,636"
"39998,403","3,194","0,336","3,973","0,723"
"39998,798","0,281","5,252","1,014","4,641"
"39998,578","3,178","0,336","3,948","0,721"
"39999,197","0,290","5,256","1,022","4,646"
"39998,798","3,186","0,336","3,961","0,722"
"39998,572","0,262","5,245","0,995","4,632"
"39999,197","3,196","0,336","3,975","0,723"
"39998,926","0,276","5,250","1,009","4,639"
"39998,572","3,170","0,336","3,937","0,720"
"39998,750","0,278","5,251","1,011","4,640"
"39998,926","3,183","0,336","3,956","0,721"
"39998,663","0,282","5,253","1,015","4,642"
"39998,750","3,185","0,336","3,959","0,722"
"39999,291","0,283","5,253","1,017","4,643"
"39998,663","3,188","0,336","3,963","0,722"
"39998,910","0,286","5,255","1,018","4,644"
"39999,291","3,191","0,336","3,968","0,722"
"39999,076","0,277","5,251","1,009","4,639"
"39998,910","3,192","0,336","3,970","0,723"
"39998,973","0,277","5,250","1,010","4,639"
"39999,076","3,184","0,336","3,958","0,722"
"39999,264","0,291","5,257","1,023","4,647"
"39998,973","3,184","0,336","3,958","0,722"
"39998,477","0,268","5,247","1,001","4,635"
"39999,264","3,197","0,336","3,977","0,723"
"39998,820","0,284","5,253","1,016","4,642"
"39998,477","3,175","0,336","3,944","0,721"
"39998,933","0,283","5,253","1,015","4,642"
"39998,820","3,189","0,336","3,965","0,722"
"39998,567","0,279","5,252","1,011","4,640"
"39998,933","3,188","0,336","3,965","0,722"
"39999,208","0,293","5,260","1,027","4,649"
"39998,567","3,184","0,336","3,957","0,722"
"39998,022","0,284","5,253","1,017","4,643"
"39999,208","3,199","0,336","3,981","0,724"
"39998,598","0,274","5,249","1,005","4,637"
"39998,022","3,186","0,336","3,961","0,722"
"39998,912","0,280","5,252","1,011","4,640"
"39998,598","3,179","0,336","3,952","0,721"
"39999,181","0,293","5,259","1,025","4,648"
"39998,912","3,186","0,336","3,960","0,722"
"39999,056","0,286","5,254","1,017","4,643"
"39999,181","3,199","0,336","3,980","0,724"
"39998,959","0,267","5,246","0,999","4,634"
"39999,056","3,191","0,336","3,968","0,723"
"39998,609","0,273","5,248","1,002","4,636"
"39998,959","3,175","0,336","3,943","0,721"
"39998,484","0,276","5,250","1,010","4,639"
"39998,609","3,179","0,336","3,949","0,721"
"39998,563","0,271","5,248","1,003","4,636"
"39998,484","3,181","0,336","3,954","0,722"
"39999,042","0,284","5,253","1,017","4,642"
"39998,563","3,177","0,336","3,949","0,721"
"39998,447","0,294","5,260","1,027","4,649"
"39999,042","3,190","0,336","3,967","0,723"
"39997,396","0,272","5,248","1,005","4,637"
"39998,447","3,197","0,336","3,978","0,723"
"39999,037","0,286","5,254","1,019","4,644"
"39997,396","3,174","0,336","3,943","0,721"
"39998,682","0,265","5,245","0,997","4,634"
"39999,037","3,192","0,336","3,969","0,723"
"39999,180","0,290","5,257","1,024","4,647"
"39998,682","3,172","0,336","3,940","0,721"
"39998,348","0,288","5,255","1,019","4,644"
"39999,180","3,197","0,336","3,977","0,723"
"39999,408","0,291","5,258","1,025","4,648"
"39998,348","3,191","0,336","3,968","0,723"
"39998,603","0,293","5,259","1,025","4,648"
"39999,408","3,198","0,336","3,980","0,724"
"39998,791","0,277","5,251","1,009","4,639"
"39998,603","3,197","0,336","3,977","0,724"
"39999,207","0,288","5,256","1,022","4,645"
"39998,791","3,183","0,336","3,957","0,722"
"39997,984","0,276","5,249","1,008","4,638"
"39999,207","3,195","0,336","3,973","0,723"
"39998,879","0,280","5,252","1,012","4,640"
"39997,984","3,178","0,336","3,950","0,722"
"39998,891","0,283","5,253","1,013","4,641"
"39998,879","3,185","0,336","3,960","0,722"
"39999,173","0,290","5,257","1,023","4,646"
"39998,891","3,188","0,336","3,962","0,722"
"39999,081","0,285","5,254","1,016","4,643"
"39999,173","3,196","0,336","3,976","0,723"
"39998,915","0,274","5,250","1,006","4,637"
"39999,081","3,191","0,336","3,968","0,723"
"39999,236","0,287","5,255","1,020","4,645"
"39998,915","3,181","0,336","3,953","0,722"
"39997,726","0,282","5,253","1,013","4,641"
"39999,236","3,194","0,336","3,972","0,723"
"39998,516","0,268","5,246","1,000","4,635"
"39997,726","3,184","0,336","3,958","0,722"
"39998,051","0,270","5,248","1,001","4,635"
"39998,516","3,174","0,336","3,943","0,721"
"39999,171","0,290","5,257","1,022","4,646"
"39998,051","3,174","0,336","3,943","0,721"
"39998,496","0,273","5,248","1,004","4,637"
"39999,171","3,196","0,336","3,976","0,724"
"39998,911","0,278","5,251","1,011","4,639"
"39998,496","3,179","0,336","3,950","0,722"
"39998,784","0,274","5,249","1,006","4,637"
"39998,911","3,184","0,336","3,958","0,722"
"39999,287","0,288","5,256","1,021","4,645"
"39998,784","3,180","0,336","3,953","0,722"
"39998,219","0,265","5,246","0,997","4,633"
"39999,287","3,194","0,336","3,973","0,723"
"39999,034","0,279","5,252","1,011","4,640"
"39998,219","3,171","0,336","3,939","0,721"
"39999,198","0,285","5,254","1,018","4,643"
"39999,034","3,186","0,336","3,960","0,722"
"39999,206","0,293","5,258","1,025","4,648"
"39999,198","3,192","0,336","3,969","0,723"
"39999,115","0,291","5,258","1,024","4,647"
"39999,206","3,199","0,336","3,980","0,724"
"39998,793","0,282","5,253","1,014","4,641"
"39999,115","3,197","0,336","3,978","0,724"
"39999,222","0,289","5,257","1,022","4,646"
"39998,793","3,187","0,336","3,963","0,722"
"39998,997","0,279","5,250","1,011","4,640"
"39999,222","3,195","0,336","3,975","0,723"
"39998,202","0,277","5,251","1,008","4,639"
"39998,997","3,185","0,336","3,960","0,722"
"39998,935","0,279","5,251","1,011","4,640"
"39998,202","3,181","0,336","3,953","0,722"
"39998,982","0,275","5,249","1,007","4,638"
"39998,935","3,185","0,336","3,960","0,722"
"39999,263","0,280","5,252","1,011","4,640"
"39998,982","3,182","0,336","3,954","0,722"
"39998,517","0,271","5,248","1,004","4,636"
"39999,263","3,187","0,336","3,961","0,723"
"39998,491","0,278","5,251","1,012","4,640"
"39998,517","3,177","0,336","3,948","0,722"
"39997,829","0,264","5,247","0,999","4,634"
"39998,491","3,182","0,336","3,958","0,722"
"39999,237","0,289","5,257","1,023","4,646"
"39997,829","3,170","0,336","3,939","0,721"
"39998,758","0,269","5,247","1,001","4,635"
"39999,237","3,196","0,336","3,976","0,724"
"39999,231","0,290","5,258","1,023","4,647"
"39998,758","3,176","0,336","3,947","0,722"
"39998,411","0,285","5,253","1,016","4,642"
"39999,231","3,197","0,336","3,976","0,724"
"39998,695","0,283","5,253","1,014","4,642"
"39998,411","3,188","0,336","3,964","0,723"
"39998,930","0,282","5,253","1,014","4,641"
"39998,695","3,187","0,336","3,962","0,723"
"39999,109","0,285","5,254","1,017","4,643"
"39998,930","3,188","0,336","3,964","0,723"
"39999,074","0,292","5,258","1,024","4,647"
"39999,109","3,191","0,336","3,968","0,723"
"39998,737","0,290","5,257","1,023","4,646"
"39999,074","3,198","0,336","3,978","0,724"
"39998,799","0,268","5,247","1,001","4,635"
"39998,737","3,194","0,336","3,973","0,724"
"39998,859","0,293","5,259","1,026","4,648"
"39998,799","3,175","0,336","3,944","0,722"
"39998,865","0,275","5,250","1,006","4,637"
"39998,859","3,198","0,336","3,977","0,724"
"39999,049","0,278","5,251","1,010","4,640"
"39998,865","3,182","0,336","3,954","0,722"
"39999,141","0,281","5,252","1,013","4,641"
"39999,049","3,185","0,336","3,959","0,722"
"39998,989","0,286","5,255","1,019","4,644"
"39999,141","3,188","0,336","3,963","0,723"
"39999,246","0,288","5,255","1,019","4,644"
"39998,989","3,192","0,336","3,970","0,723"
"39999,313","0,292","5,258","1,026","4,648"
"39999,246","3,194","0,336","3,973","0,723"
"39999,092","0,276","5,250","1,009","4,639"
"39999,313","3,199","0,336","3,980","0,724"
"39999,070","0,281","5,252","1,014","4,641"
"39999,092","3,183","0,336","3,957","0,722"
"39999,189","0,288","5,256","1,021","4,645"
"39999,070","3,187","0,336","3,964","0,723"
"39998,737","0,275","5,250","1,008","4,638"
"39999,189","3,194","0,336","3,974","0,724"
"39999,054","0,286","5,255","1,019","4,644"
"39998,737","3,181","0,336","3,956","0,722"
"39999,017","0,280","5,252","1,012","4,641"
"39999,054","3,192","0,336","3,971","0,723"
"39999,192","0,289","5,257","1,022","4,646"
"39999,017","3,186","0,336","3,962","0,723"
"39999,186","0,287","5,255","1,019","4,644"
"39999,192","3,195","0,336","3,976","0,724"
"39999,102","0,288","5,256","1,021","4,645"
"39999,186","3,193","0,336","3,971","0,723"
"39998,904","0,282","5,253","1,014","4,641"
"39999,102","3,195","0,336","3,975","0,724"
"39999,150","0,289","5,256","1,022","4,646"
"39998,904","3,188","0,336","3,964","0,723"
"39998,799","0,291","5,258","1,025","4,647"
"39999,150","3,195","0,336","3,975","0,724"
"39998,564","0,287","5,255","1,020","4,644"
"39998,799","3,196","0,336","3,977","0,724"
"39998,855","0,289","5,257","1,022","4,646"
"39998,564","3,191","0,336","3,970","0,723"
"39998,854","0,284","5,254","1,017","4,642"
"39998,855","3,194","0,336","3,974","0,724"
"39998,919","0,282","5,253","1,014","4,642"
"39998,854","3,190","0,336","3,968","0,723"
"39998,854","0,282","5,253","1,014","4,641"
"39998,919","3,188","0,336","3,964","0,723"
"39999,113","0,286","5,254","1,019","4,644"
"39998,854","3,187","0,336","3,964","0,723"
"39998,872","0,273","5,249","1,005","4,636"
"39999,113","3,192","0,336","3,971","0,723"
"39998,880","0,284","5,253","1,016","4,642"
"39998,872","3,180","0,336","3,952","0,722"
"39998,833","0,279","5,251","1,010","4,639"
"39998,880","3,189","0,336","3,966","0,723"
"39999,120","0,285","5,255","1,018","4,643"
"39998,833","3,185","0,336","3,958","0,723"
"39999,253","0,286","5,255","1,019","4,644"
"39999,120","3,191","0,336","3,969","0,723"
"39998,696","0,275","5,249","1,006","4,637"
"39999,253","3,193","0,336","3,971","0,724"
"39998,689","0,285","5,254","1,016","4,643"
"39998,696","3,181","0,336","3,954","0,722"
"39999,216","0,289","5,256","1,022","4,645"
"39998,689","3,190","0,336","3,968","0,723"
"39998,641","0,268","5,247","1,000","4,635"
"39999,216","3,195","0,336","3,974","0,724"
"39998,536","0,273","5,249","1,005","4,637"
"39998,641","3,175","0,336","3,945","0,722"
"39998,913","0,283","5,253","1,015","4,642"
"39998,536","3,179","0,336","3,952","0,722"
"39999,047","0,289","5,256","1,019","4,644"
"39998,913","3,189","0,336","3,965","0,723"
"39998,834","0,274","5,249","1,006","4,637"
"39999,047","3,195","0,336","3,973","0,724"
"39999,286","0,288","5,256","1,021","4,645"
"39998,834","3,181","0,336","3,953","0,722"
"39998,861","0,279","5,252","1,010","4,639"
"39999,286","3,194","0,336","3,973","0,724"
"39998,775","0,268","5,247","1,001","4,635"
"39998,861","3,185","0,336","3,958","0,723"
"39999,219","0,289","5,256","1,022","4,645"
"39998,775","3,175","0,336","3,947","0,722"
"39998,824","0,282","5,252","1,014","4,641"
"39999,219","3,195","0,336","3,976","0,724"
"39998,759","0,268","5,247","1,000","4,635"
"39998,824","3,187","0,336","3,964","0,723"
"39999,248","0,292","5,258","1,025","4,647"
"39998,759","3,175","0,336","3,946","0,722"
"39998,347","0,265","5,245","0,996","4,633"
"39999,248","3,198","0,336","3,980","0,724"
"39998,868","0,269","5,248","1,003","4,636"
"39998,347","3,171","0,336","3,940","0,722"
"39999,034","0,284","5,254","1,016","4,643"
"39998,868","3,176","0,336","3,949","0,722"
"39998,947","0,278","5,251","1,012","4,640"
"39999,034","3,189","0,336","3,968","0,723"
"39998,785","0,274","5,250","1,007","4,637"
"39998,947","3,185","0,336","3,962","0,723"
"39998,752","0,265","5,246","0,998","4,634"
"39998,785","3,180","0,336","3,955","0,722"
"39998,843","0,279","5,251","1,012","4,640"
"39998,752","3,172","0,336","3,943","0,722"
"39999,030","0,280","5,253","1,014","4,641"
"39998,843","3,185","0,336","3,961","0,723"
"39998,628","0,265","5,246","0,998","4,633"
"39999,030","3,186","0,336","3,964","0,723"
"39999,121","0,287","5,255","1,019","4,644"
"39998,628","3,172","0,336","3,943","0,722"
"39998,895","0,281","5,252","1,013","4,640"
"39999,121","3,193","0,336","3,972","0,724"
"39999,104","0,288","5,255","1,020","4,645"
"39998,895","3,186","0,336","3,963","0,723"
"39998,656","0,270","5,248","1,001","4,635"
"39999,104","3,194","0,336","3,974","0,724"
"39999,263","0,290","5,257","1,023","4,646"
"39998,656","3,177","0,336","3,948","0,722"
"39999,020","0,282","5,253","1,016","4,642"
"39999,263","3,197","0,336","3,978","0,724"
"39999,159","0,290","5,257","1,024","4,647"
"39999,020","3,188","0,336","3,967","0,723"
"39999,250","0,290","5,256","1,024","4,646"
"39999,159","3,197","0,336","3,979","0,724"
"39999,482","0,291","5,258","1,026","4,647"
"39999,250","3,197","0,336","3,978","0,724"
"39999,248","0,294","5,259","1,025","4,648"
"39999,482","3,198","0,336","3,979","0,724"
"39999,143","0,292","5,258","1,024","4,647"
"39999,248","3,200","0,336","3,981","0,724"
"39998,866","0,269","5,248","1,001","4,635"
"39999,143","3,198","0,336","3,979","0,724"
"39998,761","0,282","5,253","1,016","4,641"
"39998,866","3,176","0,336","3,946","0,722"
"39998,639","0,282","5,253","1,014","4,641"
"39998,761","3,187","0,336","3,963","0,723"
"39999,363","0,294","5,260","1,028","4,649"
"39998,639","3,187","0,336","3,962","0,723"
"39998,645","0,282","5,254","1,017","4,642"
"39999,363","3,201","0,336","3,983","0,725"
"39998,881","0,268","5,247","1,002","4,635"
"39998,645","3,188","0,336","3,966","0,723"
"39999,304","0,294","5,260","1,028","4,649"
"39998,881","3,176","0,336","3,948","0,722"
"39999,246","0,292","5,259","1,025","4,647"
"39999,304","3,200","0,336","3,983","0,725"
"39999,154","0,290","5,257","1,021","4,646"
"39999,246","3,198","0,336","3,980","0,724"
"39998,649","0,276","5,250","1,009","4,638"
"39999,154","3,195","0,336","3,975","0,724"
"39998,937","0,293","5,258","1,026","4,648"
"39998,649","3,181","0,336","3,957","0,723"
"39999,038","0,284","5,253","1,017","4,643"
"39998,937","3,198","0,336","3,979","0,724"
"39999,114","0,279","5,252","1,012","4,640"
"39999,038","3,190","0,336","3,969","0,724"
"39998,873","0,293","5,259","1,027","4,649"
"39999,114","3,186","0,336","3,962","0,723"
"39997,758","0,280","5,251","1,011","4,640"
"39998,873","3,198","0,336","3,979","0,724"
"39999,057","0,285","5,254","1,017","4,643"
"39997,758","3,182","0,336","3,955","0,723"
"39999,288","0,292","5,258","1,025","4,648"
"39999,057","3,191","0,336","3,970","0,724"
"39998,761","0,276","5,250","1,009","4,638"
"39999,288","3,199","0,336","3,980","0,725"
"39999,098","0,278","5,251","1,011","4,639"
"39998,761","3,182","0,336","3,958","0,723"
"39998,774","0,272","5,249","1,006","4,637"
"39999,098","3,185","0,336","3,959","0,723"
"39998,804","0,276","5,250","1,009","4,638"
"39998,774","3,179","0,336","3,953","0,722"
"39999,136","0,287","5,256","1,021","4,645"
"39998,804","3,182","0,336","3,957","0,723"
"39999,127","0,283","5,254","1,016","4,642"
"39999,136","3,193","0,336","3,974","0,724"
"39999,146","0,291","5,258","1,023","4,646"
"39999,127","3,190","0,336","3,968","0,724"
"39998,502","0,291","5,258","1,024","4,647"
"39999,146","3,197","0,336","3,978","0,724"
"39997,595","0,270","5,247","1,001","4,635"
"39998,502","3,195","0,336","3,975","0,724"
"39999,112","0,281","5,253","1,014","4,641"
"39997,595","3,172","0,336","3,941","0,722"
"39999,151","0,287","5,255","1,020","4,644"
"39999,112","3,188","0,336","3,965","0,723"
"39998,918","0,279","5,252","1,011","4,640"
"39999,151","3,193","0,336","3,973","0,724"
"39999,247","0,283","5,253","1,016","4,642"
"39998,918","3,185","0,336","3,961","0,723"
"39998,820","0,275","5,250","1,008","4,638"
"39999,247","3,190","0,336","3,968","0,724"
"39999,006","0,285","5,254","1,017","4,643"
"39998,820","3,182","0,336","3,956","0,723"
"39999,199","0,288","5,255","1,020","4,644"
"39999,006","3,191","0,336","3,970","0,724"
"39998,148","0,269","5,248","1,003","4,635"
"39999,199","3,194","0,336","3,974","0,724"
"39999,061","0,281","5,253","1,014","4,641"
"39998,148","3,174","0,336","3,946","0,722"
"39999,261","0,287","5,255","1,020","4,644"
"39999,061","3,188","0,336","3,965","0,723"
"39999,187","0,287","5,256","1,020","4,644"
"39999,261","3,193","0,336","3,973","0,724"
"39999,045","0,283","5,254","1,016","4,642"
"39999,187","3,194","0,336","3,973","0,724"
"39999,318","0,293","5,260","1,027","4,649"
"39999,045","3,190","0,336","3,968","0,724"
"39999,241","0,277","5,250","1,011","4,639"
"39999,318","3,200","0,337","3,983","0,725"
"39998,459","0,273","5,248","1,005","4,636"
"39999,241","3,184","0,336","3,960","0,723"
"39998,643","0,271","5,248","1,003","4,636"
"39998,459","3,178","0,336","3,952","0,723"
"39999,122","0,288","5,256","1,021","4,645"
"39998,643","3,177","0,336","3,950","0,722"
