Frequency(Hz),Gen(rad),R,L,C
"19997,876","0,305","6,059","1,460","4,965"
"19999,178","0,278","6,049","1,452","4,955"
"19999,185","0,299","6,054","1,456","4,963"
"19999,059","0,276","6,048","1,452","4,954"
"19998,732","0,266","6,050","1,451","4,957"
"19999,409","0,293","6,052","1,455","4,958"
"19998,840","0,288","6,050","1,454","4,960"
"19999,082","0,296","6,053","1,456","4,962"
"19998,774","0,274","6,048","1,452","4,954"
"19998,510","0,279","6,052","1,452","4,958"
"19998,621","0,288","6,054","1,454","4,960"
"19998,905","0,282","6,049","1,453","4,959"
"19998,539","0,277","6,051","1,452","4,958"
"19999,002","0,297","6,056","1,456","4,963"
"19997,017","0,277","6,051","1,455","4,958"
"19998,837","0,282","6,049","1,453","4,955"
"19999,258","0,294","6,052","1,455","4,958"
"19999,177","0,297","6,053","1,456","4,963"
"19998,638","0,276","6,048","1,452","4,958"
"19998,782","0,277","6,048","1,452","4,958"
"19998,788","0,293","6,055","1,455","4,962"
"19997,866","0,292","6,055","1,458","4,962"
"19998,738","0,291","6,054","1,455","4,961"
"19998,631","0,282","6,049","1,453","4,959"
"19998,699","0,277","6,048","1,452","4,958"
"19998,814","0,287","6,050","1,454","4,960"
"19998,771","0,282","6,049","1,453","4,959"
"19998,936","0,288","6,051","1,454","4,961"
"19999,053","0,297","6,056","1,456","4,963"
"19999,200","0,292","6,052","1,455","4,961"
"19999,176","0,294","6,053","1,456","4,962"
"19998,978","0,296","6,056","1,456","4,962"
"19998,964","0,283","6,050","1,453","4,956"
"19998,564","0,277","6,051","1,452","4,958"
"19998,842","0,285","6,050","1,454","4,960"
"19998,630","0,290","6,054","1,455","4,961"
"19998,901","0,284","6,050","1,453","4,960"
"19999,353","0,290","6,051","1,455","4,957"
"19998,973","0,288","6,054","1,454","4,960"
"19999,018","0,295","6,056","1,456","4,962"
"19999,291","0,298","6,053","1,456","4,959"
"19998,980","0,282","6,049","1,453","4,956"
"19998,788","0,287","6,054","1,454","4,960"
"19998,861","0,288","6,051","1,454","4,960"
"19999,077","0,290","6,051","1,455","4,961"
"19999,173","0,292","6,052","1,455","4,958"
"19998,849","0,277","6,048","1,452","4,955"
"19999,013","0,284","6,050","1,453","4,956"
"19999,089","0,292","6,052","1,455","4,961"
"19998,945","0,281","6,050","1,453","4,959"
"19999,233","0,290","6,051","1,455","4,957"
"19999,247","0,299","6,054","1,457","4,963"
"19998,753","0,274","6,048","1,452","4,958"
"19998,763","0,284","6,053","1,453","4,960"
"19999,121","0,297","6,053","1,456","4,963"
"19999,145","0,294","6,052","1,455","4,962"
"19999,083","0,296","6,053","1,456","4,959"
"19999,321","0,301","6,054","1,457","4,960"
"19999,191","0,299","6,054","1,457","4,963"
"19999,130","0,296","6,053","1,456","4,962"
"19999,163","0,296","6,053","1,456","4,959"
"19999,344","0,299","6,054","1,457","4,963"
"19998,503","0,282","6,052","1,453","4,959"
"19999,198","0,296","6,053","1,456","4,962"
"19998,737","0,286","6,053","1,454","4,960"
"19998,864","0,291","6,055","1,455","4,961"
"19999,416","0,288","6,051","1,454","4,957"
"19999,255","0,294","6,053","1,456","4,962"
"19998,984","0,293","6,055","1,455","4,962"
"19999,098","0,297","6,053","1,456","4,963"
"19998,629","0,278","6,048","1,452","4,958"
"19999,037","0,279","6,049","1,453","4,955"
"19998,881","0,278","6,049","1,452","4,955"
"19999,072","0,296","6,056","1,456","4,962"
"19998,851","0,278","6,049","1,453","4,958"
"19998,840","0,284","6,050","1,453","4,959"
"19999,157","0,291","6,052","1,455","4,957"
"19998,946","0,287","6,051","1,454","4,960"
"19998,958","0,292","6,055","1,455","4,961"
"19999,089","0,292","6,055","1,455","4,962"
"19998,305","0,293","6,056","1,459","4,962"
"19999,043","0,283","6,050","1,453","4,959"
"19998,691","0,277","6,048","1,452","4,958"
"19998,746","0,292","6,055","1,455","4,961"
"19999,285","0,290","6,051","1,455","4,957"
"19998,988","0,296","6,056","1,456","4,962"
"19999,434","0,296","6,053","1,456","4,963"
"19998,629","0,281","6,053","1,453","4,959"
"19999,176","0,294","6,052","1,455","4,962"
"19999,088","0,293","6,055","1,455","4,961"
"19999,460","0,278","6,049","1,453","4,955"
"19999,035","0,292","6,052","1,455","4,961"
