Frequency(Hz),Gen(mV),R,L,C,,Frequency(Hz),Gen(mV),R,L,C
"29999,280","3,168","0,564","4,811","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,407","3,170","0,564","4,809","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,347","3,171","0,565","4,808","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,631","3,173","0,565","4,806","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,583","3,173","0,565","4,805","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,210","3,168","0,564","4,810","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,628","3,171","0,564","4,808","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,246","3,169","0,564","4,810","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,467","3,170","0,564","4,809","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,025","3,171","0,565","4,808","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,528","3,171","0,565","4,808","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,523","3,173","0,565","4,806","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,045","3,171","0,565","4,808","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,530","3,170","0,564","4,810","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,101","3,168","0,564","4,811","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,504","3,171","0,565","4,808","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,322","3,170","0,564","4,809","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,485","3,169","0,564","4,810","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,340","3,168","0,564","4,811","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,128","3,167","0,564","4,813","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,628","3,169","0,564","4,811","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,484","3,168","0,564","4,811","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,189","3,167","0,564","4,811","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,459","3,171","0,565","4,807","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,389","3,167","0,564","4,812","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29998,948","3,167","0,564","4,812","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,384","3,172","0,565","4,807","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,548","3,171","0,565","4,809","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29998,850","3,167","0,564","4,812","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,541","3,172","0,565","4,808","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29998,961","3,167","0,564","4,813","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,224","3,171","0,564","4,809","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,418","3,170","0,564","4,809","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,284","3,166","0,564","4,813","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,383","3,169","0,564","4,810","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,366","3,172","0,565","4,808","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,456","3,169","0,564","4,810","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,559","3,172","0,565","4,807","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,337","3,169","0,564","4,810","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,525","3,171","0,565","4,810","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,595","3,171","0,565","4,809","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,070","3,167","0,564","4,813","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29998,997","3,166","0,564","4,813","1,794",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.79E-03
"29999,533","3,170","0,564","4,810","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,679","3,169","0,564","4,811","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
