Frequency(Hz),Gen,R,L,C
"17999,902","3,100","1,523","7,870","8,273"
"17999,820","3,100","1,524","7,873","8,276"
"17999,968","3,100","1,524","7,870","8,275"
"17999,888","3,100","1,524","7,869","8,274"
"17999,828","3,100","1,524","7,872","8,276"
"17999,812","3,101","1,524","7,871","8,276"
"18000,146","3,100","1,524","7,870","8,275"
"18000,143","3,100","1,524","7,872","8,275"
"17999,949","3,101","1,523","7,868","8,273"
"18000,145","3,101","1,523","7,873","8,273"
"17999,881","3,100","1,524","7,872","8,276"
"18000,029","3,101","1,523","7,870","8,273"
"17999,854","3,100","1,524","7,872","8,275"
"17999,861","3,101","1,523","7,869","8,274"
"17999,867","3,100","1,524","7,874","8,275"
"17999,946","3,101","1,523","7,872","8,272"
"17999,839","3,101","1,523","7,868","8,273"
"17999,988","3,101","1,524","7,871","8,275"
"18000,243","3,100","1,524","7,871","8,275"
"18000,031","3,100","1,524","7,872","8,276"
"17999,922","3,101","1,523","7,871","8,273"
"17999,886","3,101","1,523","7,870","8,273"
"18000,055","3,100","1,523","7,871","8,273"
"17999,794","3,100","1,524","7,873","8,275"
"17999,892","3,100","1,524","7,870","8,274"
"17999,760","3,100","1,524","7,871","8,275"
"17999,938","3,101","1,523","7,870","8,273"
"17999,861","3,100","1,524","7,870","8,274"
"17999,811","3,100","1,524","7,868","8,274"
"17999,973","3,100","1,523","7,870","8,274"
"17999,842","3,100","1,524","7,870","8,273"
"17999,949","3,100","1,524","7,869","8,274"
"17999,921","3,101","1,524","7,870","8,274"
"17999,773","3,100","1,524","7,869","8,275"
"17999,803","3,100","1,523","7,871","8,273"
"18000,028","3,100","1,524","7,871","8,274"
"17999,968","3,100","1,524","7,869","8,274"
"17999,830","3,100","1,524","7,874","8,276"
"17999,926","3,100","1,523","7,871","8,273"
"17999,885","3,100","1,524","7,873","8,276"
"17999,832","3,100","1,523","7,870","8,274"
"18000,165","3,101","1,524","7,873","8,273"
"17999,843","3,100","1,524","7,872","8,275"
"17999,919","3,100","1,524","7,873","8,275"
"18000,096","3,100","1,523","7,870","8,273"
"17999,912","3,101","1,524","7,870","8,273"
"17999,834","3,100","1,523","7,872","8,272"
"17999,971","3,101","1,523","7,870","8,273"
"17999,856","3,100","1,523","7,868","8,274"
"17999,907","3,100","1,524","7,869","8,274"
"18000,082","3,101","1,523","7,871","8,273"
"17999,861","3,100","1,524","7,869","8,274"
"17999,880","3,100","1,524","7,869","8,273"
"17999,875","3,101","1,523","7,874","8,272"
"17999,769","3,100","1,524","7,868","8,274"
"17999,913","3,100","1,524","7,869","8,274"
"17999,914","3,101","1,524","7,870","8,273"
"17999,938","3,100","1,523","7,872","8,272"
"17999,967","3,100","1,524","7,869","8,272"
"17999,966","3,100","1,524","7,872","8,274"
"17999,968","3,100","1,523","7,870","8,273"
"18000,016","3,100","1,523","7,870","8,273"
"17999,907","3,100","1,523","7,869","8,272"
"17999,760","3,100","1,523","7,870","8,272"
"18000,191","3,100","1,524","7,870","8,274"
"17999,935","3,100","1,523","7,870","8,273"
"17999,602","3,100","1,523","7,870","8,273"
"17999,906","3,101","1,523","7,870","8,273"
"18000,178","3,101","1,523","7,870","8,273"
"17999,903","3,100","1,523","7,872","8,272"
"17999,950","3,100","1,524","7,871","8,274"
"17999,878","3,101","1,523","7,870","8,273"
"17999,942","3,101","1,523","7,869","8,272"
"17999,879","3,100","1,524","7,872","8,275"
"17999,917","3,101","1,523","7,869","8,273"
"18000,041","3,100","1,523","7,869","8,272"
"17999,908","3,100","1,523","7,872","8,272"
"18000,044","3,100","1,524","7,871","8,274"
"17999,874","3,100","1,523","7,869","8,272"
"17999,970","3,100","1,524","7,872","8,274"
"17999,951","3,100","1,523","7,871","8,274"
"17999,927","3,100","1,524","7,869","8,273"
"17999,926","3,100","1,524","7,868","8,273"
"17999,746","3,100","1,523","7,870","8,272"
