Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen,R,L,C
"19999,121","3,137","1,447","8,321","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,145","3,134","1,446","8,322","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,083","3,136","1,447","8,321","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,321","3,141","1,447","8,317","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,191","3,139","1,447","8,319","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,130","3,136","1,447","8,321","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,163","3,136","1,446","8,321","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,344","3,139","1,447","8,319","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,503","3,121","1,446","8,329","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,198","3,137","1,447","8,321","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,737","3,126","1,446","8,327","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,864","3,131","1,446","8,324","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,416","3,130","1,446","8,324","7,098",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,255","3,135","1,447","8,322","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,984","3,133","1,446","8,323","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,098","3,137","1,447","8,321","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,629","3,118","1,446","8,331","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,037","3,121","1,446","8,329","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,881","3,119","1,446","8,330","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,072","3,136","1,447","8,321","7,099",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,851","3,119","1,446","8,330","7,096",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,840","3,124","1,446","8,327","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,157","3,131","1,446","8,323","7,098",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19998,946","3,128","1,446","8,326","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,958","3,132","1,446","8,323","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,089","3,133","1,447","8,323","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19998,305","3,132","1,447","8,324","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,043","3,125","1,446","8,328","7,098",,2.00E+04,3.13E-03,1.45E-03,8.33E-03,7.10E-03
"19998,691","3,118","1,446","8,331","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19998,746","3,131","1,446","8,324","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,285","3,131","1,446","8,324","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19998,988","3,136","1,447","8,322","7,100",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19999,434","3,138","1,447","8,320","7,101",,2.00E+04,3.14E-03,1.45E-03,8.32E-03,7.10E-03
"19998,629","3,122","1,446","8,329","7,097",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,176","3,134","1,447","8,323","7,100",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,088","3,134","1,447","8,323","7,100",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
"19999,460","3,122","1,446","8,329","7,098",,2.00E+04,3.12E-03,1.45E-03,8.33E-03,7.10E-03
"19999,035","3,132","1,447","8,324","7,099",,2.00E+04,3.13E-03,1.45E-03,8.32E-03,7.10E-03
