Time(s) - Gen,Voltage(V) - Gen,Voltage(V) - R,Voltage(V) - L,Voltage(V) - C
0.0004,-0.459639,-0.438703,0.0279995,0.0167265
0.000404,-0.332737,-0.286679,-0.0151601,-0.0415711
0.000408,-0.110175,-0.0473687,-0.0550987,-0.0802214
0.000412,0.145561,0.205791,-0.0779668,-0.0947153
0.000416,0.357816,0.396466,-0.078611,-0.0744239
0.00042,0.463782,0.470224,-0.056065,-0.022246
0.000424,0.431896,0.401297,-0.0180588,0.0389504
0.000428,0.270208,0.216098,0.0257449,0.0985363
0.000432,0.0315424,-0.033519,0.0608523,0.128168
0.000436,-0.220007,-0.274761,0.0776007,0.130745
0.00044,-0.404562,-0.435482,0.0701928,0.097248
0.000444,-0.47059,-0.465758,0.0418492,0.0408829
0.000448,-0.393933,-0.355605,0.000300072,-0.018703
0.000452,-0.199715,-0.141096,-0.0418932,-0.0718472
0.000456,0.0521559,0.116573,-0.0718472,-0.0940711
0.00046,0.287279,0.339135,-0.0805435,-0.0840865
0.000464,0.441558,0.459273,-0.0666938,-0.0435036
0.000468,0.459917,0.442847,-0.0331969,0.0176927
0.000472,0.340745,0.296619,0.00996265,0.0763124
0.000476,0.122371,0.0605302,0.0495792,0.118828
0.00048,-0.133044,-0.194562,0.0740578,0.134932
0.000484,-0.35174,-0.392645,0.0753461,0.11303
0.000488,-0.462215,-0.470912,0.0544105,0.0650394
0.000492,-0.438703,-0.408427,0.0164044,0.00255467
0.000496,-0.280881,-0.226126,-0.0273993,-0.0573533
0.0005,-0.0422153,0.0267111,-0.0618625,-0.0892398
0.000504,0.2103,0.266665,-0.0805435,-0.0918165
0.000508,0.398721,0.431896,-0.0744239,-0.0618625
0.000512,0.46958,0.466037,-0.0470466,-0.00549748
0.000516,0.40162,0.363291,-0.00517539,0.0569872
0.00052,0.2103,0.150714,0.0370179,0.109809
0.000524,-0.0399607,-0.103412,0.067294,0.133966
0.000528,-0.279915,-0.331126,0.0779228,0.123981
0.000532,-0.436771,-0.459639,0.0640731,0.0862971
0.000536,-0.463182,-0.447399,0.0315424,0.0244565
0.00054,-0.350129,-0.303427,-0.011295,-0.0377061
0.000544,-0.134332,-0.071203,-0.0518779,-0.0798993
0.000548,0.121404,0.182279,-0.0760343,-0.0963257
0.000552,0.341711,0.384227,-0.0795773,-0.0770006
0.000556,0.460561,0.469902,-0.0589638,-0.0280435
0.00056,0.439948,0.41257,-0.0212797,0.0331529
0.000564,0.289856,0.237355,0.0222019,0.0943492
0.000568,0.0531222,-0.0129055,0.0582756,0.126558
0.000572,-0.200359,-0.25608,0.0772786,0.132677
0.000576,-0.392645,-0.42582,0.0714811,0.103046
0.00058,-0.470267,-0.468657,0.0453921,0.0482909
0.000584,-0.408427,-0.367522,0.00448719,-0.0164484
0.000588,-0.222583,-0.161387,-0.0383503,-0.0686263
0.000592,0.0292878,0.0924167,-0.0699147,-0.0931049
0.000596,0.271819,0.322708,-0.0815098,-0.0856969
0.0006,0.432218,0.453475,-0.0689484,-0.0454361
