Frequency,Gen(mV),R,L,C,,Frequency,Gen(V),R,L,C
12299.884,2.489,0.461,1.582,3.887,,1.23E+04,2.49E-03,4.61E-04,1.58E-03,3.89E-03
12349.926,2.489,0.465,1.602,3.905,,1.23E+04,2.49E-03,4.65E-04,1.60E-03,3.91E-03
12349.964,2.489,0.465,1.603,3.905,,1.23E+04,2.49E-03,4.65E-04,1.60E-03,3.91E-03
12399.873,2.489,0.469,1.624,3.922,,1.24E+04,2.49E-03,4.69E-04,1.62E-03,3.92E-03
12449.768,2.488,0.473,1.645,3.94,,1.24E+04,2.49E-03,4.73E-04,1.65E-03,3.94E-03
12449.787,2.489,0.473,1.645,3.94,,1.24E+04,2.49E-03,4.73E-04,1.65E-03,3.94E-03
12499.87,2.488,0.478,1.667,3.958,,1.25E+04,2.49E-03,4.78E-04,1.67E-03,3.96E-03
12499.871,2.488,0.478,1.667,3.958,,1.25E+04,2.49E-03,4.78E-04,1.67E-03,3.96E-03
12549.851,2.488,0.482,1.689,3.976,,1.25E+04,2.49E-03,4.82E-04,1.69E-03,3.98E-03
12599.933,2.488,0.486,1.712,3.995,,1.26E+04,2.49E-03,4.86E-04,1.71E-03,4.00E-03
12599.906,2.488,0.486,1.711,3.995,,1.26E+04,2.49E-03,4.86E-04,1.71E-03,4.00E-03
12649.761,2.488,0.491,1.734,4.014,,1.26E+04,2.49E-03,4.91E-04,1.73E-03,4.01E-03
12649.842,2.488,0.491,1.734,4.014,,1.26E+04,2.49E-03,4.91E-04,1.73E-03,4.01E-03
12699.942,2.488,0.495,1.757,4.032,,1.27E+04,2.49E-03,4.95E-04,1.76E-03,4.03E-03
12749.853,2.488,0.499,1.78,4.052,,1.27E+04,2.49E-03,4.99E-04,1.78E-03,4.05E-03
12749.827,2.488,0.499,1.78,4.052,,1.27E+04,2.49E-03,4.99E-04,1.78E-03,4.05E-03
12799.761,2.488,0.504,1.804,4.071,,1.28E+04,2.49E-03,5.04E-04,1.80E-03,4.07E-03
12849.918,2.487,0.508,1.827,4.09,,1.28E+04,2.49E-03,5.08E-04,1.83E-03,4.09E-03
12849.94,2.487,0.508,1.827,4.09,,1.28E+04,2.49E-03,5.08E-04,1.83E-03,4.09E-03
12899.8,2.487,0.513,1.851,4.11,,1.29E+04,2.49E-03,5.13E-04,1.85E-03,4.11E-03
12899.822,2.487,0.513,1.851,4.11,,1.29E+04,2.49E-03,5.13E-04,1.85E-03,4.11E-03
12949.904,2.487,0.518,1.876,4.13,,1.29E+04,2.49E-03,5.18E-04,1.88E-03,4.13E-03
12999.845,2.487,0.522,1.901,4.15,,1.30E+04,2.49E-03,5.22E-04,1.90E-03,4.15E-03
12999.854,2.486,0.522,1.901,4.15,,1.30E+04,2.49E-03,5.22E-04,1.90E-03,4.15E-03
13049.963,2.487,0.527,1.926,4.171,,1.30E+04,2.49E-03,5.27E-04,1.93E-03,4.17E-03
13049.976,2.487,0.527,1.926,4.171,,1.30E+04,2.49E-03,5.27E-04,1.93E-03,4.17E-03
13099.831,2.486,0.532,1.951,4.191,,1.31E+04,2.49E-03,5.32E-04,1.95E-03,4.19E-03
13149.936,2.486,0.537,1.977,4.213,,1.31E+04,2.49E-03,5.37E-04,1.98E-03,4.21E-03
13149.94,2.486,0.537,1.978,4.213,,1.31E+04,2.49E-03,5.37E-04,1.98E-03,4.21E-03
13199.837,2.486,0.542,2.004,4.234,,1.32E+04,2.49E-03,5.42E-04,2.00E-03,4.23E-03
13199.808,2.486,0.542,2.004,4.234,,1.32E+04,2.49E-03,5.42E-04,2.00E-03,4.23E-03
13249.793,2.486,0.547,2.031,4.256,,1.32E+04,2.49E-03,5.47E-04,2.03E-03,4.26E-03
13299.865,2.485,0.552,2.057,4.277,,1.33E+04,2.49E-03,5.52E-04,2.06E-03,4.28E-03
13299.921,2.485,0.552,2.057,4.277,,1.33E+04,2.49E-03,5.52E-04,2.06E-03,4.28E-03
13349.829,2.485,0.557,2.084,4.299,,1.33E+04,2.49E-03,5.57E-04,2.08E-03,4.30E-03
13349.79,2.485,0.557,2.085,4.299,,1.33E+04,2.49E-03,5.57E-04,2.09E-03,4.30E-03
13399.909,2.485,0.562,2.113,4.321,,1.34E+04,2.49E-03,5.62E-04,2.11E-03,4.32E-03
13449.83,2.484,0.567,2.141,4.344,,1.34E+04,2.48E-03,5.67E-04,2.14E-03,4.34E-03
13449.841,2.485,0.567,2.141,4.344,,1.34E+04,2.49E-03,5.67E-04,2.14E-03,4.34E-03
13499.961,2.484,0.573,2.169,4.367,,1.35E+04,2.48E-03,5.73E-04,2.17E-03,4.37E-03
13499.941,2.484,0.573,2.17,4.367,,1.35E+04,2.48E-03,5.73E-04,2.17E-03,4.37E-03
13549.832,2.484,0.578,2.198,4.39,,1.35E+04,2.48E-03,5.78E-04,2.20E-03,4.39E-03
13599.775,2.484,0.583,2.227,4.413,,1.36E+04,2.48E-03,5.83E-04,2.23E-03,4.41E-03
13599.799,2.483,0.583,2.228,4.413,,1.36E+04,2.48E-03,5.83E-04,2.23E-03,4.41E-03
13649.878,2.484,0.589,2.257,4.437,,1.36E+04,2.48E-03,5.89E-04,2.26E-03,4.44E-03
13649.875,2.484,0.589,2.258,4.437,,1.36E+04,2.48E-03,5.89E-04,2.26E-03,4.44E-03
13699.78,2.483,0.594,2.288,4.46,,1.37E+04,2.48E-03,5.94E-04,2.29E-03,4.46E-03
13749.871,2.483,0.6,2.318,4.485,,1.37E+04,2.48E-03,6.00E-04,2.32E-03,4.49E-03
13749.865,2.483,0.6,2.318,4.484,,1.37E+04,2.48E-03,6.00E-04,2.32E-03,4.48E-03
13799.865,2.483,0.606,2.349,4.509,,1.38E+04,2.48E-03,6.06E-04,2.35E-03,4.51E-03
13799.852,2.483,0.606,2.349,4.509,,1.38E+04,2.48E-03,6.06E-04,2.35E-03,4.51E-03
13849.959,2.482,0.611,2.38,4.533,,1.38E+04,2.48E-03,6.11E-04,2.38E-03,4.53E-03
13899.839,2.482,0.617,2.412,4.558,,1.39E+04,2.48E-03,6.17E-04,2.41E-03,4.56E-03
13899.82,2.482,0.617,2.413,4.559,,1.39E+04,2.48E-03,6.17E-04,2.41E-03,4.56E-03
13949.698,2.482,0.623,2.445,4.584,,1.39E+04,2.48E-03,6.23E-04,2.45E-03,4.58E-03
13949.812,2.481,0.623,2.445,4.583,,1.39E+04,2.48E-03,6.23E-04,2.45E-03,4.58E-03
13999.857,2.481,0.629,2.478,4.609,,1.40E+04,2.48E-03,6.29E-04,2.48E-03,4.61E-03
14049.746,2.481,0.635,2.51,4.634,,1.40E+04,2.48E-03,6.35E-04,2.51E-03,4.63E-03
14049.715,2.481,0.635,2.511,4.634,,1.40E+04,2.48E-03,6.35E-04,2.51E-03,4.63E-03
14099.893,2.481,0.641,2.545,4.66,,1.41E+04,2.48E-03,6.41E-04,2.55E-03,4.66E-03
14099.897,2.48,0.641,2.545,4.66,,1.41E+04,2.48E-03,6.41E-04,2.55E-03,4.66E-03
14149.815,2.48,0.647,2.579,4.687,,1.41E+04,2.48E-03,6.47E-04,2.58E-03,4.69E-03
14199.923,2.48,0.654,2.613,4.713,,1.42E+04,2.48E-03,6.54E-04,2.61E-03,4.71E-03
14199.936,2.48,0.654,2.614,4.714,,1.42E+04,2.48E-03,6.54E-04,2.61E-03,4.71E-03
14249.789,2.479,0.66,2.648,4.74,,1.42E+04,2.48E-03,6.60E-04,2.65E-03,4.74E-03
14299.899,2.479,0.666,2.684,4.767,,1.43E+04,2.48E-03,6.66E-04,2.68E-03,4.77E-03
14299.891,2.479,0.666,2.685,4.767,,1.43E+04,2.48E-03,6.66E-04,2.69E-03,4.77E-03
14349.868,2.479,0.673,2.72,4.794,,1.43E+04,2.48E-03,6.73E-04,2.72E-03,4.79E-03
14349.888,2.479,0.673,2.721,4.795,,1.43E+04,2.48E-03,6.73E-04,2.72E-03,4.80E-03
14399.765,2.478,0.679,2.757,4.823,,1.44E+04,2.48E-03,6.79E-04,2.76E-03,4.82E-03
14449.859,2.478,0.686,2.794,4.851,,1.44E+04,2.48E-03,6.86E-04,2.79E-03,4.85E-03
14449.868,2.478,0.686,2.794,4.851,,1.44E+04,2.48E-03,6.86E-04,2.79E-03,4.85E-03
14499.798,2.478,0.692,2.832,4.879,,1.45E+04,2.48E-03,6.92E-04,2.83E-03,4.88E-03
14499.828,2.477,0.692,2.832,4.879,,1.45E+04,2.48E-03,6.92E-04,2.83E-03,4.88E-03
14549.901,2.477,0.699,2.87,4.907,,1.45E+04,2.48E-03,6.99E-04,2.87E-03,4.91E-03
14599.826,2.477,0.706,2.908,4.936,,1.46E+04,2.48E-03,7.06E-04,2.91E-03,4.94E-03
14599.768,2.477,0.706,2.909,4.936,,1.46E+04,2.48E-03,7.06E-04,2.91E-03,4.94E-03
14649.954,2.476,0.713,2.948,4.965,,1.46E+04,2.48E-03,7.13E-04,2.95E-03,4.97E-03
14649.922,2.477,0.713,2.948,4.965,,1.46E+04,2.48E-03,7.13E-04,2.95E-03,4.97E-03
14699.855,2.476,0.72,2.988,4.995,,1.47E+04,2.48E-03,7.20E-04,2.99E-03,5.00E-03
14749.741,2.476,0.727,3.028,5.024,,1.47E+04,2.48E-03,7.27E-04,3.03E-03,5.02E-03
14749.718,2.475,0.727,3.028,5.024,,1.47E+04,2.48E-03,7.27E-04,3.03E-03,5.02E-03
14799.883,2.475,0.734,3.069,5.054,,1.48E+04,2.48E-03,7.34E-04,3.07E-03,5.05E-03
14849.808,2.475,0.741,3.11,5.084,,1.48E+04,2.48E-03,7.41E-04,3.11E-03,5.08E-03
14849.739,2.475,0.741,3.111,5.084,,1.48E+04,2.48E-03,7.41E-04,3.11E-03,5.08E-03
14899.898,2.474,0.748,3.152,5.114,,1.49E+04,2.47E-03,7.48E-04,3.15E-03,5.11E-03
14899.882,2.474,0.748,3.152,5.114,,1.49E+04,2.47E-03,7.48E-04,3.15E-03,5.11E-03
14949.816,2.474,0.756,3.194,5.145,,1.49E+04,2.47E-03,7.56E-04,3.19E-03,5.15E-03
14999.903,2.474,0.763,3.237,5.176,,1.50E+04,2.47E-03,7.63E-04,3.24E-03,5.18E-03
14999.907,2.473,0.763,3.238,5.176,,1.50E+04,2.47E-03,7.63E-04,3.24E-03,5.18E-03
15049.845,2.473,0.771,3.28,5.206,,1.50E+04,2.47E-03,7.71E-04,3.28E-03,5.21E-03
15049.83,2.473,0.771,3.281,5.207,,1.50E+04,2.47E-03,7.71E-04,3.28E-03,5.21E-03
15099.944,2.472,0.778,3.325,5.238,,1.51E+04,2.47E-03,7.78E-04,3.33E-03,5.24E-03
15149.849,2.472,0.786,3.369,5.269,,1.51E+04,2.47E-03,7.86E-04,3.37E-03,5.27E-03
15149.854,2.472,0.786,3.37,5.269,,1.51E+04,2.47E-03,7.86E-04,3.37E-03,5.27E-03
15199.767,2.471,0.793,3.414,5.301,,1.52E+04,2.47E-03,7.93E-04,3.41E-03,5.30E-03
15199.764,2.471,0.793,3.415,5.301,,1.52E+04,2.47E-03,7.93E-04,3.42E-03,5.30E-03
15249.873,2.471,0.801,3.46,5.333,,1.52E+04,2.47E-03,8.01E-04,3.46E-03,5.33E-03
15299.81,2.47,0.809,3.506,5.364,,1.53E+04,2.47E-03,8.09E-04,3.51E-03,5.36E-03
15299.788,2.471,0.809,3.507,5.365,,1.53E+04,2.47E-03,8.09E-04,3.51E-03,5.37E-03
15349.926,2.47,0.817,3.553,5.397,,1.53E+04,2.47E-03,8.17E-04,3.55E-03,5.40E-03
15349.94,2.47,0.817,3.553,5.397,,1.53E+04,2.47E-03,8.17E-04,3.55E-03,5.40E-03
15399.838,2.469,0.825,3.6,5.429,,1.54E+04,2.47E-03,8.25E-04,3.60E-03,5.43E-03
15449.905,2.469,0.833,3.648,5.461,,1.54E+04,2.47E-03,8.33E-04,3.65E-03,5.46E-03
15449.915,2.469,0.833,3.649,5.462,,1.54E+04,2.47E-03,8.33E-04,3.65E-03,5.46E-03
15499.854,2.468,0.841,3.696,5.494,,1.55E+04,2.47E-03,8.41E-04,3.70E-03,5.49E-03
15549.741,2.468,0.849,3.745,5.527,,1.55E+04,2.47E-03,8.49E-04,3.75E-03,5.53E-03
15549.733,2.467,0.849,3.745,5.527,,1.55E+04,2.47E-03,8.49E-04,3.75E-03,5.53E-03
15599.873,2.467,0.857,3.794,5.559,,1.56E+04,2.47E-03,8.57E-04,3.79E-03,5.56E-03
15599.906,2.467,0.857,3.794,5.559,,1.56E+04,2.47E-03,8.57E-04,3.79E-03,5.56E-03
15649.764,2.466,0.865,3.844,5.591,,1.56E+04,2.47E-03,8.65E-04,3.84E-03,5.59E-03
15699.865,2.466,0.874,3.894,5.624,,1.57E+04,2.47E-03,8.74E-04,3.89E-03,5.62E-03
15699.874,2.466,0.874,3.895,5.625,,1.57E+04,2.47E-03,8.74E-04,3.90E-03,5.63E-03
15749.802,2.465,0.882,3.945,5.658,,1.57E+04,2.47E-03,8.82E-04,3.95E-03,5.66E-03
15749.8,2.465,0.882,3.945,5.657,,1.57E+04,2.47E-03,8.82E-04,3.95E-03,5.66E-03
15799.991,2.464,0.89,3.996,5.69,,1.58E+04,2.46E-03,8.90E-04,4.00E-03,5.69E-03
15849.883,2.464,0.899,4.047,5.723,,1.58E+04,2.46E-03,8.99E-04,4.05E-03,5.72E-03
15849.778,2.464,0.899,4.047,5.723,,1.58E+04,2.46E-03,8.99E-04,4.05E-03,5.72E-03
15899.754,2.463,0.907,4.099,5.756,,1.59E+04,2.46E-03,9.07E-04,4.10E-03,5.76E-03
15899.738,2.463,0.907,4.099,5.756,,1.59E+04,2.46E-03,9.07E-04,4.10E-03,5.76E-03
15949.846,2.462,0.916,4.151,5.788,,1.59E+04,2.46E-03,9.16E-04,4.15E-03,5.79E-03
15999.769,2.462,0.924,4.204,5.821,,1.60E+04,2.46E-03,9.24E-04,4.20E-03,5.82E-03
15999.754,2.462,0.924,4.204,5.821,,1.60E+04,2.46E-03,9.24E-04,4.20E-03,5.82E-03
16049.83,2.461,0.933,4.257,5.854,,1.60E+04,2.46E-03,9.33E-04,4.26E-03,5.85E-03
16049.855,2.461,0.933,4.257,5.854,,1.60E+04,2.46E-03,9.33E-04,4.26E-03,5.85E-03
16099.774,2.46,0.941,4.311,5.886,,1.61E+04,2.46E-03,9.41E-04,4.31E-03,5.89E-03
16149.874,2.46,0.95,4.364,5.918,,1.61E+04,2.46E-03,9.50E-04,4.36E-03,5.92E-03
16149.927,2.46,0.95,4.365,5.918,,1.61E+04,2.46E-03,9.50E-04,4.37E-03,5.92E-03
16199.842,2.459,0.958,4.419,5.95,,1.62E+04,2.46E-03,9.58E-04,4.42E-03,5.95E-03
16199.794,2.459,0.958,4.419,5.95,,1.62E+04,2.46E-03,9.58E-04,4.42E-03,5.95E-03
16249.911,2.458,0.967,4.473,5.982,,1.62E+04,2.46E-03,9.67E-04,4.47E-03,5.98E-03
16299.879,2.457,0.975,4.527,6.013,,1.63E+04,2.46E-03,9.75E-04,4.53E-03,6.01E-03
16299.844,2.457,0.975,4.527,6.012,,1.63E+04,2.46E-03,9.75E-04,4.53E-03,6.01E-03
16349.739,2.457,0.984,4.582,6.044,,1.63E+04,2.46E-03,9.84E-04,4.58E-03,6.04E-03
16399.87,2.456,0.992,4.636,6.074,,1.64E+04,2.46E-03,9.92E-04,4.64E-03,6.07E-03
16399.897,2.456,0.992,4.637,6.074,,1.64E+04,2.46E-03,9.92E-04,4.64E-03,6.07E-03
16449.794,2.455,1.001,4.692,6.104,,1.64E+04,2.46E-03,1.00E-03,4.69E-03,6.10E-03
16449.773,2.455,1.001,4.692,6.104,,1.64E+04,2.46E-03,1.00E-03,4.69E-03,6.10E-03
16499.914,2.455,1.009,4.747,6.134,,1.65E+04,2.46E-03,1.01E-03,4.75E-03,6.13E-03
16549.834,2.454,1.017,4.801,6.164,,1.65E+04,2.45E-03,1.02E-03,4.80E-03,6.16E-03
16549.809,2.454,1.017,4.802,6.163,,1.65E+04,2.45E-03,1.02E-03,4.80E-03,6.16E-03
16599.904,2.453,1.026,4.857,6.192,,1.66E+04,2.45E-03,1.03E-03,4.86E-03,6.19E-03
16599.864,2.453,1.026,4.857,6.192,,1.66E+04,2.45E-03,1.03E-03,4.86E-03,6.19E-03
16649.835,2.452,1.034,4.911,6.221,,1.66E+04,2.45E-03,1.03E-03,4.91E-03,6.22E-03
16699.765,2.452,1.042,4.967,6.248,,1.67E+04,2.45E-03,1.04E-03,4.97E-03,6.25E-03
16699.757,2.452,1.042,4.967,6.248,,1.67E+04,2.45E-03,1.04E-03,4.97E-03,6.25E-03
16749.88,2.451,1.05,5.022,6.276,,1.67E+04,2.45E-03,1.05E-03,5.02E-03,6.28E-03
16749.823,2.451,1.05,5.022,6.275,,1.67E+04,2.45E-03,1.05E-03,5.02E-03,6.28E-03
16799.741,2.45,1.058,5.076,6.301,,1.68E+04,2.45E-03,1.06E-03,5.08E-03,6.30E-03
16849.849,2.45,1.066,5.131,6.327,,1.68E+04,2.45E-03,1.07E-03,5.13E-03,6.33E-03
16849.862,2.45,1.066,5.131,6.327,,1.68E+04,2.45E-03,1.07E-03,5.13E-03,6.33E-03
16899.836,2.449,1.074,5.185,6.352,,1.69E+04,2.45E-03,1.07E-03,5.19E-03,6.35E-03
16899.824,2.449,1.074,5.185,6.352,,1.69E+04,2.45E-03,1.07E-03,5.19E-03,6.35E-03
16949.871,2.448,1.082,5.24,6.376,,1.69E+04,2.45E-03,1.08E-03,5.24E-03,6.38E-03
16999.818,2.447,1.089,5.293,6.399,,1.70E+04,2.45E-03,1.09E-03,5.29E-03,6.40E-03
16999.814,2.447,1.089,5.293,6.399,,1.70E+04,2.45E-03,1.09E-03,5.29E-03,6.40E-03
17049.724,2.447,1.097,5.345,6.421,,1.70E+04,2.45E-03,1.10E-03,5.35E-03,6.42E-03
17099.823,2.446,1.104,5.398,6.443,,1.71E+04,2.45E-03,1.10E-03,5.40E-03,6.44E-03
17099.857,2.446,1.104,5.398,6.443,,1.71E+04,2.45E-03,1.10E-03,5.40E-03,6.44E-03
17149.794,2.445,1.111,5.45,6.463,,1.71E+04,2.45E-03,1.11E-03,5.45E-03,6.46E-03
17149.783,2.446,1.111,5.451,6.463,,1.71E+04,2.45E-03,1.11E-03,5.45E-03,6.46E-03
17199.841,2.445,1.118,5.502,6.483,,1.72E+04,2.45E-03,1.12E-03,5.50E-03,6.48E-03
17249.793,2.444,1.125,5.553,6.502,,1.72E+04,2.44E-03,1.13E-03,5.55E-03,6.50E-03
17249.786,2.444,1.125,5.553,6.501,,1.72E+04,2.44E-03,1.13E-03,5.55E-03,6.50E-03
17299.853,2.444,1.132,5.604,6.519,,1.73E+04,2.44E-03,1.13E-03,5.60E-03,6.52E-03
17299.855,2.444,1.132,5.604,6.519,,1.73E+04,2.44E-03,1.13E-03,5.60E-03,6.52E-03
17349.843,2.443,1.138,5.654,6.535,,1.73E+04,2.44E-03,1.14E-03,5.65E-03,6.54E-03
17399.907,2.443,1.145,5.703,6.55,,1.74E+04,2.44E-03,1.15E-03,5.70E-03,6.55E-03
17399.947,2.442,1.145,5.703,6.55,,1.74E+04,2.44E-03,1.15E-03,5.70E-03,6.55E-03
17449.863,2.442,1.151,5.751,6.564,,1.74E+04,2.44E-03,1.15E-03,5.75E-03,6.56E-03
17449.892,2.442,1.151,5.751,6.564,,1.74E+04,2.44E-03,1.15E-03,5.75E-03,6.56E-03
17499.752,2.441,1.157,5.798,6.576,,1.75E+04,2.44E-03,1.16E-03,5.80E-03,6.58E-03
17549.844,2.441,1.162,5.844,6.588,,1.75E+04,2.44E-03,1.16E-03,5.84E-03,6.59E-03
17549.881,2.441,1.162,5.844,6.587,,1.75E+04,2.44E-03,1.16E-03,5.84E-03,6.59E-03
17599.789,2.44,1.168,5.889,6.598,,1.76E+04,2.44E-03,1.17E-03,5.89E-03,6.60E-03
17599.801,2.44,1.168,5.889,6.597,,1.76E+04,2.44E-03,1.17E-03,5.89E-03,6.60E-03
17649.83,2.439,1.173,5.933,6.606,,1.76E+04,2.44E-03,1.17E-03,5.93E-03,6.61E-03
17699.793,2.439,1.178,5.976,6.613,,1.77E+04,2.44E-03,1.18E-03,5.98E-03,6.61E-03
17699.802,2.439,1.178,5.976,6.613,,1.77E+04,2.44E-03,1.18E-03,5.98E-03,6.61E-03
17749.882,2.438,1.183,6.018,6.619,,1.77E+04,2.44E-03,1.18E-03,6.02E-03,6.62E-03
17799.781,2.438,1.187,6.06,6.624,,1.78E+04,2.44E-03,1.19E-03,6.06E-03,6.62E-03
17799.782,2.438,1.187,6.06,6.624,,1.78E+04,2.44E-03,1.19E-03,6.06E-03,6.62E-03
17849.69,2.437,1.191,6.099,6.628,,1.78E+04,2.44E-03,1.19E-03,6.10E-03,6.63E-03
17849.725,2.437,1.191,6.099,6.628,,1.78E+04,2.44E-03,1.19E-03,6.10E-03,6.63E-03
17899.805,2.437,1.195,6.139,6.63,,1.79E+04,2.44E-03,1.20E-03,6.14E-03,6.63E-03
17949.735,2.437,1.199,6.176,6.632,,1.79E+04,2.44E-03,1.20E-03,6.18E-03,6.63E-03
17949.731,2.437,1.199,6.176,6.631,,1.79E+04,2.44E-03,1.20E-03,6.18E-03,6.63E-03
17999.845,2.436,1.203,6.213,6.631,,1.80E+04,2.44E-03,1.20E-03,6.21E-03,6.63E-03
17999.797,2.436,1.203,6.214,6.631,,1.80E+04,2.44E-03,1.20E-03,6.21E-03,6.63E-03
18049.82,2.436,1.206,6.248,6.629,,1.80E+04,2.44E-03,1.21E-03,6.25E-03,6.63E-03
18099.884,2.436,1.209,6.281,6.625,,1.81E+04,2.44E-03,1.21E-03,6.28E-03,6.63E-03
18099.863,2.436,1.209,6.281,6.625,,1.81E+04,2.44E-03,1.21E-03,6.28E-03,6.63E-03
18149.868,2.436,1.211,6.313,6.62,,1.81E+04,2.44E-03,1.21E-03,6.31E-03,6.62E-03
18149.821,2.436,1.211,6.313,6.62,,1.81E+04,2.44E-03,1.21E-03,6.31E-03,6.62E-03
18199.885,2.435,1.214,6.343,6.613,,1.82E+04,2.44E-03,1.21E-03,6.34E-03,6.61E-03
18249.775,2.435,1.216,6.373,6.606,,1.82E+04,2.44E-03,1.22E-03,6.37E-03,6.61E-03
18249.831,2.435,1.216,6.373,6.606,,1.82E+04,2.44E-03,1.22E-03,6.37E-03,6.61E-03
18299.744,2.435,1.218,6.402,6.597,,1.83E+04,2.44E-03,1.22E-03,6.40E-03,6.60E-03
18299.732,2.435,1.218,6.402,6.597,,1.83E+04,2.44E-03,1.22E-03,6.40E-03,6.60E-03
18349.833,2.435,1.22,6.429,6.587,,1.83E+04,2.44E-03,1.22E-03,6.43E-03,6.59E-03
18399.753,2.434,1.221,6.454,6.576,,1.84E+04,2.43E-03,1.22E-03,6.45E-03,6.58E-03
18399.751,2.434,1.221,6.454,6.576,,1.84E+04,2.43E-03,1.22E-03,6.45E-03,6.58E-03
18449.789,2.434,1.222,6.478,6.564,,1.84E+04,2.43E-03,1.22E-03,6.48E-03,6.56E-03
18487.285,2.433,1.222,6.492,6.552,,1.85E+04,2.43E-03,1.22E-03,6.49E-03,6.55E-03
18499.783,2.434,1.223,6.502,6.55,,1.85E+04,2.43E-03,1.22E-03,6.50E-03,6.55E-03
18549.883,2.434,1.224,6.524,6.535,,1.85E+04,2.43E-03,1.22E-03,6.52E-03,6.54E-03
18549.798,2.434,1.224,6.524,6.535,,1.85E+04,2.43E-03,1.22E-03,6.52E-03,6.54E-03
18599.782,2.434,1.224,6.544,6.519,,1.86E+04,2.43E-03,1.22E-03,6.54E-03,6.52E-03
18649.688,2.434,1.224,6.563,6.502,,1.86E+04,2.43E-03,1.22E-03,6.56E-03,6.50E-03
18649.714,2.434,1.224,6.564,6.502,,1.86E+04,2.43E-03,1.22E-03,6.56E-03,6.50E-03
18699.806,2.434,1.224,6.58,6.483,,1.87E+04,2.43E-03,1.22E-03,6.58E-03,6.48E-03
18699.784,2.434,1.224,6.58,6.483,,1.87E+04,2.43E-03,1.22E-03,6.58E-03,6.48E-03
18749.743,2.434,1.223,6.596,6.463,,1.87E+04,2.43E-03,1.22E-03,6.60E-03,6.46E-03
18799.816,2.434,1.223,6.61,6.441,,1.88E+04,2.43E-03,1.22E-03,6.61E-03,6.44E-03
18799.836,2.434,1.223,6.61,6.441,,1.88E+04,2.43E-03,1.22E-03,6.61E-03,6.44E-03
18849.781,2.434,1.222,6.624,6.42,,1.88E+04,2.43E-03,1.22E-03,6.62E-03,6.42E-03
18849.732,2.434,1.222,6.623,6.419,,1.88E+04,2.43E-03,1.22E-03,6.62E-03,6.42E-03
18899.878,2.434,1.221,6.635,6.396,,1.89E+04,2.43E-03,1.22E-03,6.64E-03,6.40E-03
18949.802,2.435,1.219,6.646,6.373,,1.89E+04,2.44E-03,1.22E-03,6.65E-03,6.37E-03
18949.814,2.434,1.219,6.646,6.373,,1.89E+04,2.43E-03,1.22E-03,6.65E-03,6.37E-03
18999.709,2.434,1.218,6.656,6.348,,1.90E+04,2.43E-03,1.22E-03,6.66E-03,6.35E-03
18999.695,2.434,1.218,6.656,6.348,,1.90E+04,2.43E-03,1.22E-03,6.66E-03,6.35E-03
19049.756,2.435,1.216,6.665,6.323,,1.90E+04,2.44E-03,1.22E-03,6.67E-03,6.32E-03
19099.789,2.435,1.214,6.673,6.296,,1.91E+04,2.44E-03,1.21E-03,6.67E-03,6.30E-03
19099.761,2.435,1.214,6.672,6.296,,1.91E+04,2.44E-03,1.21E-03,6.67E-03,6.30E-03
19149.854,2.435,1.212,6.678,6.268,,1.91E+04,2.44E-03,1.21E-03,6.68E-03,6.27E-03
19199.74,2.435,1.21,6.684,6.241,,1.92E+04,2.44E-03,1.21E-03,6.68E-03,6.24E-03
19199.721,2.436,1.21,6.683,6.241,,1.92E+04,2.44E-03,1.21E-03,6.68E-03,6.24E-03
19249.873,2.436,1.207,6.687,6.211,,1.92E+04,2.44E-03,1.21E-03,6.69E-03,6.21E-03
19249.797,2.436,1.207,6.687,6.211,,1.92E+04,2.44E-03,1.21E-03,6.69E-03,6.21E-03
19299.762,2.436,1.205,6.69,6.181,,1.93E+04,2.44E-03,1.21E-03,6.69E-03,6.18E-03
19349.907,2.436,1.202,6.691,6.15,,1.93E+04,2.44E-03,1.20E-03,6.69E-03,6.15E-03
19349.843,2.436,1.202,6.691,6.15,,1.93E+04,2.44E-03,1.20E-03,6.69E-03,6.15E-03
19399.778,2.437,1.198,6.691,6.118,,1.94E+04,2.44E-03,1.20E-03,6.69E-03,6.12E-03
19399.833,2.437,1.198,6.691,6.119,,1.94E+04,2.44E-03,1.20E-03,6.69E-03,6.12E-03
19449.704,2.437,1.195,6.69,6.086,,1.94E+04,2.44E-03,1.20E-03,6.69E-03,6.09E-03
19499.855,2.437,1.192,6.688,6.054,,1.95E+04,2.44E-03,1.19E-03,6.69E-03,6.05E-03
19499.807,2.437,1.192,6.689,6.055,,1.95E+04,2.44E-03,1.19E-03,6.69E-03,6.06E-03
19549.736,2.438,1.188,6.686,6.021,,1.95E+04,2.44E-03,1.19E-03,6.69E-03,6.02E-03
19549.718,2.438,1.188,6.686,6.021,,1.95E+04,2.44E-03,1.19E-03,6.69E-03,6.02E-03
19599.849,2.438,1.185,6.683,5.987,,1.96E+04,2.44E-03,1.19E-03,6.68E-03,5.99E-03
19649.809,2.438,1.181,6.679,5.954,,1.96E+04,2.44E-03,1.18E-03,6.68E-03,5.95E-03
19649.793,2.438,1.181,6.678,5.954,,1.96E+04,2.44E-03,1.18E-03,6.68E-03,5.95E-03
19699.873,2.439,1.177,6.673,5.919,,1.97E+04,2.44E-03,1.18E-03,6.67E-03,5.92E-03
