Frequency,Gen(mV),R,L,C,,Frequency,Gen(V),R,L,C
6649.913,2.5,0.175,0.305,2.777,,6.65E+03,2.50E-03,1.75E-04,3.05E-04,2.78E-03
6699.841,2.5,0.176,0.311,2.782,,6.70E+03,2.50E-03,1.76E-04,3.11E-04,2.78E-03
6699.904,2.499,0.176,0.311,2.782,,6.70E+03,2.50E-03,1.76E-04,3.11E-04,2.78E-03
6750.013,2.499,0.178,0.317,2.787,,6.75E+03,2.50E-03,1.78E-04,3.17E-04,2.79E-03
6799.891,2.5,0.18,0.322,2.792,,6.80E+03,2.50E-03,1.80E-04,3.22E-04,2.79E-03
6799.896,2.5,0.18,0.323,2.792,,6.80E+03,2.50E-03,1.80E-04,3.23E-04,2.79E-03
6850.035,2.499,0.181,0.328,2.798,,6.85E+03,2.50E-03,1.81E-04,3.28E-04,2.80E-03
6849.957,2.499,0.181,0.328,2.798,,6.85E+03,2.50E-03,1.81E-04,3.28E-04,2.80E-03
6899.928,2.5,0.183,0.334,2.803,,6.90E+03,2.50E-03,1.83E-04,3.34E-04,2.80E-03
6949.985,2.5,0.185,0.34,2.808,,6.95E+03,2.50E-03,1.85E-04,3.40E-04,2.81E-03
6950.033,2.5,0.185,0.34,2.808,,6.95E+03,2.50E-03,1.85E-04,3.40E-04,2.81E-03
6999.947,2.499,0.186,0.346,2.813,,7.00E+03,2.50E-03,1.86E-04,3.46E-04,2.81E-03
6999.899,2.5,0.186,0.346,2.814,,7.00E+03,2.50E-03,1.86E-04,3.46E-04,2.81E-03
7049.864,2.499,0.188,0.352,2.819,,7.05E+03,2.50E-03,1.88E-04,3.52E-04,2.82E-03
7099.938,2.5,0.19,0.358,2.824,,7.10E+03,2.50E-03,1.90E-04,3.58E-04,2.82E-03
7099.982,2.499,0.19,0.358,2.824,,7.10E+03,2.50E-03,1.90E-04,3.58E-04,2.82E-03
7149.856,2.5,0.191,0.364,2.83,,7.15E+03,2.50E-03,1.91E-04,3.64E-04,2.83E-03
7149.944,2.499,0.191,0.364,2.83,,7.15E+03,2.50E-03,1.91E-04,3.64E-04,2.83E-03
7199.959,2.499,0.193,0.37,2.836,,7.20E+03,2.50E-03,1.93E-04,3.70E-04,2.84E-03
7249.932,2.499,0.195,0.377,2.841,,7.25E+03,2.50E-03,1.95E-04,3.77E-04,2.84E-03
7249.92,2.499,0.195,0.377,2.841,,7.25E+03,2.50E-03,1.95E-04,3.77E-04,2.84E-03
7299.976,2.499,0.197,0.383,2.847,,7.30E+03,2.50E-03,1.97E-04,3.83E-04,2.85E-03
7300.045,2.499,0.197,0.383,2.847,,7.30E+03,2.50E-03,1.97E-04,3.83E-04,2.85E-03
