Frequency,Gen(rad),R,L,C
9599.974,6.277,1.4,2.985,0.06
9649.907,6.277,1.399,2.984,0.06
9649.916,6.275,1.397,2.983,0.058
9699.786,6.276,1.397,2.982,0.058
9699.787,6.276,1.396,2.982,0.058
9749.913,6.277,1.396,2.981,0.059
9799.877,6.275,1.393,2.979,0.056
9799.833,6.275,1.392,2.979,0.056
9849.945,6.277,1.393,2.98,0.058
9849.957,6.277,1.393,2.981,0.059
9899.886,6.276,1.39,2.979,0.057
9949.985,6.277,1.39,2.979,0.057
9949.998,6.277,1.39,2.978,0.058
9999.923,6.275,1.386,2.976,0.055
10050.009,6.279,1.388,2.978,0.058
10050.016,6.275,1.385,2.975,0.054
10099.942,6.277,1.385,2.975,0.055
10099.888,6.276,1.384,2.975,0.055
10149.826,6.277,1.383,2.974,0.055
10199.915,6.275,1.38,2.971,0.052
10199.92,6.276,1.38,2.972,0.053
10249.819,6.277,1.38,2.972,0.053
10249.821,6.278,1.38,2.972,0.054
10299.916,6.276,1.376,2.969,0.051
10349.871,6.279,1.378,2.972,0.054
10349.897,6.278,1.377,2.97,0.053
10399.947,6.275,1.372,2.965,0.049
10399.953,6.278,1.374,2.969,0.052
10449.907,6.276,1.371,2.966,0.05
10499.78,6.278,1.371,2.966,0.05
10499.842,6.277,1.37,2.966,0.05
10549.938,6.276,1.367,2.964,0.048
10549.892,6.279,1.37,2.966,0.05
10599.818,6.277,1.366,2.963,0.048
10649.944,6.278,1.365,2.962,0.048
10649.913,6.277,1.364,2.962,0.047
10699.82,6.277,1.362,2.96,0.046
10749.923,6.277,1.36,2.959,0.046
10749.995,6.278,1.361,2.961,0.047
10799.907,6.277,1.358,2.958,0.045
10799.927,6.277,1.359,2.958,0.045
10849.81,6.277,1.356,2.955,0.043
10899.923,6.275,1.353,2.953,0.041
10899.906,6.278,1.355,2.955,0.044
10949.806,6.279,1.354,2.954,0.043
10949.812,6.28,1.355,2.956,0.045
10999.936,6.277,1.35,2.952,0.041
11049.882,6.275,1.346,2.948,0.038
11049.816,6.277,1.348,2.95,0.04
11099.995,6.277,1.345,2.948,0.038
11099.956,6.278,1.346,2.948,0.039
11149.853,6.28,1.346,2.949,0.041
11199.995,6.279,1.343,2.947,0.038
11199.99,6.278,1.341,2.945,0.037
11249.931,6.277,1.339,2.943,0.036
11249.825,6.28,1.341,2.946,0.037
11299.833,6.278,1.337,2.942,0.035
11349.903,6.278,1.334,2.941,0.033
11349.956,6.28,1.337,2.943,0.036
11399.842,6.279,1.334,2.94,0.034
11449.921,6.28,1.333,2.939,0.034
11449.959,6.277,1.329,2.936,0.03
11499.851,6.279,1.328,2.936,0.031
11499.832,6.279,1.329,2.935,0.031
11549.96,6.278,1.325,2.933,0.029
11599.889,6.279,1.324,2.932,0.028
11599.9,6.281,1.325,2.934,0.03
11649.805,6.279,1.321,2.93,0.026
11649.833,6.277,1.319,2.928,0.025
11699.908,6.278,1.318,2.927,0.024
11749.832,6.279,1.316,2.926,0.024
11749.807,6.28,1.317,2.927,0.025
11799.892,6.281,1.315,2.926,0.024
11799.925,6.278,1.312,2.923,0.021
11849.845,6.279,1.31,2.922,0.021
11899.983,6.28,1.309,2.921,0.02
11899.889,6.28,1.308,2.92,0.019
11949.905,6.281,1.307,2.919,0.019
11949.841,6.28,1.305,2.918,0.018
12000,6.277,1.301,2.915,0.015
12049.906,6.281,1.302,2.915,0.017
12049.896,6.28,1.3,2.913,0.015
12099.84,6.28,1.297,2.912,0.014
