Frequency,Gen(rad),R,L,C
25199.621,0.011,5.454,0.912,4.466
25199.635,0.007,5.449,0.908,4.462
25249.802,0.01,5.449,0.909,4.463
25299.685,0.01,5.447,0.907,4.462
25299.695,0.008,5.444,0.904,4.46
25349.835,0.006,5.44,0.901,4.457
25349.817,0.01,5.445,0.905,4.461
25399.745,0.011,5.443,0.904,4.46
25449.801,0.011,5.44,0.901,4.459
25449.824,0.01,5.439,0.9,4.458
25499.738,0.007,5.434,0.895,4.453
25499.734,0.006,5.433,0.894,4.453
25549.796,0.008,5.432,0.894,4.452
25599.791,0.007,5.428,0.891,4.45
25599.753,0.007,5.428,0.891,4.45
25649.717,0.009,5.429,0.892,4.452
25699.794,0.009,5.426,0.889,4.45
25699.786,0.011,5.427,0.891,4.452
25749.743,0.013,5.428,0.891,4.452
25749.698,0.005,5.42,0.884,4.445
25799.867,0.004,5.416,0.881,4.443
25849.744,0.009,5.418,0.883,4.446
25849.718,0.012,5.422,0.887,4.45
25899.803,0.007,5.415,0.88,4.443
25899.807,0.013,5.421,0.885,4.449
25949.743,0.01,5.415,0.881,4.444
25999.696,0.009,5.411,0.878,4.443
25999.716,0.007,5.411,0.877,4.441
26049.714,0.01,5.411,0.877,4.443
26049.736,0.008,5.408,0.875,4.441
26099.731,0.008,5.406,0.874,4.44
26149.827,0.005,5.401,0.869,4.436
26149.852,0.008,5.404,0.872,4.439
26199.66,0.011,5.405,0.873,4.441
26249.795,0.014,5.405,0.874,4.442
26249.803,0.007,5.399,0.868,4.436
26299.736,0.009,5.399,0.868,4.437
26299.703,0.008,5.398,0.867,4.436
26349.653,0.014,5.401,0.871,4.441
26399.745,0.011,5.396,0.866,4.436
26399.704,0.008,5.394,0.864,4.434
26449.606,0.007,5.391,0.861,4.432
26449.637,0.01,5.394,0.864,4.435
26499.74,0.013,5.394,0.865,4.437
26549.68,0.013,5.393,0.864,4.436
26549.707,0.01,5.39,0.861,4.433
26599.859,0.014,5.392,0.864,4.436
26599.83,0.01,5.388,0.86,4.432
26649.695,0.007,5.382,0.855,4.429
26699.827,0.007,5.381,0.853,4.428
26699.833,0.009,5.383,0.856,4.43
26749.763,0.011,5.382,0.856,4.431
26799.64,0.012,5.382,0.856,4.431
26799.664,0.012,5.382,0.856,4.432
26849.741,0.014,5.382,0.856,4.433
26849.783,0.01,5.379,0.853,4.429
26899.711,0.012,5.379,0.853,4.43
26949.766,0.013,5.377,0.853,4.43
26949.812,0.012,5.377,0.852,4.43
26999.688,0.01,5.373,0.849,4.427
26999.694,0.008,5.371,0.846,4.424
27049.78,0.012,5.373,0.849,4.428
27099.689,0.013,5.373,0.849,4.428
27099.708,0.011,5.37,0.847,4.426
27149.605,0.009,5.366,0.843,4.424
27149.581,0.015,5.373,0.85,4.43
27199.747,0.012,5.369,0.846,4.427
27249.675,0.013,5.367,0.845,4.427
27249.651,0.011,5.365,0.843,4.425
27299.75,0.012,5.365,0.843,4.425
27299.723,0.009,5.361,0.839,4.422
27349.677,0.009,5.36,0.839,4.422
27399.804,0.01,5.36,0.839,4.423
27399.777,0.01,5.36,0.839,4.423
27449.738,0.014,5.362,0.841,4.426
27499.825,0.013,5.36,0.839,4.425
27499.856,0.015,5.361,0.841,4.426
27549.706,0.012,5.357,0.837,4.423
27549.76,0.01,5.355,0.835,4.421
27599.659,0.015,5.358,0.839,4.426
27649.761,0.014,5.356,0.838,4.425
27649.752,0.011,5.352,0.834,4.421
27699.692,0.016,5.356,0.838,4.426
27699.7,0.009,5.35,0.832,4.42
27749.761,0.008,5.346,0.829,4.418
27799.699,0.014,5.351,0.834,4.424
27799.754,0.015,5.352,0.835,4.424
27849.801,0.01,5.345,0.829,4.419
27849.808,0.016,5.352,0.835,4.425
27899.738,0.016,5.35,0.834,4.425
27949.631,0.012,5.344,0.828,4.42
27949.603,0.016,5.349,0.833,4.424
27999.739,0.013,5.345,0.83,4.422
28049.658,0.014,5.344,0.829,4.422
28049.639,0.013,5.343,0.829,4.421
28099.792,0.011,5.339,0.825,4.419
28099.749,0.008,5.337,0.822,4.416
28149.655,0.011,5.339,0.825,4.419
28199.772,0.011,5.336,0.823,4.418
28199.788,0.009,5.335,0.821,4.416
28249.72,0.009,5.334,0.82,4.416
28249.707,0.01,5.334,0.821,4.417
28299.649,0.008,5.331,0.819,4.415
28349.738,0.014,5.336,0.824,4.421
28349.688,0.013,5.335,0.823,4.42
28399.625,0.016,5.337,0.825,4.423
28399.714,0.017,5.339,0.827,4.425
28449.78,0.016,5.336,0.824,4.423
28499.638,0.014,5.333,0.821,4.421
28499.682,0.011,5.329,0.818,4.418
28549.822,0.007,5.324,0.814,4.414
28549.786,0.016,5.333,0.822,4.423
28599.659,0.016,5.332,0.821,4.423
28649.768,0.015,5.33,0.82,4.421
28649.758,0.014,5.328,0.819,4.42
28699.788,0.016,5.33,0.82,4.423
28749.673,0.016,5.328,0.82,4.423
28749.682,0.013,5.325,0.817,4.42
28799.774,0.017,5.328,0.82,4.424
28799.759,0.012,5.324,0.815,4.419
28849.622,0.011,5.32,0.813,4.417
28899.743,0.016,5.325,0.817,4.423
28899.771,0.01,5.32,0.812,4.417
28949.666,0.017,5.325,0.818,4.424
28949.676,0.019,5.327,0.82,4.426
28999.8,0.014,5.321,0.815,4.421
29049.689,0.015,5.32,0.815,4.422
29049.698,0.013,5.318,0.813,4.42
29099.673,0.01,5.315,0.809,4.418
29099.631,0.017,5.321,0.816,4.424
29149.737,0.015,5.319,0.814,4.422
29199.605,0.01,5.313,0.808,4.418
29199.618,0.018,5.32,0.816,4.425
29249.707,0.017,5.319,0.815,4.425
29299.712,0.015,5.315,0.812,4.423
29299.677,0.017,5.317,0.813,4.424
29349.711,0.01,5.309,0.805,4.417
29349.715,0.018,5.317,0.814,4.425
29399.683,0.017,5.315,0.812,4.424
29449.588,0.014,5.311,0.809,4.422
29449.618,0.015,5.311,0.809,4.422
29499.72,0.013,5.309,0.807,4.421
29499.739,0.018,5.314,0.813,4.427
29549.633,0.016,5.311,0.809,4.424
29599.75,0.017,5.311,0.811,4.426
29599.733,0.019,5.313,0.812,4.428
29649.682,0.014,5.307,0.807,4.423
29649.664,0.017,5.31,0.809,4.426
29699.762,0.012,5.304,0.804,4.421
29749.692,0.018,5.309,0.81,4.427
29749.689,0.011,5.302,0.803,4.42
29799.798,0.018,5.308,0.809,4.428
29849.72,0.019,5.309,0.81,4.429
29849.718,0.011,5.3,0.801,4.421
29899.581,0.014,5.302,0.804,4.424
29899.6,0.014,5.303,0.804,4.424
29949.741,0.019,5.307,0.809,4.43
29999.63,0.018,5.304,0.807,4.428
29999.631,0.014,5.301,0.803,4.424
30049.783,0.016,5.303,0.805,4.427
30049.764,0.017,5.303,0.806,4.428
30099.649,0.01,5.294,0.798,4.421
30149.789,0.017,5.301,0.805,4.429
30149.755,0.01,5.294,0.798,4.422
30199.705,0.01,5.293,0.798,4.422
30199.683,0.01,5.294,0.798,4.422
30249.612,0.014,5.297,0.801,4.427
30299.727,0.012,5.294,0.799,4.425
30299.702,0.011,5.293,0.798,4.424
30349.63,0.017,5.298,0.803,4.43
30349.687,0.018,5.298,0.804,4.431
30399.698,0.011,5.29,0.797,4.424
30449.637,0.019,5.298,0.805,4.433
30449.625,0.014,5.293,0.799,4.428
30499.774,0.015,5.293,0.8,4.429
30549.712,0.014,5.291,0.799,4.428
30549.693,0.019,5.296,0.803,4.433
30599.579,0.017,5.294,0.802,4.432
30599.563,0.016,5.293,0.801,4.431
30649.686,0.015,5.291,0.799,4.43
30699.579,0.015,5.29,0.799,4.431
30699.59,0.02,5.295,0.804,4.436
30749.725,0.017,5.291,0.801,4.433
30749.71,0.015,5.289,0.798,4.431
30799.694,0.014,5.287,0.797,4.43
30849.72,0.014,5.287,0.797,4.431
30849.752,0.02,5.292,0.802,4.437
30899.677,0.011,5.283,0.793,4.428
30899.687,0.013,5.285,0.796,4.431
30949.788,0.013,5.284,0.795,4.431
30999.666,0.014,5.284,0.796,4.433
30999.701,0.014,5.285,0.796,4.433
31049.632,0.016,5.286,0.797,4.435
31099.72,0.016,5.285,0.797,4.435
31099.726,0.014,5.283,0.796,4.434
31149.643,0.016,5.284,0.797,4.436
31149.604,0.02,5.288,0.801,4.44
31199.735,0.02,5.288,0.801,4.441
31249.646,0.017,5.284,0.798,4.438
31249.626,0.012,5.279,0.792,4.433
31299.769,0.019,5.286,0.8,4.441
31299.738,0.015,5.281,0.796,4.437
31349.637,0.019,5.285,0.799,4.441
31399.591,0.015,5.279,0.795,4.437
31399.581,0.015,5.28,0.795,4.438
31449.668,0.015,5.28,0.795,4.438
31449.713,0.011,5.276,0.791,4.435
31499.623,0.021,5.285,0.801,4.445
31549.746,0.014,5.277,0.793,4.438
31549.762,0.013,5.276,0.793,4.438
31599.657,0.012,5.274,0.791,4.436
31649.739,0.014,5.276,0.793,4.44
31649.724,0.013,5.274,0.792,4.438
31699.635,0.016,5.278,0.795,4.442
31699.654,0.018,5.279,0.797,4.444
31749.787,0.013,5.273,0.791,4.439
31799.711,0.014,5.274,0.793,4.442
31799.719,0.018,5.278,0.796,4.445
31849.664,0.012,5.272,0.791,4.44
31849.587,0.019,5.278,0.797,4.446
31899.71,0.015,5.273,0.793,4.443
31949.632,0.014,5.272,0.792,4.443
31949.592,0.011,5.269,0.789,4.44
31999.73,0.019,5.276,0.797,4.449
31999.781,0.019,5.277,0.797,4.449
32049.668,0.015,5.272,0.793,4.446
32099.81,0.014,5.271,0.793,4.446
32099.779,0.019,5.275,0.796,4.45
32149.684,0.017,5.273,0.794,4.449
32149.688,0.014,5.27,0.791,4.446
32199.577,0.016,5.271,0.793,4.448
32249.715,0.014,5.269,0.791,4.447
32249.709,0.014,5.269,0.792,4.448
32299.633,0.021,5.275,0.798,4.454
32349.712,0.017,5.271,0.795,4.452
32349.744,0.017,5.271,0.794,4.452
32399.582,0.017,5.27,0.793,4.452
32399.645,0.021,5.275,0.799,4.457
32449.769,0.015,5.268,0.792,4.451
32499.651,0.021,5.272,0.797,4.457
32499.642,0.016,5.267,0.792,4.452
32549.557,0.021,5.272,0.797,4.458
32549.566,0.013,5.265,0.79,4.451
32599.727,0.02,5.271,0.797,4.458
32649.655,0.014,5.265,0.791,4.453
32649.621,0.021,5.272,0.798,4.46
32699.698,0.018,5.268,0.794,4.457
32699.718,0.015,5.265,0.791,4.454
32749.664,0.021,5.271,0.798,4.462
32799.705,0.014,5.263,0.791,4.455
32799.72,0.016,5.265,0.793,4.457
32849.617,0.022,5.271,0.799,4.464
32849.66,0.016,5.264,0.792,4.458
32899.742,0.02,5.268,0.796,4.462
32949.696,0.017,5.266,0.794,4.461
32949.684,0.014,5.262,0.79,4.457
32999.582,0.021,5.268,0.797,4.465
33049.698,0.023,5.27,0.799,4.467
33049.721,0.023,5.27,0.799,4.468
33099.61,0.016,5.262,0.793,4.462
33099.642,0.015,5.262,0.792,4.461
33149.786,0.016,5.262,0.793,4.463
33199.646,0.016,5.262,0.792,4.463
33199.676,0.023,5.269,0.799,4.47
33249.724,0.019,5.264,0.795,4.467
33249.723,0.023,5.269,0.799,4.471
33299.653,0.014,5.258,0.79,4.463
33349.42,0.021,5.265,0.796,4.47
33349.473,0.018,5.262,0.794,4.467
33399.717,0.015,5.258,0.791,4.465
33399.735,0.014,5.258,0.79,4.464
33449.586,0.023,5.266,0.799,4.474
33499.745,0.016,5.259,0.793,4.468
33499.74,0.02,5.263,0.797,4.473
33549.637,0.021,5.263,0.797,4.474
33549.641,0.021,5.264,0.798,4.474
33599.714,0.018,5.26,0.794,4.472
33649.646,0.016,5.257,0.792,4.47
33649.682,0.022,5.265,0.799,4.477
33699.549,0.017,5.259,0.794,4.473
33749.673,0.018,5.259,0.794,4.474
33749.686,0.023,5.264,0.8,4.48
33799.594,0.018,5.258,0.795,4.475
33799.612,0.017,5.259,0.794,4.475
33849.653,0.018,5.258,0.794,4.476
33899.632,0.022,5.262,0.799,4.481
33899.634,0.016,5.256,0.793,4.475
33949.711,0.013,5.253,0.79,4.473
33949.747,0.025,5.264,0.802,4.484
33999.621,0.021,5.26,0.798,4.482
34049.78,0.015,5.254,0.792,4.477
34049.774,0.022,5.261,0.799,4.484
34099.678,0.015,5.253,0.792,4.477
34099.702,0.021,5.259,0.798,4.483
34149.57,0.017,5.255,0.794,4.48
34199.669,0.023,5.26,0.8,4.487
34199.706,0.023,5.261,0.8,4.487
34249.579,0.018,5.255,0.795,4.483
34249.614,0.019,5.256,0.797,4.484
34299.723,0.018,5.255,0.796,4.484
34349.628,0.024,5.261,0.802,4.491
34349.641,0.018,5.255,0.795,4.485
34399.724,0.017,5.254,0.795,4.485
34399.727,0.025,5.261,0.802,4.492
34449.647,0.025,5.261,0.803,4.494
34499.577,0.017,5.253,0.795,4.487
34499.546,0.025,5.261,0.803,4.495
34549.641,0.021,5.256,0.798,4.491
34549.638,0.015,5.251,0.793,4.486
34599.667,0.016,5.251,0.794,4.488
34649.722,0.024,5.259,0.802,4.496
34649.688,0.015,5.25,0.793,4.487
34699.665,0.019,5.253,0.797,4.492
34749.746,0.02,5.254,0.798,4.494
34749.697,0.017,5.25,0.795,4.491
34799.613,0.023,5.256,0.801,4.498
34799.645,0.022,5.256,0.801,4.498
34849.72,0.017,5.25,0.795,4.493
34899.717,0.02,5.254,0.799,4.498
34899.67,0.019,5.252,0.798,4.496
34949.562,0.017,5.25,0.796,4.495
34949.588,0.017,5.249,0.796,4.495
